0x8AFBD8,Item ID,??,1 or 2,??,Battle Animation,??,Map Animation Effect,Damage Effect,Map Sprite Facing During Effect,Map Sprite Color When Hit,??
20 Steel Axe,0x20,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
21 Silver Axe,0x21,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
22 Poison Axe,0x22,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
23 Brave Axe,0x23,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
28 Hand Axe,0x28,0x00,0x02,0x00,0x01,0x00,0x00,0x01,0x00,0x00,0x00
BD Dummy,0xBD,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
26 Hammer,0x26,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
24 Killer Axe,0x24,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
2B Swordslayer,0x2B,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
2A Swordreaver,0x2A,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
27 Devil Axe,0x27,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
25 Halberd,0x25,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
C4 Dummy,0xC4,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
C5 Dummy,0xC5,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
C6 Dummy,0xC6,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
2D Iron Bow,0x2D,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
2E Steel Bow,0x2E,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
2F Silver Bow,0x2F,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
30 Poison Bow,0x30,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
31 Killer Bow,0x31,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
32 Brave Bow,0x32,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
33 Short Bow,0x33,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
34 Longbow,0x34,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
C7 Dummy,0xC7,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
35 Ballista,0x35,0x00,0x02,0x00,0x10,0x00,0x00,0x01,0x00,0x00,0x00
36 Iron Ballista,0x36,0x00,0x02,0x00,0x10,0x00,0x00,0x01,0x00,0x00,0x00
37 Killer Ballista,0x37,0x00,0x02,0x00,0x10,0x00,0x00,0x01,0x00,0x00,0x00
38 Fire,0x38,0x00,0x02,0x00,0x16,0x00,0x00,0x01,0x00,0x02,0x00
39 Thunder,0x39,0x00,0x02,0x00,0x19,0x00,0x00,0x01,0x00,0x00,0x00
3C Fimbulvetr,0x3C,0x00,0x02,0x00,0x1B,0x00,0x00,0x01,0x00,0x04,0x00
3A Elfire,0x3A,0x00,0x02,0x00,0x17,0x00,0x00,0x01,0x00,0x02,0x00
49 Fenrir,0x49,0x00,0x02,0x00,0x25,0x00,0x00,0x01,0x00,0x01,0x00
3B Bolting,0x3B,0x00,0x02,0x00,0x1A,0x00,0x00,0x01,0x00,0x00,0x00
BF Dummy,0xBF,0x00,0x02,0x00,0x18,0x00,0x00,0x01,0x00,0x02,0x00
3F Lightning,0x3F,0x00,0x02,0x00,0x1F,0x00,0x00,0x01,0x00,0x05,0x00
41 Divine,0x41,0x00,0x02,0x00,0x22,0x00,0x00,0x01,0x00,0x05,0x00
42 Purge,0x42,0x00,0x02,0x00,0x20,0x00,0x00,0x01,0x00,0x05,0x00
45 Flux,0x45,0x00,0x02,0x00,0x1D,0x00,0x00,0x01,0x00,0x01,0x00
47 Nosferatu,0x47,0x00,0x02,0x00,0x1E,0x00,0x00,0x01,0x00,0x01,0x00
48 Eclipse,0x48,0x00,0x02,0x00,0x24,0x00,0x00,0x01,0x00,0x01,0x00
4B Heal,0x4B,0x00,0x02,0x00,0x26,0x00,0x9A4A54,0x01,0x00,0x00,0x00
4C Mend,0x4C,0x00,0x02,0x00,0x27,0x00,0x9A4ABC,0x01,0x00,0x00,0x00
4D Recover,0x4D,0x00,0x02,0x00,0x28,0x00,0x9A4B24,0x01,0x00,0x00,0x00
4E Physic,0x4E,0x00,0x02,0x00,0x29,0x00,0x9A4B8C,0x01,0x00,0x00,0x00
4F Fortify,0x4F,0x00,0x01,0x00,0x2A,0x00,0x9A489C,0x00,0x01,0x00,0x00
54 Warp,0x54,0x00,0x02,0x00,0xFFFE,0x00,0x9A5214,0x00,0x00,0x00,0x00
55 Rescue,0x55,0x00,0x02,0x00,0xFFFE,0x00,0x9A5214,0x00,0x00,0x00,0x00
50 Restore,0x50,0x00,0x02,0x00,0x2C,0x00,0x9A4F44,0x00,0x00,0x00,0x00
51 Silence,0x51,0x00,0x02,0x00,0x2D,0x00,0x9A4EA4,0x00,0x00,0x00,0x00
52 Sleep,0x52,0x00,0x02,0x00,0x2E,0x00,0x9A4D64,0x00,0x00,0x00,0x00
56 Torch,0x56,0x00,0x01,0x00,0xFFFE,0x00,0x9A4BF4,0x00,0x01,0x00,0x00
57 Hammerne,0x57,0x00,0x02,0x00,0x2F,0x00,0x9A4FCC,0x00,0x00,0x00,0x00
53 Berserk,0x53,0x00,0x02,0x00,0x30,0x00,0x9A4CC4,0x00,0x00,0x00,0x00
58 Unlock,0x58,0x00,0x01,0x00,0xFFFE,0x00,0x9A4C3C,0x00,0x02,0x00,0x00
59 Barrier,0x59,0x00,0x02,0x00,0x31,0x00,0x9A518C,0x00,0x00,0x00,0x00
64 Hero Crest,0x64,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
65 Knight Crest,0x65,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
66 Orion's Bolt,0x66,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
67 Elysian Whip,0x67,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
68 Guiding Ring,0x68,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
88 Master Seal,0x88,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
8A Dummy,0x8A,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
C1 Dummy,0xC1,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
97 Ocean Seal,0x97,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
98 Lunar Brace,0x98,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
99 Solar Brace,0x99,0x00,0x02,0x00,0x32,0x00,0x00,0x01,0x00,0x00,0x00
6C Vulnerary,0x6C,0x00,0x01,0x00,0xFFFE,0x00,0x9A49FC,0x01,0x01,0x00,0x00
A2 Vulnerary,0xA2,0x00,0x01,0x00,0xFFFE,0x00,0x9A49FC,0x01,0x01,0x00,0x00
6D Elixir,0x6D,0x00,0x01,0x00,0xFFFE,0x00,0x9A49A4,0x01,0x01,0x00,0x00
6E Pure Water,0x6E,0x00,0x01,0x00,0xFFFE,0x00,0x9A495C,0x00,0x01,0x00,0x00
70 Torch,0x70,0x00,0x01,0x00,0xFFFE,0x00,0x9A4BF4,0x00,0x01,0x00,0x00
6F Antitoxin,0x6F,0x00,0x01,0x00,0xFFFE,0x00,0x9A4914,0x00,0x01,0x00,0x00
06 Steel Blade,0x06,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
07 Silver Blade,0x07,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
0F Wyrmslayer,0x0F,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
11 Runesword,0x11,0x00,0x02,0x00,0x1E,0x00,0x00,0x01,0x00,0x00,0x00
1D Spear,0x1D,0x00,0x02,0x00,0x03,0x00,0x00,0x01,0x00,0x00,0x00
C8 Dummy,0xC8,0x00,0x02,0x00,0x03,0x00,0x00,0x01,0x00,0x00,0x00
29 Tomahawk,0x29,0x00,0x02,0x00,0x01,0x00,0x00,0x01,0x00,0x00,0x00
3E Excalibur,0x3E,0x00,0x02,0x00,0x35,0x00,0x00,0x01,0x00,0x04,0x00
B6 Alacalibur,0xB6,0x00,0x02,0x00,0x1C,0x00,0x00,0x01,0x00,0x04,0x00
40 Shine,0x40,0x00,0x02,0x00,0x33,0x00,0x00,0x01,0x00,0x05,0x00
43 Aura,0x43,0x00,0x02,0x00,0x37,0x00,0x00,0x01,0x00,0x05,0x00
C9 Dummy,0xC9,0x00,0x02,0x00,0x38,0x00,0x00,0x01,0x00,0x05,0x00
46 Luna,0x46,0x00,0x02,0x00,0x34,0x00,0x00,0x01,0x00,0x01,0x00
CB Dummy,0xCB,0x00,0x02,0x00,0x36,0x00,0x00,0x01,0x00,0x01,0x00
BE Dummy,0xBE,0x00,0x02,0x00,0x21,0x00,0x00,0x01,0x00,0x05,0x00
90 Wretched Air,0x90,0x00,0x02,0x00,0x47,0x00,0x00,0x01,0x00,0x02,0x00
CA Dummy,0xCA,0x00,0x02,0x00,0x39,0x00,0x00,0x01,0x00,0x01,0x00
7D Dummy,0x7D,0x00,0x02,0x00,0x3A,0x00,0x00,0x00,0x00,0x02,0x00
7E Dummy,0x7E,0x00,0x02,0x00,0x3B,0x00,0x00,0x00,0x00,0x04,0x00
7F Dummy,0x7F,0x00,0x02,0x00,0x3C,0x00,0x00,0x00,0x00,0x04,0x00
80 Dummy,0x80,0x00,0x02,0x00,0x3D,0x00,0x00,0x00,0x00,0x03,0x00
81 Shadowkiller,0x81,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
82 Bright Lance,0x82,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
83 Fiendcleaver,0x83,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
84 Beacon Bow,0x84,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
A1 Wind Sword,0xA1,0x00,0x02,0x00,0x35,0x00,0x00,0x01,0x00,0x04,0x00
5A Dragon Axe,0x5A,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
A7 Stone Shard,0xA7,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
AD Rotten Claw,0xAD,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
AE Fetid Claw,0xAE,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
AF Poison Claw,0xAF,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
B0 Lethal Talon,0xB0,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
8B Sharp Claw,0x8B,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
B1 Fiery Fang,0xB1,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
B2 Hellfang,0xB2,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
B3 Evil Eye,0xB3,0x00,0x02,0x00,0x43,0x00,0x00,0x01,0x00,0x00,0x00
B4 Crimson Eye,0xB4,0x00,0x02,0x00,0x42,0x00,0x00,0x01,0x00,0x00,0x00
B5 Stone,0xB5,0x00,0x02,0x00,0x3E,0x00,0x9A4E04,0x01,0x00,0x00,0x00
AB Demon Surge,0xAB,0x00,0x02,0x00,0x45,0x00,0x00,0x01,0x00,0x00,0x00
87 Ivaldi,0x87,0x00,0x02,0x00,0x3F,0x00,0x00,0x01,0x00,0x00,0x00
4A Gleipnir,0x4A,0x00,0x02,0x00,0x41,0x00,0x00,0x01,0x00,0x01,0x00
AC Shadowshot,0xAC,0x00,0x02,0x00,0x44,0x00,0x00,0x01,0x00,0x01,0x00
8F Naglfar,0x8F,0x00,0x02,0x00,0x46,0x00,0x00,0x01,0x00,0x01,0x00
0C Shamshir,0x0C,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
85 Sieglinde,0x85,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
78 Reginleif,0x78,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
8D Dragonspear,0x8D,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
8E Vidofnir,0x8E,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
91 Audhulma,0x91,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
92 Siegmund,0x92,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
93 Garm,0x93,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
94 Nidhogg,0x94,0x00,0x02,0x00,0x02,0x00,0x00,0x01,0x00,0x00,0x00
2C Hatchet,0x2C,0x00,0x02,0x00,0x01,0x00,0x00,0x01,0x00,0x00,0x00
86 Battle Axe,0x86,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
8C Latona,0x8C,0x00,0x01,0x00,0x2B,0x00,0x9A489C,0x00,0x01,0x00,0x00
A6 Nightmare,0xA6,0x00,0x02,0x00,0xFFFF,0x00,0x9A481C,0x00,0x00,0x00,0x00
A8 Demon Light,0xA8,0x00,0x02,0x00,0x40,0x00,0x00,0x01,0x00,0x00,0x00
A9 Ravager,0xA9,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
AA Dragonstone,0xAA,0x00,0x02,0x00,0x13,0x00,0x00,0x01,0x00,0x00,0x00
