0x0145A138	Item ID	??	1 or 2	??	Battle Animation	??	Map Animation Effect	Damage Effect	Map Sprite Facing During Effect	Map Sprite Color When Hit	??
15 Headbutt	0x15	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
16 Horn Attack	0x16	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
17 Horn Drill	0x17	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
18 Hyper Beam	0x18	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
19 Hyper Fang	0x19	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
1A Leer	0x1A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
1B Lovely Kiss	0x1B	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
1C Mega Kick	0x1C	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
1D Mega Punch	0x1D	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
1E Metronome	0x1E	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
1F Minimize	0x1F	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
20 Pay Day	0x20	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
21 Pound	0x21	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
22 Quick Attack	0x22	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
23 Rage	0x23	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
24 Recover	0x24	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
25 Roar	0x25	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
26 Sand-Attack	0x26	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
27 Scratch	0x27	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
28 Sing	0x28	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
29 Slam	0x29	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
2A Slash	0x2A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
2B Splash	0x2B	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
2C Attack Pulse	0x2C	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
2D Super Fang	0x2D	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
2E Swift	0x2E	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
2F Swords Dance	0x2F	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
30 Tackle	0x30	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
31 Tail Whip	0x31	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
32 Take Down	0x32	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
33 Thrash	0x33	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
34 Tri Attack	0x34	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
35 Ember	0x35	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
36 Fire Punch	0x36	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
37 Flame Wheel	0x37	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
38 Scorch	0x38	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
39 Flamethrower	0x39	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
3A Fire Spin	0x3A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
3B Fire Blast	0x3B	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
3C Sacred Fire	0x3C	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x02	0x00
3D Bubble	0x3D	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
3E Water Gun	0x3E	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
3F Clamp	0x3F	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
40 Crabhammer	0x40	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
41 Bubble Beam	0x41	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
42 Hydro Pump	0x42	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
43 Surf	0x43	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
44 Waterfall	0x44	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
45 Withdraw	0x45	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
46 Absorb	0x46	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
47 Leech Seed	0x47	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
48 Mega Drain	0x48	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
49 Petal Dance	0x49	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
4A Leaf Flurry	0x4A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
4B Heal	0x4B	0x00	0x02	0x00	0x26	0x00	0x9A4A54	0x01	0x00	0x00	0x00
4C Mend	0x4C	0x00	0x02	0x00	0x27	0x00	0x9A4ABC	0x01	0x00	0x00	0x00
4D Recover	0x4D	0x00	0x02	0x00	0x28	0x00	0x9A4B24	0x01	0x00	0x00	0x00
4E Physic	0x4E	0x00	0x02	0x00	0x29	0x00	0x9A4B8C	0x01	0x00	0x00	0x00
4F Fortify	0x4F	0x00	0x01	0x00	0x2A	0x00	0x9A489C	0x00	0x01	0x00	0x00
50 Restore	0x50	0x00	0x02	0x00	0x2C	0x00	0x9A4F44	0x00	0x00	0x00	0x00
51 Silence	0x51	0x00	0x02	0x00	0x2D	0x00	0x9A4EA4	0x00	0x00	0x00	0x00
52 Sleep	0x52	0x00	0x02	0x00	0x2E	0x00	0x9A4D64	0x00	0x00	0x00	0x00
53 Berserk	0x53	0x00	0x02	0x00	0x30	0x00	0x9A4CC4	0x00	0x00	0x00	0x00
54 Warp	0x54	0x00	0x02	0x00	0xFFFE	0x00	0x9A5214	0x00	0x00	0x00	0x00
55 Rescue	0x55	0x00	0x02	0x00	0xFFFE	0x00	0x9A5214	0x00	0x00	0x00	0x00
56 Torch	0x56	0x00	0x01	0x00	0xFFFE	0x00	0x9A4BF4	0x00	0x01	0x00	0x00
57 Hammerne	0x57	0x00	0x02	0x00	0x2F	0x00	0x9A4FCC	0x00	0x00	0x00	0x00
58 Unlock	0x58	0x00	0x01	0x00	0xFFFE	0x00	0x9A4C3C	0x00	0x02	0x00	0x00
59 Barrier	0x59	0x00	0x02	0x00	0x31	0x00	0x9A518C	0x00	0x00	0x00	0x00
5A Dragon Axe	0x5A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
5B HP Up	0x5B	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
5C Protein	0x5C	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
5D Secret Tonic	0x5D	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
5E Carbos	0x5E	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
5F Luck	0x5F	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
60 Iron	0x60	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
61 Zinc	0x61	0x00	0x01	0x00	0xFFFE	0x00	0x9A49FC	0x01	0x01	0x00	0x00
62 Calcium	0x62	0x00	0x01	0x00	0xFFFE	0x00	0x9A49FC	0x01	0x01	0x00	0x00
63 Bulk Up	0x63	0x00	0x01	0x00	0xFFFE	0x00	0x9A49A4	0x01	0x01	0x00	0x00
64 Moon Stone	0x64	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
65 Link Stone	0x65	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
66 Thunder Stone	0x66	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
67 Leaf Stone	0x67	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
68 Water Stone	0x68	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
69 Chest Key	0x69	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
6A Door Key	0x6A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
6B Lockpick	0x6B	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
6C Super Potion	0x6C	0x00	0x01	0x00	0xFFFE	0x00	0x9A49FC	0x01	0x01	0x00	0x00
6D Max Potion	0x6D	0x00	0x01	0x00	0xFFFE	0x00	0x9A49A4	0x01	0x01	0x00	0x00
6E Pure Water	0x6E	0x00	0x01	0x00	0xFFFE	0x00	0x9A495C	0x00	0x01	0x00	0x00
6F Full Heal	0x6F	0x00	0x01	0x00	0xFFFE	0x00	0x9A4914	0x00	0x01	0x00	0x00
70 Torch	0x70	0x00	0x01	0x00	0xFFFE	0x00	0x9A4BF4	0x00	0x01	0x00	0x00
71 Fili Shield	0x71	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
72 Member Card	0x72	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
73 Silver Card	0x73	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
74 White Gem	0x74	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
75 Blue Gem	0x75	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
76 Red Gem	0x76	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
77 Gold	0x77	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
78 Reginleif	0x78	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
79 Chest Key	0x79	0x00	0x02	0x00	0x3B	0x00	0x00	0x00	0x00	0x04	0x00
7A Dummy	0x7A	0x00	0x02	0x00	0x3C	0x00	0x00	0x00	0x00	0x04	0x00
7B Dummy	0x7B	0x00	0x02	0x00	0x3D	0x00	0x00	0x00	0x00	0x03	0x00
7C Hoplon Guard	0x7C	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
7D Dummy	0x7D	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
7E Dummy	0x7E	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
7F Dummy	0x7F	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
80 Dummy	0x80	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x01	0x00
81 Leaf Blade	0x81	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
82 Sleep Powder	0x82	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
83 Solar Beam	0x83	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
84 Razor Leaf	0x84	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
85 Vine Whip	0x85	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x03	0x00
86 Thunder	0x86	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
87 Thunder Punch	0x87	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
88 Sacred Stone	0x88	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
89 Metis's Tome	0x89	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
8A Dummy	0x8A	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
8B T[_h][_u][_n][_d][_e][_r][_S][_h][_o][_c][_k]	0x8B	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
8C Latona	0x8C	0x00	0x01	0x00	0x2B	0x00	0x9A489C	0x00	0x01	0x00	0x00
8D Thunderbolt	0x8D	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
8E Volt Tackle	0x8E	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
8F Aurora Beam	0x8F	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
90 Blizzard	0x90	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
91 Haze	0x91	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
92 Ice Beam	0x92	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
93 Ice Punch	0x93	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
94 Avalanche	0x94	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
95 Karate Chop	0x95	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
96 Counter	0x96	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
97 Fire Stone	0x97	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
98 Lunar Brace	0x98	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
99 Solar Brace	0x99	0x00	0x02	0x00	0x32	0x00	0x00	0x01	0x00	0x00	0x00
9A 100 Credits	0x9A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
9B 250 Credits	0x9B	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
9C 500 Credits	0x9C	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
9D 1000 Credits	0x9D	0x00	0x01	0x00	0x2B	0x00	0x9A489C	0x00	0x01	0x00	0x00
9E 250 Credits	0x9E	0x00	0x02	0x00	0xFFFF	0x00	0x9A481C	0x00	0x00	0x00	0x00
9F 3,000 Credits	0x9F	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
A0 5,000 Credits	0xA0	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
A1 Double Kick	0xA1	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
A2 Super Potion	0xA2	0x00	0x01	0x00	0xFFFE	0x00	0x9A49FC	0x01	0x01	0x00	0x00
A3 Super Potion	0xA3	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
A4 Super Potion	0xA4	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
A5 Dance	0xA5	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
A6 Nightmare	0xA6	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
A7 Hi Jump Kick	0xA7	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
A8 Jump Kick	0xA8	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
A9 Low Kick	0xA9	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
AA Rolling Kick	0xAA	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
AB Seismic Toss	0xAB	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
AC Submission	0xAC	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
AD Acid	0xAD	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
AE Poison Gas	0xAE	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
AF Poison Powder	0xAF	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B0 Poison Sting	0xB0	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B1 Sludge	0xB1	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B2 Smog	0xB2	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B3 Poison Jab	0xB3	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B4 Toxic	0xB4	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B5 Dig	0xB5	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B6 Bone Club	0xB6	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
B7 Rare Candy	0xB7	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
B8 150 Credits	0xB8	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x04	0x00
B9 200 Credits	0xB9	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
BA Black Gem	0xBA	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
BB Gold Gem	0xBB	0x00	0x01	0x00	0x2B	0x00	0x9A489C	0x00	0x01	0x00	0x00
BC Bonemerang	0xBC	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
BD Earthquake	0xBD	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
BE Fissure	0xBE	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
BF Magnitude	0xBF	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C0 Earth Power	0xC0	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C1 Drill Peck	0xC1	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C2 Fly	0xC2	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C3 Gust	0xC3	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C4 Peck	0xC4	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C5 Sky Attack	0xC5	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C6 Mirror Move	0xC6	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C7 Wing Attack	0xC7	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C8 Agility	0xC8	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
C9 Amnesia	0xC9	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
CA Barrier	0xCA	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
CB Confusion	0xCB	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
CC Dream Eater	0xCC	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
CD Hypnosis	0xCD	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
CE Light Screen	0xCE	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
CF Reflect	0xCF	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D0 Psybeam	0xD0	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D1 Psychic	0xD1	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D2 Rest	0xD2	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D3 Teleport	0xD3	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D4 Rock Slide	0xD4	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D5 Rock Throw	0xD5	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D6 Ancientpower	0xD6	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D7 Rock Tomb	0xD7	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D8 Rollout	0xD8	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
D9 Sandstorm	0xD9	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
DA Confuse Ray	0xDA	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
DB Lick	0xDB	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
DC Night Shade	0xDC	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
DD Nightmare	0xDD	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
DE Shadow Ball	0xDE	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
DF Shadow Punch	0xDF	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E0 Dragon Claw	0xE0	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E1 Dragon Dance	0xE1	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E2 Dragon Rage	0xE2	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E3 Dragonbreath	0xE3	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E4 Outrage	0xE4	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E5 Twister	0xE5	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E6 Bug Bite	0xE6	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E7 Bug Buzz	0xE7	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E8 Fury Cutter	0xE8	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
E9 Leech Life	0xE9	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
EA Megahorn	0xEA	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
EB Pin Missile	0xEB	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
EC Signal Beam	0xEC	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
ED String Shot	0xED	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
EE U-Turn	0xEE	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
EF X-Scissor	0xEF	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
F0 	0xF0	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
F1 	0xF1	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
F2 T[_h][_u][_n][_d][_e][_r] W[_a][_v][_e]	0xF2	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x05	0x00
F3 Magical Leaf	0xF3	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
F4 Spark	0xF4	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
F5 Snarl	0xF5	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
F6 Guard	0xF6	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
