INLINE SpellAssociationTable,Weapon,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,##UNKNOWN##,Alternate Pointer,Damage effect Bool,Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
Horn Drill,0x17,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Hyper Beam,0x18,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Hyper Fang,0x19,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Leer,0x1a,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Lovely Kiss,0x1b,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Mega Kick,0x1c,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Mega Punch,0x1d,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Metronome,0x1e,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Minimize,0x1f,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Pay Day,0x20,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Pound,0x21,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Quick Attack,0x22,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Rage,0x23,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Recover,0x24,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Roar,0x25,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Sand-Attack,0x26,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Scratch,0x27,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Sing,0x28,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Slam,0x29,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Slash,0x2a,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Splash,0x2b,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Attack Pulse,0x2c,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Super Fang,0x2d,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Swift,0x2e,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Swords Dance,0x2f,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Tackle,0x30,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Tail Whip,0x31,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Take Down,0x32,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Thrash,0x33,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Tri Attack,0x34,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Ember,0x35,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Fire Punch,0x36,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Flame Wheel,0x37,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Scorch,0x38,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Flamethrower,0x39,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Fire Spin,0x3a,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Fire Blast,0x3b,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x02,0x00
Sacred Fire,0x3c,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Bubble,0x3d,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Water Gun,0x3e,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Clamp,0x3f,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Crabhammer,0x40,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Bubble Beam,0x41,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Hydro Pump,0x42,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Surf,0x43,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Waterfall,0x44,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Withdraw,0x45,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Absorb,0x46,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Leech Seed,0x47,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Mega Drain,0x48,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Petal Dance,0x49,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Leaf Flurry,0x4a,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
4B Heal,0x4B,0x02,0x26,0x00,0x00,0x89A4A54,0x01,0x00,0x00,0x00
4C Mend,0x4C,0x02,0x27,0x00,0x00,0x89A4ABC,0x01,0x00,0x00,0x00
4D Recover,0x4D,0x02,0x28,0x00,0x00,0x89A4B24,0x01,0x00,0x00,0x00
4E Physic,0x4E,0x02,0x29,0x00,0x00,0x89A4B8C,0x01,0x00,0x00,0x00
4F Fortify,0x4F,0x01,0x2A,0x00,0x00,0x89a489c,0x00,0x01,0x00,0x00
50 Restore,0x50,0x02,0x2C,0x00,0x00,0x89A4F44,0x00,0x00,0x00,0x00
51 Silence,0x51,0x02,0x2D,0x00,0x00,0x89A4EA4,0x00,0x00,0x00,0x00
52 Sleep,0x52,0x02,0x2E,0x00,0x00,0x89A4D64,0x00,0x00,0x00,0x00
53 Berserk,0x53,0x02,0x30,0x00,0x00,0x89A4CC4,0x00,0x00,0x00,0x00
54 Warp,0x54,0x02,0xfe,0xff,0x00,0x89A5214,0x00,0x00,0x00,0x00
55 Rescue,0x55,0x02,0xfe,0xff,0x00,0x89A5214,0x00,0x00,0x00,0x00
56 Torch,0x56,0x01,0xfe,0xff,0x00,0x89a4bf4,0x00,0x01,0x00,0x00
57 Hammerne,0x57,0x02,0x2F,0x00,0x00,0x89A4FCC,0x00,0x00,0x00,0x00
58 Unlock,0x58,0x01,0xfe,0xff,0x00,0x89A4C3C,0x00,0x02,0x00,0x00
59 Barrier,0x59,0x02,0x31,0x00,0x00,0x89A518C,0x00,0x00,0x00,0x00
Dragon Axe,0x5a,2,0x32,0x0,0x00,0x0,0x01,0x00,0x00,0x00
HP Up,0x5b,2,0x32,0x0,0x00,0x0,0x01,0x00,0x00,0x00
Protein,0x5c,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Secret Tonic,0x5d,2,0x32,0x0,0x00,0x0,0x01,0x00,0x00,0x00
Carbos,0x5e,2,0x32,0x0,0x00,0x0,0x01,0x00,0x00,0x00
Luck,0x5f,2,0x32,0x0,0x00,0x0,0x01,0x00,0x00,0x00
Iron,0x60,1,0xfe,0xff,0x00,0x89a49fc,0x01,0x01,0x00,0x00
Zinc,0x61,1,0xfe,0xff,0x00,0x89a49fc,0x01,0x01,0x00,0x00
Calcium,0x62,1,0xfe,0xff,0x00,0x89a49a4,0x01,0x01,0x00,0x00
Bulk Up,0x63,1,0xfe,0xff,0x00,0x89a495c,0x01,0x00,0x00,0x00
Moon Stone,0x64,1,0xfe,0xff,0x00,0x89a4bf4,0x01,0x00,0x00,0x00
Link Stone,0x65,1,0xfe,0xff,0x00,0x89a4914,0x01,0x00,0x00,0x00
Thunder Stone,0x66,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Leaf Stone,0x67,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Water Stone,0x68,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Chest Key,0x69,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Door Key,0x6a,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Lockpick,0x6b,2,0xfe,0xff,0x00,0x0,0x01,0x01,0x00,0x00
Berry,0x6C,0x01,0xfe,0xff,0x00,0x89a49fc,0x01,0x01,0x00,0x00
Max Potion,0x6D,0x01,0xfe,0xff,0x00,0x89a49a4,0x01,0x01,0x00,0x00
6E Pure Water,0x6E,0x01,0xfe,0xff,0x00,0x89a495c,0x00,0x01,0x00,0x00
Full Heal,0x6F,0x01,0xfe,0xff,0x00,0x89a4914,0x00,0x01,0x00,0x00
70 Torch,0x70,0x01,0xfe,0xff,0x00,0x89a4bf4,0x00,0x01,0x00,0x00
Fili Shield,0x71,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Member Card,0x72,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Silver Card,0x73,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
White Gem,0x74,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Blue Gem,0x75,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Red Gem,0x76,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Gold,0x77,2,0x3a,0x0,0x00,0x0,0x01,0x00,0x00,0x00
Reginleif,0x78,2,0x3b,0x0,0x00,0x0,0x00,0x00,0x04,0x00
Chest Key,0x79,2,0x3c,0x0,0x00,0x0,0x00,0x00,0x04,0x00
Dummy,0x7a,2,0x3d,0x0,0x00,0x0,0x00,0x00,0x03,0x00
Dummy,0x7b,2,0x2,0x0,0x00,0x0,0x01,0x00,0x00,0x00
Hoplon Guard,0x7c,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dummy,0x7d,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dummy,0x7e,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dummy,0x7f,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x01,0x00
Dummy,0x80,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Leaf Blade,0x81,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Sleep Powder,0x82,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Solar Beam,0x83,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Razor Leaf,0x84,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x03,0x00
Vine Whip,0x85,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
Thunder,0x86,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
Thunder Punch,0x87,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Sacred Stone,0x88,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Metis's Tome,0x89,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dummy,0x8a,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
T[_h][_u][_n][_d][_e][_r][_S][_h][_o][_c][_k],0x8b,2,0xfe,0xff,0x00,0x0,0x01,0x01,0x00,0x00
Latona,0x8c,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
Thunderbolt,0x8d,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
Volt Tackle,0x8e,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Aurora Beam,0x8f,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Blizzard,0x90,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Haze,0x91,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Ice Beam,0x92,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Ice Punch,0x93,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Avalanche,0x94,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Karate Chop,0x95,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Counter,0x96,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Fire Stone,0x97,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Lunar Brace,0x98,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Solar Brace,0x99,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
100 Credits,0x9a,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
250 Credits,0x9b,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
500 Credits,0x9c,1,0x2b,0x0,0x00,0x89a489c,0x00,0x01,0x00,0x00
1000 Credits,0x9d,2,0xfe,0xff,0x00,0x89a481c,0x00,0x00,0x00,0x00
250 Credits,0x9e,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
"3,000 Credits",0x9f,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
"5,000 Credits",0xa0,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Double Kick,0xa1,2,0xfe,0xff,0x00,0x0,0x01,0x01,0x00,0x00
Potion,0xA2,0x01,0xfe,0xff,0x00,0x89a49fc,0x01,0x01,0x00,0x00
Super Potion,0xA2,0x01,0xfe,0xff,0x00,0x89a49fc,0x01,0x01,0x00,0x00
Hyper Potion,0xA2,0x01,0xfe,0xff,0x00,0x89a49fc,0x01,0x01,0x00,0x00
Dance,0xA5,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
A6 Nightmare,0xA6,0x02,0xff,0xff,0x00,0x89a481c,0x00,0x00,0x00,0x00
Hi Jump Kick,0xA7,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Jump Kick,0xA8,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Low Kick,0xA9,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Rolling Kick,0xAA,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Seismic Toss,0xAB,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Submission,0xAC,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Acid,0xAD,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Poison Gas,0xAE,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Poison Powder,0xAF,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Poison Sting,0xB0,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Sludge,0xB1,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Smog,0xB2,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Poison Jab,0xB3,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Toxic,0xB4,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
B5 Stone,0xB5,0x02,0x3E,0x00,0x00,0x89A4E04,0x01,0x00,0x00,0x00
Bone Club,0xB6,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
Rare Candy,0xB7,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x04,0x00
150 Credits,0xB8,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
200 Credits,0xB9,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
Black Gem,0xBA,2,0xfe,0xff,0x00,0x0,0x00,0x01,0x00,0x00
Gold Gem,0xBB,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Bonemerang,0xBC,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Earthquake,0xBD,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dig,0xBE,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Magnitude,0xBF,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Earth Power,0xC0,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Drill Peck,0xC1,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Fly,0xC2,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Gust,0xC3,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Peck,0xC4,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Sky Attack,0xC5,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Mirror Move,0xC6,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Wing Attack,0xC7,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Agility,0xC8,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Amnesia,0xC9,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Barrier,0xCA,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Confusion,0xCB,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dream Eater,0xCC,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Hypnosis,0xCD,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Light Screen,0xCE,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Reflect,0xCF,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Psybeam,0xD0,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Psychic,0xD1,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Rest,0xD2,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Teleport,0xD3,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Rock Slide,0xD4,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Rock Throw,0xD5,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Ancientpower,0xD6,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Rock Tomb,0xD7,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Rollout,0xD8,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Sandstorm,0xD9,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Confuse Ray,0xDA,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Lick,0xDB,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Night Shade,0xDC,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Nightmare,0xDD,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Shadow Ball,0xDE,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Shadow Punch,0xDF,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dragon Claw,0xE0,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dragon Dance,0xE1,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dragon Rage,0xE2,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Dragonbreath,0xE3,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Outrage,0xE4,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Twister,0xE5,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Bug Bite,0xE6,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Bug Buzz,0xE7,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Fury Cutter,0xE8,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Leech Life,0xE9,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Megahorn,0xEA,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Pin Missile,0xEB,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Signal Beam,0xEC,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
String Shot,0xED,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
U-Turn,0xEE,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
X-Scissor,0xEF,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
asdf,0xF0,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
asdf,0xF1,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x05,0x00
T[_h][_u][_n][_d][_e][_r] W[_a][_v][_e],0xF2,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Magical Leaf,0xF3,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Spark,0xF4,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Snarl,0xF5,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Guard,0xF6,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
SkillScroll,0xF7,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
SpellScroll,0xF8,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
asdf,0xF9,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
asdf,0xFA,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
asdf,0xFB,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
asdf,0xFC,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
asdf,0xFD,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
asdf,0xFE,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
asdf,0xFFFF,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
