## BronzeSwordName
Member's Card[X]



## BronzeSwordDesc
 [X]

## IronSwordDesc
 [X]

## SteelSwordDesc
 [X]

## SilverSwordDesc
 [X]

## T1KillerSwordDesc
Improves critical hit rate.[X]

## WyrmslayerDesc
Effective against wyverns.[X]

## ArmorslayerDesc
Effective against armor.[X]

## KillingEdgeDesc
Improves critical hit rate.[X]

## BraveSwordDesc
Can strike consecutively.[X]

## IronBladeDesc
 [X]

## SteelBladeDesc
 [X]

## WoDaoDesc
Improves critical hit rate.[X]

## BronzeLanceDesc
 [X]

## IronLanceDesc
 [X]

## SteelLanceDesc
 [X]

## SilverLanceDesc
[X]

## T1KillerLanceDesc
Improves critical hit rate.[X]

## HorseslayerDesc
Effective against cavalry.[X]

## HeavySpearDesc
Effective against armor.[X]

## KillerLanceDesc
Improves critical hit rate.[X]

## BraveLanceDesc
Can strike consecutively.[X]

## IronGreatlanceDesc
 [X]

## SteelGreatlanceDesc
 [X]

## IronPikeDesc
Infantry only.[X]

## SteelPikeDesc
Infantry only.[X]

## JavelinDesc
Doubles as ranged attack.[X]

## SpearDesc
Doubles as ranged attack.[X]

## BronzeAxeDesc
 [X]

## IronAxeDesc
 [X]

## SteelAxeDesc
 [X]

## SilverAxeDesc
 [X]

## T1KillerAxeDesc
Improves critical hit rate.[X]

## HammerDesc
Effective against armor.[X]

## WingclipperDesc
Effective against fliers.[X]

## KillerAxeDesc
Improves critical hit rate.[X]

## BraveAxeDesc
Can strike consecutively.[X]

## IronPoleaxeDesc
 [X]

## SteelPoleaxeDesc
 [X]

## HandAxeDesc
Doubles as ranged attack.[X]

## TomahawkDesc
Doubles as ranged attack.[X]

## BronzeBowDesc
 [X]

## IronBowDesc
 [X]

## SteelBowDesc
 [X]

## SilverBowDesc
 [X]

## T1KillerBowDesc
Improves critical hit rate.[X]

## KillerBowDesc
Improves critical hit rate.[X]

## BraveBowDesc
Can strike consecutively.[X]

## IronLongbowDesc
 [X]

## SteelLongbowDesc
 [X]

## AntiMageBowDesc
Effective against mages.[X]

## ArcaneBowDesc
Enchanted with magic.[X]

## RapierBowDesc
Effective against cavalry and armor.[X]

## ThunderDesc
 [X]

## ElthunderDesc
 [X]

## ThoronDesc
 [X]

## BoltingDesc
 [X]

## ChainVoltDesc
Residual damage to adjacent enemies.[X]

## ParalysisDesc
Inflicts Numb.[X]

## FireDesc
 [X]

## ElfireDesc
 [X]

## BolganoneDesc
 [X]

## MeteorDesc
 [X]

## BeastblazeDesc
Effective against cavalry.[X]

## RagnarokDesc
BIG[X]

## WindDesc
 [X]

## ElwindDesc
 [X]

## TornadoDesc
 [X]

## BlizzardDesc
 [X]

## AircaliburDesc
Effective against fliers.[X]

## ValorousGaleDesc
Can strike consecutively.[X]

## SootheDesc
Restores some HP to allies[N]
in adjacent spaces.[X]

## HealDesc
Restores HP to allies in[N]
adjacent spaces.[X]

## MendDesc
Restores many HP to allies[N]
in adjacent spaces.[X]

## RecoverDesc
Restores all HP to allies[N]
in adjacent spaces.[X]

## RestoreDesc
Returns allies to normal[N]
condition. (Cures sleep, etc.)[X]

## PhysicDesc
Restores HP to allies[N]
at a distance.[X]

## FortifyDesc
Restores HP to[N]
allies nearby.[X]

## FreezeDesc
Freezes enemies in place[N]
for several turns.[X]

## NumbDesc
Halts all non-magic[N]
for several turns.[X]

## SilenceDesc
Halts all enemy magic[N]
for several turns.[X]

## BerserkDesc
Sends enemies into a[N]
berserker rage.[X]

## SlowDesc
Prevent enemy follow-up[N]
attacks for several turns.[X]

## BarrierDesc
Increases magic resistance[N]
of adjacent allies briefly.[X]

## LightRuneDesc
Place an impassable rune.[X]

## WarpDesc
Moves allies in adjacent[N]
spaces instantly elsewhere.[X]

## RescueDesc
Moves allies from distant[N]
spaces to adjacent ones.[X]

## SwarpDesc
Switch places with[N]
a distant ally.[X]

## UnlockDesc
Unlocks doors and chests,[N]
even from a distance.[X]

## AngelicRobeDesc
Increases HP by a max of[N]
7 points. Vanishes after use.[X]

## EnergyRingDesc
Increases Str by 2 points.[N]
Vanishes after use.[X]

## SpiritDustDesc
Increases Mag by 2 points.[N]
Vanishes after use.[X]

## SecretBookDesc
Increases Dex by 2 points.[N]
Vanishes after use.[X]

## SpeedwingDesc
Increases Spd by 2 points.[N]
Vanishes after use.[X]

## GoddessIconDesc
Increases Luk by 2 points.[N]
Vanishes after use.[X]

## DragonshieldDesc
Increases Def by 2 points.[N]
Vanishes after use.[X]

## TalismanDesc
Increases Res by 2 points.[N]
Vanishes after use.[X]

## BootsDesc
Increases movement by[N]
2 points. Vanishes after use.[X]

## SolarCrestDesc
For some units Lv. 10 and up[N]
who have not changed class.[X]

## LunarRingDesc
For some units Lv. 10 and up[N]
who have not changed class.[X]

## AstralSigilDesc
For some units Lv. 10 and up[N]
who have not changed class.[X]

## VulneraryDesc
A medicinal solution used[N]
for healing minor wounds.[X]

## ElixirDesc
A powerful solution that[N]
restores all HP.[X]

## PureWaterDesc
A draught that boosts Res.[N]
Grows weaker each turn.[X]

## AntitoxinDesc
A medicinal solution that[N]
cures poison.[X]

## TorchDesc
A staff with burning pitch.[N]
Grows dimmer each turn.[X]

## RedGemDesc
An uncommon gemstone[N]
worth 2,500 gold.[X]

## BlueGemDesc
A rare gemstone worth[N]
5,000 gold.[X]

## WhiteGemDesc
A valuable gemstone worth[N]
10,000 gold.[X]

## BlackGemDesc
A valuable gemstone worth[N]
15,000 gold.[X]

## SilverCardDesc
A special card that reduces[N]
the cost of all items by half.[X]

## MemberCardDesc
If someone with this card[N]
stops in a suspicious space...[X]


