0x8b0890,Chapter Number Pointer,Object Type,Palette,Tile Configuration,Map,Tile Animation 1,Tile Animation 2,Triggerable Map Changes,Fog of War sight level (0 = No fog),Battle Preparations,Save Menu Chapter Name,Always Zero,Unknown,Unknown,Weather Condition,Battle tileset,Hard Mode Bonus levels (top nibble only),Byte 22,Player Phase music,Enemy Phase music,NPC Phase music,##UNKNOWN##,Player Phase music 2,Enemy Phase music 2,NPC Phase music 2,##UNKNOWN##,Destructible Walls HP,##UNKNOWN##,Byte 62,Byte 63,Byte 64,Byte 65,Byte 66,Byte 67,##UNKNOWN##,Event Data Reference,Worldmap Chapter Prologue Scene,##UNKNOWN##,"Prep Screen Chapter Number (multiply by 2, e.g. Ch 2x = 2.5*2 = 5)",##UNKNOWN##,No. of enemies left for Grasping at Victory,Chapter Title Display Fade-out,Status - Objective Text,Goal Window Text,Goal Window Information,Turns to count down to +1,Protect Character Marker,Tile Marker - X-Coordinate,Tile Marker - Y-Coordinate,##UNKNOWN##
0A Ch 9 Eirika,0x81c32f0,0xe,0xf,0x10,0x2b,0x12,0x0,0x2c,0,0,0xa,0x0,0x14,0x4,0,0x6,0x34,0x2,0xa,0x14,0xf,0xf0014000a,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16a016a0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x2d,0xb,0x0,18,0xffff00,1,0x1,0x1ac,0x19e,0x1,0,0x0,255,0,0x7
0B Ch 10 Eirika/Teras Plateau,0x81c32f4,0x2e,0x2f,0x30,0x31,0x0,0x0,0x32,0,0,0xb,0x0,0x8,0xf,0,0x12,0x34,0x2,0xa,0x14,0xf,0xf0014000a,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16b016b0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x33,0xc,0x0,20,0xffff00,1,0x1,0x1ad,0x19f,0x0,0,0x0,255,0,0x1d
0C Ch 12 Eirika,0x81c32f8,0x2e,0x34,0x30,0x35,0x0,0x0,0x36,0,0,0xc,0x0,0x8,0x16,0,0x12,0x34,0x2,0xa,0x14,0xf,0xf0014000a,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16c016c0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x37,0xd,0x0,24,0xffff00,1,0x0,0x1af,0x19e,0x1,0,0x0,255,0,0x1d
0D Ch 13 Eirika,0x81c32fc,0x1,0x38,0x3,0x39,0x5,0x0,0x3a,0,0,0xd,0x0,0x8,0x8,0,0x0,0x34,0x2,0xa,0x14,0xf,0xf0014000a,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16d016d0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x3b,0xe,0x0,26,0xffff00,1,0x1,0x1b0,0x19c,0x2,12,0x0,255,0,0x18
0E Ch 14 Eirika,0x81c3300,0x3c,0x3d,0x3e,0x3f,0x0,0x0,0x40,0,0,0xe,0x0,0x1,0x0,0,0xc,0x34,0x2,0xa,0x14,0xf,0xf0014000a,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16e016e0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x41,0xf,0x0,28,0xffff00,1,0x1,0x1b1,0x1a1,0x0,0,0x0,255,0,0x2a
0F Ch 15 Eirika,0x81c3304,0x42,0x43,0x44,0x45,0x5,0x0,0x46,0,0,0xf,0x0,0xd,0x6,0,0x9,0x34,0x2,0xa,0x14,0xf,0xf0014000a,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16f016f0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x47,0x10,0x0,30,0xffff00,1,0x1,0x1b2,0x19e,0x1,0,0x0,255,0,0x30
10 Ch 16 Eirika,0x81c3308,0x18,0x48,0x1a,0x49,0x1c,0x0,0x4a,0,0,0x10,0x0,0x1,0x0,0,0x10,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17001700000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x4b,0x11,0x0,32,0xffff00,1,0x1,0x1b3,0x1a1,0x0,0,0x0,255,0,0xc
11 Ch 17 Eirika/Narube River,0x81c330c,0x1,0x4c,0x3,0x4d,0x5,0x0,0x4e,0,0,0x11,0x0,0x1,0x0,0,0x14,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17101710000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x4f,0x12,0x0,34,0xffff00,1,0x1,0x1b4,0x19d,0x3,0,0x0,255,0,0x18
12 Ch 18 Eirika/Neleras Peak,0x81c3310,0x50,0x51,0x52,0x53,0x0,0x54,0x55,0,0,0x12,0x0,0x1,0x1b,0,0x2,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17201720000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x56,0x13,0x0,36,0xffff00,1,0x1,0x1b5,0x19e,0x1,0,0x0,255,0,0x32
13 Ch 19 Eirika,0x81c3314,0x18,0x57,0x1a,0x58,0x1c,0x0,0x59,3,0,0x13,0x0,0x11,0xb,0,0x11,0x44,0x2,0x11,0x18,0x11,0x1100180011,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17301730000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x5a,0x14,0x0,38,0xffff00,1,0x1,0x1b6,0x19c,0x2,14,0xc8,255,0,0xb
14 Ch 20 Eirika,0x81c3318,0x1,0x5b,0x3,0x5c,0x5,0x0,0x5d,0,0,0x14,0x0,0xc,0xc,0,0xd,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17401740000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x5e,0x15,0x0,40,0xffff00,1,0x1,0x1b7,0x1a0,0x0,0,0x0,255,0,0x31
15 Final Ch 1 Eirika,0x81c331c,0x5f,0x60,0x61,0x62,0x0,0x0,0x63,0,0,0x15,0x0,0xc,0x14,0,0xd,0x44,0x2,0xe,0x16,0xf,0xf0016000e,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17501750000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x64,0x16,0x0,42,0xffff00,0,0x1,0x1b8,0x19d,0x3,0,0x0,255,0,0x34
16 Final Ch 2 Erika,0x81c3320,0x5f,0x60,0x61,0x65,0x0,0x0,0x66,0,0,0x16,0x0,0xc,0x6,0,0xd,0x44,0x2,0x45,0x16,0xf,0xf00160045,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17601760000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x67,0x17,0x0,44,0xffff00,0,0x1,0x1b9,0x19d,0x3,0,0x0,255,0,0x34
17 Ch 9 Ephraim,0x81c3328,0x3c,0x68,0x3e,0x69,0x0,0x0,0x6a,0,0,0x17,0x0,0x13,0xa,0,0xa,0x34,0x2,0xc,0x14,0xf,0xf0014000c,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17701770000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x6b,0x18,0x0,46,0xffff00,1,0x1,0x1ba,0x1a1,0x0,0,0x0,255,0,0x26
18 Ch 10 Ephraim/Bethroen,0x81c332c,0x6c,0x6d,0x6e,0x6f,0x5,0x0,0x70,0,0,0x18,0x0,0x1,0x0,0,0x13,0x34,0x2,0xc,0x14,0xf,0xf0014000c,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17801780000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x71,0x19,0x0,48,0xffff00,1,0x1,0x1bb,0x19c,0x2,11,0x1d,255,0,0x7
19 Ch 12 Ephraim,0x81c3330,0xe,0x72,0x10,0x73,0x12,0x0,0x74,0,0,0x19,0x0,0x8,0x15,0,0x7,0x34,0x2,0xc,0x14,0xf,0xf0014000c,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17901790000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x75,0x1a,0x0,52,0xffff00,1,0x1,0x1bd,0x19d,0x3,0,0x0,255,0,0x7
1A Ch 13 Ephraim/Za'abadul Marsh,0x81c3334,0x1,0x2,0x3,0x76,0x5,0x0,0x77,0,0,0x1a,0x0,0xf,0xe,0,0x0,0x34,0x2,0xc,0x14,0xf,0xf0014000c,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17a017a0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x78,0x1b,0x0,54,0xffff00,1,0x0,0x1be,0x19e,0x1,0,0x0,255,0,0x18
1B Ch 14 Ephraim,0x81c3338,0x79,0x7a,0x7b,0x7c,0x7d,0x0,0x7e,0,0,0x1b,0x0,0x1,0x0,0,0xf,0x34,0x2,0xc,0x14,0xf,0xf0014000c,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17b017b0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x7f,0x1c,0x0,56,0xffff00,1,0x1,0x1bf,0x1a1,0x0,0,0x0,255,0,0xc
1C Ch 15 Ephraim,0x81c333c,0x42,0x43,0x44,0x45,0x5,0x0,0x46,0,0,0x1c,0x0,0xd,0x4,0,0x9,0x44,0x2,0xc,0x14,0xf,0xf0014000c,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17c017c0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x80,0x1d,0x0,58,0xffff00,1,0x1,0x1b2,0x19e,0x1,0,0x0,255,0,0x30
1D Ch 16 Ephraim,0x81c3340,0x18,0x48,0x1a,0x49,0x1c,0x0,0x4a,0,0,0x1d,0x0,0x1,0x0,0,0x10,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17d017d0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x81,0x1e,0x0,60,0xffff00,1,0x1,0x1b3,0x1a1,0x0,0,0x0,255,0,0xc
1E Ch 17 Ephraim/Narube River,0x81c3344,0x1,0x4c,0x3,0x4d,0x5,0x0,0x4e,0,0,0x1e,0x0,0x1,0x0,0,0x14,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17e017e0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x82,0x1f,0x0,62,0xffff00,1,0x1,0x1b4,0x19d,0x3,0,0x0,255,0,0x18
1F Ch 18 Ephraim/Neleras Peak,0x81c3348,0x50,0x51,0x52,0x53,0x0,0x54,0x55,0,0,0x1f,0x0,0x1,0x1b,0,0x2,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x17f017f0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x83,0x20,0x0,64,0xffff00,1,0x1,0x1b5,0x19e,0x1,0,0x0,255,0,0x32
20 Ch 19 Ephraim,0x81c334c,0x18,0x57,0x1a,0x58,0x1c,0x0,0x59,3,0,0x20,0x0,0x11,0xb,0,0x11,0x44,0x2,0x11,0x18,0x11,0x1100180011,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18001800000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x84,0x21,0x0,66,0xffff00,1,0x1,0x1b6,0x19c,0x2,14,0xc8,255,0,0xc
21 Ch 20 Ephraim,0x81c3350,0x1,0x5b,0x3,0x5c,0x5,0x0,0x5d,0,0,0x21,0x0,0xc,0xc,0,0xd,0x44,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18101810000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x85,0x22,0x0,68,0xffff00,1,0x1,0x1b7,0x1a0,0x0,0,0x0,255,0,0x31
22 Final Ch 1 Ephraim,0x81c3354,0x5f,0x60,0x61,0x62,0x0,0x0,0x63,0,0,0x22,0x0,0xc,0x14,0,0xd,0x44,0x2,0xe,0x16,0xf,0xf0016000e,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18201820000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x86,0x23,0x0,70,0xffff00,0,0x1,0x1b8,0x19d,0x3,0,0x0,255,0,0x34
23 Final Ch 2 Ephraim,0x81c3358,0x5f,0x60,0x61,0x65,0x0,0x0,0x66,0,0,0x23,0x0,0xc,0x6,0,0xd,0x44,0x2,0x45,0x16,0xf,0xf00160045,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18301830000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x87,0x24,0x0,72,0xffff00,0,0x1,0x1b9,0x19d,0x3,0,0x0,255,0,0x34
24 Tower of Valni 1,0x81c3360,0x88,0x89,0x8a,0x8b,0x0,0x0,0x8c,0,0,0x24,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18401840000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x8d,0x25,0x0,2,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
25 Tower of Valni 2,0x81c3364,0x88,0x89,0x8a,0x8e,0x0,0x0,0x8f,0,0,0x25,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18501850000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x90,0x26,0x0,4,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
26 Tower of Valni 3,0x81c3368,0x88,0x89,0x8a,0x91,0x0,0x0,0x92,0,0,0x26,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18601860000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x93,0x27,0x0,6,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
27 Tower of Valni 4,0x81c336c,0x88,0x89,0x8a,0x94,0x0,0x0,0x95,0,0,0x27,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18701870000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x96,0x28,0x0,8,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
28 Tower of Valni 5,0x81c3370,0x88,0x89,0x8a,0x97,0x0,0x0,0x98,0,0,0x28,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18801880000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x99,0x29,0x0,10,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
29 Tower of Valni 6,0x81c3374,0x88,0x89,0x8a,0x9a,0x0,0x0,0x9b,0,0,0x29,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18901890000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x9c,0x2a,0x0,12,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
2A Tower of Valni 7,0x81c3378,0x88,0x89,0x8a,0x9d,0x0,0x0,0x9e,0,0,0x2a,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18a018a0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x9f,0x2b,0x0,14,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
2B Tower of Valni 8,0x81c337c,0x88,0x89,0x8a,0xa0,0x0,0x0,0xa1,0,0,0x2b,0x0,0x1,0x0,0,0xb,0x34,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18b018b0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xa2,0x2c,0x0,16,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
2C Tower of Valni 8 (Cutscene),0x81c3380,0x88,0x89,0x8a,0xa0,0x0,0x0,0xa1,0,0,0x0,0x0,0x1,0x0,0,0xb,0x34,0x2,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
2D Tower of Valni 8 (Cutscene 2),0x81c3380,0x88,0x89,0x8a,0xa0,0x0,0x0,0xa1,0,0,0x0,0x0,0x1,0x0,0,0xb,0x34,0x2,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
2E Lagdou Ruins 1,0x81c3384,0x6c,0xa3,0x6e,0xa4,0x5,0x0,0xa5,0,0,0x2e,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18e018e0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xa6,0x2d,0x0,2,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
2F Lagdou Ruins 2,0x81c3388,0x6c,0xa3,0x6e,0xa7,0x5,0x0,0xa8,0,0,0x2f,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x18f018f0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xa9,0x2e,0x0,4,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
30 Lagdou Ruins 3,0x81c338c,0x6c,0xa3,0x6e,0xaa,0x5,0x0,0xab,0,0,0x30,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19001900000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xac,0x2f,0x0,6,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
31 Lagdou Ruins 4,0x81c3390,0x6c,0xa3,0x6e,0xad,0x5,0x0,0xae,0,0,0x31,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19101910000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xaf,0x30,0x0,8,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
