INLINE CharLevelUpSkillTable,Skill List Address
None,0
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Lyon's Summon,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Knoll's Summon,EphraimLordSkillList|IsPointer
Ewan's Summon,EphraimLordSkillList|IsPointer
Lyon (Ch 17),EphraimLordSkillList|IsPointer
Morva (Ch 20),EphraimLordSkillList|IsPointer
Orson (Ch 5x),EphraimLordSkillList|IsPointer
Valter (Ch 15),EphraimLordSkillList|IsPointer
Selena (Ch 10B & 13B),EphraimLordSkillList|IsPointer
Valter (Prologue),EphraimLordSkillList|IsPointer
Breguet (Ch 1),EphraimLordSkillList|IsPointer
Bone (Ch 2),EphraimLordSkillList|IsPointer
Bazba (Ch 3),EphraimLordSkillList|IsPointer
Entombed (Ch 4),EphraimLordSkillList|IsPointer
Saar (Ch 5),EphraimLordSkillList|IsPointer
Novala (Ch 6),EphraimLordSkillList|IsPointer
Murray (Ch 7),EphraimLordSkillList|IsPointer
Tirado (Ch 8),EphraimLordSkillList|IsPointer
Binks (Ch 9A),EphraimLordSkillList|IsPointer
Pablo (Ch 10A),EphraimLordSkillList|IsPointer
Maelduin (Ch 12A),EphraimLordSkillList|IsPointer
Aias (Ch 13A),EphraimLordSkillList|IsPointer
Carlyle (Ch 14A),EphraimLordSkillList|IsPointer
Caellach (Ch 15),EphraimLordSkillList|IsPointer
Pablo (Ch 13A),EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Gorgon (Ch 18),EphraimLordSkillList|IsPointer
Riev (Ch 19 & 20),EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Gheb (Ch 9B),EphraimLordSkillList|IsPointer
Beran (Ch 10B),EphraimLordSkillList|IsPointer
Cyclops (Ch 12B),EphraimLordSkillList|IsPointer
Wight (Ch 11A),EphraimLordSkillList|IsPointer
Deathgoyle (Ch 11B),EphraimLordSkillList|IsPointer
Entombed (Monster Boss),EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Hunter (Ch 16),EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Brigand,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
O'Neill (Prologue),EphraimLordSkillList|IsPointer
Glen (Cutscene),EphraimLordSkillList|IsPointer
Zonta (Ch 5x),EphraimLordSkillList|IsPointer
Vigarde (Ch 14B),EphraimLordSkillList|IsPointer
Lyon (Ch Final),EphraimLordSkillList|IsPointer
Orson (Ch 16),EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Grado Soldier (Special),EphraimLordSkillList|IsPointer
Grado Soldier 1 (Normal),EphraimLordSkillList|IsPointer
Grado Soldier 2,EphraimLordSkillList|IsPointer
Grado Soldier 3,EphraimLordSkillList|IsPointer
Grado Soldier 4,EphraimLordSkillList|IsPointer
Grado Soldier 5,EphraimLordSkillList|IsPointer
Grado Soldier 6,EphraimLordSkillList|IsPointer
Grado Soldier 7,EphraimLordSkillList|IsPointer
Grado Soldier 8,EphraimLordSkillList|IsPointer
Grado Soldier 9,EphraimLordSkillList|IsPointer
Grado Soldier 10 (Duessel's),EphraimLordSkillList|IsPointer
Grado Soldier 11 (Duessel's),EphraimLordSkillList|IsPointer
Grado Soldier 12 (Duessel's),EphraimLordSkillList|IsPointer
Grado Soldier 13,EphraimLordSkillList|IsPointer
Grado Remnant 1 (Main),EphraimLordSkillList|IsPointer
Cutthroat,EphraimLordSkillList|IsPointer
Grado Remnant 2 (Cutscene and C16 only?),EphraimLordSkillList|IsPointer
Grado Remnant 3 (C16 only?),EphraimLordSkillList|IsPointer
Grado Remnant 4 (C16 only?),EphraimLordSkillList|IsPointer
Wraith (Sage),EphraimLordSkillList|IsPointer
Wraith (Swords),EphraimLordSkillList|IsPointer
Wraith (Axes),EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
Mercenary (C9A),TrainerSkillList|IsPointer
Mercenary (C10A),TrainerSkillList|IsPointer
Merc Remnant (C13A),TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Monster,TrainerSkillList|IsPointer
Demon King,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
Frelian,TrainerSkillList|IsPointer
Frelian,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
Fado (Renais),TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
Hayden (Frelia),TrainerSkillList|IsPointer
Mansel (Rausten),TrainerSkillList|IsPointer
Klimt (Carcino),TrainerSkillList|IsPointer
Dara (Caer Pelyn),TrainerSkillList|IsPointer
Ismaire (Jehanna),TrainerSkillList|IsPointer
Pegasus Messenger,TrainerSkillList|IsPointer
Rausten Knight,TrainerSkillList|IsPointer
Rausten Knight,TrainerSkillList|IsPointer
(Untested Beyond this point),TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
-,TrainerSkillList|IsPointer
