INLINE NewMovingMapSpriteTable,Animation pointer,Another pointer
0x4B,r70Moving|IsPointer,0x81fd028
0x4C,r71Moving|IsPointer,0x81fd028
0x4D,r72Moving|IsPointer,0x81fd028
0x4E,r73Moving|IsPointer,0x81fd028
0x4F,r74Moving|IsPointer,0x81fd028
0x50,r75Moving|IsPointer,0x81fd028
0x51,0x00,0x81fd028
0x52,r76Moving|IsPointer,0x81fd028
0x53,r77Moving|IsPointer,0x81fd028
0x54,r78Moving|IsPointer,0x81fd028
0x55,r79Moving|IsPointer,0x81fd028
0x56,r80Moving|IsPointer,0x81fd028
0x57,r81Moving|IsPointer,0x81fd028
0x58,r82Moving|IsPointer,0x81fd028
0x59,r83Moving|IsPointer,0x81fd028
0x5A,r84Moving|IsPointer,0x81fd028
0x5B,r85Moving|IsPointer,0x81fd028
0x5C,r86Moving|IsPointer,0x81fd028
0x5D,r87Moving|IsPointer,0x81fd028
0x5E,r88Moving|IsPointer,0x81fd028
0x5F,0x0,0x81fd028
0x60,0x0,0x81fd028
0x61,0x0,0x81fd028
0x62,0x0,0x81fd028
0x63,0x0,0x81fd028
0x64,0x0,0x81fd028
0x65,0x0,0x81fd028
0x66,0x0,0x81fd028
0x67,0x0,0x81fd028
0x68,0x0,0x81fd028
0x69,0x0,0x81fd028
0x6A,0x0,0x81fd028
0x6B,0x0,0x81fd028
0x6C,0x0,0x81fd028
0x6D,0x0,0x81fd028
0x6E,0x0,0x81fd028
0x6F,0x0,0x81fd028
0x70,0x0,0x81fd028
0x71,0x0,0x81fd028
0x72,0x0,0x81fd028
0x73,0x0,0x81fd028
0x74,0x0,0x81fd028
0x75,0x0,0x81fd028
0x76,0x0,0x81fd028
0x77,0x0,0x81fd028
0x78,0x0,0x81fd028
0x79,0x0,0x81fd028
0x7A,0x0,0x81fd028
0x7B,0x0,0x81fd028
0x7C,0x0,0x81fd028
0x7D,0x0,0x81fd028
0x7E,0x0,0x81fd028
0x7F,0x0,0x81fd028
0x80,r89Moving|IsPointer,0x81fd028
0x81,r90Moving|IsPointer,0x81fd028
0x82,r91Moving|IsPointer,0x81fd028
0x83,r92Moving|IsPointer,0x81fd028
0x84,r93Moving|IsPointer,0x81fd028
0x85,r94Moving|IsPointer,0x81fd028
0x86,r95Moving|IsPointer,0x81fd028
0x87,r96Moving|IsPointer,0x81fd028
0x88,r97Moving|IsPointer,0x81fd028
0x89,r98Moving|IsPointer,0x81fd028
0x8A,r99Moving|IsPointer,0x81fd028
0x8B,r100Moving|IsPointer,0x81fd028
0x8C,r101Moving|IsPointer,0x81fd028
0x8D,r102Moving|IsPointer,0x81fd028
0x8E,r103Moving|IsPointer,0x81fd028
0x8F,r104Moving|IsPointer,0x81fd028
0x90,r105Moving|IsPointer,0x81fd028
0x91,r106Moving|IsPointer,0x81fd028
0x92,r107Moving|IsPointer,0x81fd028
0x93,r108Moving|IsPointer,0x81fd028
0x94,r109Moving|IsPointer,0x81fd028
0x95,r110Moving|IsPointer,0x81fd028
0x96,r111Moving|IsPointer,0x81fd028
0x97,r112Moving|IsPointer,0x81fd028
0x98,r113Moving|IsPointer,0x81fd028
0x99,r114Moving|IsPointer,0x81fd028
0x9A,r115Moving|IsPointer,0x81fd028
0x9B,r116Moving|IsPointer,0x81fd028
0x9C,r117Moving|IsPointer,0x81fd028
0x9D,r118Moving|IsPointer,0x81fd028
0x9E,r119Moving|IsPointer,0x81fd028
0x9F,r120Moving|IsPointer,0x81fd028
0xA0,r121Moving|IsPointer,0x81fd028
0xA1,r122Moving|IsPointer,0x81fd028
0xA2,r123Moving|IsPointer,0x81fd028
0xA3,r124Moving|IsPointer,0x81fd028
0xA4,r125Moving|IsPointer,0x81fd028
0xA5,r126Moving|IsPointer,0x81fd028
0xA6,r127Moving|IsPointer,0x81fd028
0xA7,r128Moving|IsPointer,0x81fd028
0xA8,r129Moving|IsPointer,0x81fd028
0xA9,r130Moving|IsPointer,0x81fd028
0xAA,r131Moving|IsPointer,0x81fd028
0xAB,r132Moving|IsPointer,0x81fd028
0xAC,r133Moving|IsPointer,0x81fd028
0xAD,r134Moving|IsPointer,0x81fd028
0xAE,r135Moving|IsPointer,0x81fd028
0xAF,r136Moving|IsPointer,0x81fd028
0xB0,r137Moving|IsPointer,0x81fd028
0xB1,r138Moving|IsPointer,0x81fd028
0xB2,r139Moving|IsPointer,0x81fd028
0xB3,r140Moving|IsPointer,0x81fd028
0xB4,r141Moving|IsPointer,0x81fd028
0xB5,r142Moving|IsPointer,0x81fd028
0xB6,r143Moving|IsPointer,0x81fd028
0xB7,r144Moving|IsPointer,0x81fd028
0xB8,r145Moving|IsPointer,0x81fd028
0xB9,r146Moving|IsPointer,0x81fd028
0xBA,r147Moving|IsPointer,0x81fd028
0xBB,r148Moving|IsPointer,0x81fd028
0xBC,r149Moving|IsPointer,0x81fd028
0xBD,r150Moving|IsPointer,0x81fd028
0xBE,r151Moving|IsPointer,0x81fd028
0xBF,0x0,0x81fd028
0xC0,0x0,0x81fd028
0xC1,0x0,0x81fd028
0xC2,0x0,0x81fd028
0xC3,0x0,0x81fd028
0xC4,0x0,0x81fd028
0xC5,0x0,0x81fd028
0xC6,0x0,0x81fd028
0xC7,0x0,0x81fd028
0xC8,0x0,0x81fd028
0xC9,0x0,0x81fd028
0xCA,0x0,0x81fd028
0xCB,0x0,0x81fd028
0xCC,0x0,0x81fd028
0xCD,0x0,0x81fd028
0xCE,0x0,0x81fd028
0xCF,0x0,0x81fd028
0xD0,0x0,0x81fd028
0xD1,0x0,0x81fd028
0xD2,0x0,0x81fd028
0xD3,0x0,0x81fd028
0xD4,0x0,0x81fd028
0xD5,0x0,0x81fd028
0xD6,0x0,0x81fd028
0xD7,0x0,0x81fd028
0xD8,0x0,0x81fd028
0xD9,0x0,0x81fd028
0xDA,0x0,0x81fd028
0xDB,0x0,0x81fd028
0xDC,0x0,0x81fd028
0xDD,0x0,0x81fd028
0xDE,0x0,0x81fd028
0xDF,0x0,0x81fd028
0xE0,0x0,0x81fd028
0xE1,0x0,0x81fd028
0xE2,0x0,0x81fd028
0xE3,0x0,0x81fd028
0xE4,0x0,0x81fd028
0xE5,0x0,0x81fd028
0xE6,0x0,0x81fd028
0xE7,0x0,0x81fd028
0xE8,0x0,0x81fd028
0xE9,0x0,0x81fd028
0xEA,0x0,0x81fd028
0xEB,0x0,0x81fd028
0xEC,0x0,0x81fd028
0xED,0x0,0x81fd028
0xEE,0x0,0x81fd028
0xEF,0x0,0x81fd028
0xF0,0x0,0x81fd028
0xF1,0x0,0x81fd028
0xF2,0x0,0x81fd028
0xF3,0x0,0x81fd028
0xF4,0x0,0x81fd028
0xF5,0x0,0x81fd028
0xF6,0x0,0x81fd028
0xF7,0x0,0x81fd028
0xF8,0x0,0x81fd028
0xF9,0x0,0x81fd028
0xFA,0x0,0x81fd028
0xFB,0x0,0x81fd028
0xFC,0x0,0x81fd028
0xFD,0x0,0x81fd028
0xFE,0x0,0x81fd028
