INLINE NewStandingMapSpriteTable,Unknown,##UNKNOWN##,Size,##UNKNOWN##,Poiner to graphics
0x43,0x3,0x0,0x2,0x0,m67Standing|IsPointer
0x44,0x3,0x0,0x2,0x0,m68Standing|IsPointer
0x45,0x3,0x0,0x2,0x0,m69Standing|IsPointer
0x46,0x3,0x0,0x2,0x0,m70Standing|IsPointer
0x47,0x3,0x0,0x2,0x0,m71Standing|IsPointer
0x48,0x3,0x0,0x2,0x0,m72Standing|IsPointer
0x49,0x3,0x0,0x2,0x0,m73Standing|IsPointer
0x4A,0x3,0x0,0x2,0x0,m74Standing|IsPointer
0x4B,0x3,0x0,0x2,0x0,m75Standing|IsPointer
0x4C,0x3,0x0,0x2,0x0,m76Standing|IsPointer
0x4D,0x3,0x0,0x2,0x0,m77Standing|IsPointer
0x4E,0x3,0x0,0x2,0x0,m78Standing|IsPointer
0x4F,0x3,0x0,0x2,0x0,m79Standing|IsPointer
0x50,0x3,0x0,0x2,0x0,m80Standing|IsPointer
0x51,0x3,0x0,0x2,0x0,m81Standing|IsPointer
0x52,0x3,0x0,0x2,0x0,m82Standing|IsPointer
0x53,0x3,0x0,0x2,0x0,m83Standing|IsPointer
0x54,0x3,0x0,0x2,0x0,m84Standing|IsPointer
0x55,0x3,0x0,0x2,0x0,m85Standing|IsPointer
0x56,0x3,0x0,0x2,0x0,m86Standing|IsPointer
0x57,0x3,0x0,0x2,0x0,m87Standing|IsPointer
0x58,0x3,0x0,0x2,0x0,m88Standing|IsPointer
0x59,0x3,0x0,0x2,0x0,m89Standing|IsPointer
0x5A,0x3,0x0,0x2,0x0,m90Standing|IsPointer
0x5B,0x3,0x0,0x2,0x0,m91Standing|IsPointer
0x5C,0x3,0x0,0x2,0x0,m92Standing|IsPointer
0x5D,0x3,0x0,0x2,0x0,m93Standing|IsPointer
0x5E,0x3,0x0,0x2,0x0,m94Standing|IsPointer
0x5F,0x3,0x0,0x2,0x0,m95Standing|IsPointer
0x60,0x3,0x0,0x2,0x0,m96Standing|IsPointer
0x61,0x3,0x0,0x2,0x0,m97Standing|IsPointer
0x62,0x3,0x0,0x2,0x0,m98Standing|IsPointer
0x63,0x3,0x0,0x2,0x0,m99Standing|IsPointer
0x64,0x3,0x0,0x2,0x0,m100Standing|IsPointer
0x65,0x3,0x0,0x2,0x0,m101Standing|IsPointer
0x66,0x3,0x0,0x2,0x0,m102Standing|IsPointer
0x67,0x3,0x0,0x2,0x0,m103Standing|IsPointer
0x68,0x3,0x0,0x2,0x0,m104Standing|IsPointer
0x69,0x3,0x0,0x2,0x0,m105Standing|IsPointer
0x6A,0x3,0x0,0x2,0x0,m106Standing|IsPointer
0x6B,0x3,0x0,0x2,0x0,m107Standing|IsPointer
0x6C,0x3,0x0,0x2,0x0,m108Standing|IsPointer
0x6D,0x3,0x0,0x2,0x0,m109Standing|IsPointer
0x6E,0x3,0x0,0x2,0x0,m110Standing|IsPointer
0x6F,0x3,0x0,0x2,0x0,m111Standing|IsPointer
0x70,0x3,0x0,0x2,0x0,m112Standing|IsPointer
0x71,0x3,0x0,0x2,0x0,m113Standing|IsPointer
0x72,0x3,0x0,0x2,0x0,m114Standing|IsPointer
0x73,0x3,0x0,0x2,0x0,m115Standing|IsPointer
0x74,0x3,0x0,0x2,0x0,m116Standing|IsPointer
0x75,0x3,0x0,0x2,0x0,m117Standing|IsPointer
0x76,0x3,0x0,0x2,0x0,m118Standing|IsPointer
0x77,0x3,0x0,0x2,0x0,m119Standing|IsPointer
0x78,0x3,0x0,0x2,0x0,m120Standing|IsPointer
0x79,0x3,0x0,0x2,0x0,m121Standing|IsPointer
0x7A,0x3,0x0,0x2,0x0,m122Standing|IsPointer
0x7B,0x3,0x0,0x2,0x0,m123Standing|IsPointer
0x7C,0x3,0x0,0x2,0x0,m124Standing|IsPointer
0x7D,0x3,0x0,0x2,0x0,m125Standing|IsPointer
0x7E,0x3,0x0,0x2,0x0,m126Standing|IsPointer
0x7F,0x3,0x0,0x2,0x0,m127Standing|IsPointer
0x80,0x3,0x0,0x2,0x0,m128Standing|IsPointer
0x81,0x3,0x0,0x2,0x0,m129Standing|IsPointer
0x82,0x3,0x0,0x2,0x0,m130Standing|IsPointer
0x83,0x3,0x0,0x2,0x0,m131Standing|IsPointer
0x84,0x3,0x0,0x2,0x0,m132Standing|IsPointer
0x85,0x3,0x0,0x2,0x0,m133Standing|IsPointer
0x86,0x3,0x0,0x2,0x0,m134Standing|IsPointer
0x87,0x3,0x0,0x2,0x0,m135Standing|IsPointer
0x88,0x3,0x0,0x2,0x0,m136Standing|IsPointer
0x89,0x3,0x0,0x2,0x0,m137Standing|IsPointer
0x8A,0x3,0x0,0x2,0x0,m138Standing|IsPointer
0x8B,0x3,0x0,0x2,0x0,m139Standing|IsPointer
0x8C,0x3,0x0,0x2,0x0,m140Standing|IsPointer
0x8D,0x3,0x0,0x2,0x0,m141Standing|IsPointer
0x8E,0x3,0x0,0x2,0x0,m142Standing|IsPointer
0x8F,0x3,0x0,0x2,0x0,m143Standing|IsPointer
0x90,0x3,0x0,0x2,0x0,m144Standing|IsPointer
0x91,0x3,0x0,0x2,0x0,m145Standing|IsPointer
0x92,0x3,0x0,0x2,0x0,m146Standing|IsPointer
0x93,0x3,0x0,0x2,0x0,m147Standing|IsPointer
0x94,0x3,0x0,0x2,0x0,m148Standing|IsPointer
0x95,0x3,0x0,0x2,0x0,m149Standing|IsPointer
0x96,0x3,0x0,0x2,0x0,m150Standing|IsPointer
0x97,0x3,0x0,0x2,0x0,m151Standing|IsPointer
0x98,0x3,0x0,0x2,0x0,0x0
0x99,0x3,0x0,0x2,0x0,0x0
0x9A,0x3,0x0,0x2,0x0,0x0
0x9B,0x3,0x0,0x2,0x0,0x0
0x9C,0x3,0x0,0x2,0x0,0x0
0x9D,0x3,0x0,0x2,0x0,0x0
0x9E,0x3,0x0,0x2,0x0,0x0
0x9F,0x3,0x0,0x2,0x0,0x0
0xA0,0x3,0x0,0x2,0x0,0x0
0xA1,0x3,0x0,0x2,0x0,0x0
0xA2,0x3,0x0,0x2,0x0,0x0
0xA3,0x3,0x0,0x2,0x0,0x0
0xA4,0x3,0x0,0x2,0x0,0x0
0xA5,0x3,0x0,0x2,0x0,0x0
0xA6,0x3,0x0,0x2,0x0,0x0
0xA7,0x3,0x0,0x2,0x0,0x0
0xA8,0x3,0x0,0x2,0x0,0x0
0xA9,0x3,0x0,0x2,0x0,0x0
0xAA,0x3,0x0,0x2,0x0,0x0
0xAB,0x3,0x0,0x2,0x0,0x0
0xAC,0x3,0x0,0x2,0x0,0x0
0xAD,0x3,0x0,0x2,0x0,0x0
0xAE,0x3,0x0,0x2,0x0,0x0
0xAF,0x3,0x0,0x2,0x0,0x0
0xB0,0x3,0x0,0x2,0x0,0x0
0xB1,0x3,0x0,0x2,0x0,0x0
0xB2,0x3,0x0,0x2,0x0,0x0
0xB3,0x3,0x0,0x2,0x0,0x0
0xB4,0x3,0x0,0x2,0x0,0x0
0xB5,0x3,0x0,0x2,0x0,0x0
0xB6,0x3,0x0,0x2,0x0,0x0
0xB7,0x3,0x0,0x2,0x0,0x0
0xB8,0x3,0x0,0x2,0x0,0x0
0xB9,0x3,0x0,0x2,0x0,0x0
0xBA,0x3,0x0,0x2,0x0,0x0
0xBB,0x3,0x0,0x2,0x0,0x0
0xBC,0x3,0x0,0x2,0x0,0x0
0xBD,0x3,0x0,0x2,0x0,0x0
0xBE,0x3,0x0,0x2,0x0,0x0
0xBF,0x3,0x0,0x2,0x0,0x0
0xC0,0x3,0x0,0x2,0x0,0x0
0xC1,0x3,0x0,0x2,0x0,0x0
0xC2,0x3,0x0,0x2,0x0,0x0
0xC3,0x3,0x0,0x2,0x0,0x0
0xC4,0x3,0x0,0x2,0x0,0x0
0xC5,0x3,0x0,0x2,0x0,0x0
0xC6,0x3,0x0,0x2,0x0,0x0
0xC7,0x3,0x0,0x2,0x0,0x0
0xC8,0x3,0x0,0x2,0x0,0x0
0xC9,0x3,0x0,0x2,0x0,0x0
0xCA,0x3,0x0,0x2,0x0,0x0
0xCB,0x3,0x0,0x2,0x0,0x0
0xCC,0x3,0x0,0x2,0x0,0x0
0xCD,0x3,0x0,0x2,0x0,0x0
0xCE,0x3,0x0,0x2,0x0,0x0
0xCF,0x3,0x0,0x2,0x0,0x0
0xD0,0x3,0x0,0x2,0x0,0x0
0xD1,0x3,0x0,0x2,0x0,0x0
0xD2,0x3,0x0,0x2,0x0,0x0
0xD3,0x3,0x0,0x2,0x0,0x0
0xD4,0x3,0x0,0x2,0x0,0x0
0xD5,0x3,0x0,0x2,0x0,0x0
0xD6,0x3,0x0,0x2,0x0,0x0
0xD7,0x3,0x0,0x2,0x0,0x0
0xD8,0x3,0x0,0x2,0x0,0x0
0xD9,0x3,0x0,0x2,0x0,0x0
0xDA,0x3,0x0,0x2,0x0,0x0
0xDB,0x3,0x0,0x2,0x0,0x0
0xDC,0x3,0x0,0x2,0x0,0x0
0xDD,0x3,0x0,0x2,0x0,0x0
0xDE,0x3,0x0,0x2,0x0,0x0
0xDF,0x3,0x0,0x2,0x0,0x0
0xE0,0x3,0x0,0x2,0x0,0x0
0xE1,0x3,0x0,0x2,0x0,0x0
0xE2,0x3,0x0,0x2,0x0,0x0
0xE3,0x3,0x0,0x2,0x0,0x0
0xE4,0x3,0x0,0x2,0x0,0x0
0xE5,0x3,0x0,0x2,0x0,0x0
0xE6,0x3,0x0,0x2,0x0,0x0
0xE7,0x3,0x0,0x2,0x0,0x0
0xE8,0x3,0x0,0x2,0x0,0x0
0xE9,0x3,0x0,0x2,0x0,0x0
0xEA,0x3,0x0,0x2,0x0,0x0
0xEB,0x3,0x0,0x2,0x0,0x0
0xEC,0x3,0x0,0x2,0x0,0x0
0xED,0x3,0x0,0x2,0x0,0x0
0xEE,0x3,0x0,0x2,0x0,0x0
0xEF,0x3,0x0,0x2,0x0,0x0
0xF0,0x3,0x0,0x2,0x0,0x0
0xF1,0x3,0x0,0x2,0x0,0x0
0xF2,0x3,0x0,0x2,0x0,0x0
0xF3,0x3,0x0,0x2,0x0,0x0
0xF4,0x3,0x0,0x2,0x0,0x0
0xF5,0x3,0x0,0x2,0x0,0x0
0xF6,0x3,0x0,0x2,0x0,0x0
0xF7,0x3,0x0,0x2,0x0,0x0
0xF8,0x3,0x0,0x2,0x0,0x0
0xF9,0x3,0x0,0x2,0x0,0x0
0xFA,0x3,0x0,0x2,0x0,0x0
0xFB,0x3,0x0,0x2,0x0,0x0
0xFC,0x3,0x0,0x2,0x0,0x0
0xFD,0x3,0x0,0x2,0x0,0x0
0xFE,0x3,0x0,0x2,0x0,0x0
,0x3,0x0,0x2,0x0,0x0
