0x8b0890,CP,ObjTypeID,PaletteID,TileConfigID,MapID,Anims1,Anims2,MapChangesID,Fog,N/A,Chapter Title,N/A,Initial coord,N/A,Weather,BattleBG,DifficultyBonus,Player Phase BGM,Enemy Phase BGM,NPC BGM,N/A (Player Battle BGM),N/A (Enemy Battle BGM),N/A (Ally Battle BGM),Player Phase BGM Flag 4,Enemy Phase BGM Flag 4,N/A (Preparation BGM),N/A,N/A,Wall HP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChName,N/A (ChName),EventsID,WMEventsID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChNumber,N/A,N/A,N/A,N/A,N/A,Foes for Victory BGM,Dark Before Initial Event,StatusObjectiveText,GoalWindowText,GoalWindowInfo,Turns to Defend,Unit to Defend,Withdrawal Point,N/A,N/A,N/A,N/A
0A Ch 9 Eirika,0x81c32f0,0xe,0xf,0x10,0x2b,0x12,0x0,0x2c,0x0,0x0,0xa,0x0,20,4,0x0,0x6,0x234,0xa,0x14,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x16a,0x16a,0x2d,0xb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1ac,0x19e,0x1,0,0x0,255,0,0x7,0x0,0x0
0B Ch 10 Eirika/Teras Plateau,0x81c32f4,0x2e,0x2f,0x30,0x31,0x0,0x0,0x32,0x0,0x0,0xb,0x0,8,15,0x0,0x12,0x234,0xa,0x14,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x16b,0x16b,0x33,0xc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x14,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1ad,0x19f,0x0,0,0x0,255,0,0x1d,0x0,0x0
0C Ch 12 Eirika,0x81c32f8,0x2e,0x34,0x30,0x35,0x0,0x0,0x36,0x0,0x0,0xc,0x0,8,22,0x0,0x12,0x234,0xa,0x14,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x16c,0x16c,0x37,0xd,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x18,0x0,0xff,0xff,0x0,0x0,0x1,0x0,0x1af,0x19e,0x1,0,0x0,255,0,0x1d,0x0,0x0
0D Ch 13 Eirika,0x81c32fc,0x1,0x38,0x3,0x39,0x5,0x0,0x3a,0x0,0x0,0xd,0x0,8,8,0x0,0x0,0x234,0xa,0x14,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x16d,0x16d,0x3b,0xe,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1a,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b0,0x19c,0x2,12,0x0,255,0,0x18,0x0,0x0
0E Ch 14 Eirika,0x81c3300,0x3c,0x3d,0x3e,0x3f,0x0,0x0,0x40,0x0,0x0,0xe,0x0,1,0,0x0,0xc,0x234,0xa,0x14,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x16e,0x16e,0x41,0xf,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1c,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b1,0x1a1,0x0,0,0x0,255,0,0x2a,0x0,0x0
0F Ch 15 Eirika,0x81c3304,0x42,0x43,0x44,0x45,0x5,0x0,0x46,0x0,0x0,0xf,0x0,13,6,0x0,0x9,0x234,0xa,0x14,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x16f,0x16f,0x47,0x10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1e,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b2,0x19e,0x1,0,0x0,255,0,0x30,0x0,0x0
10 Ch 16 Eirika,0x81c3308,0x18,0x48,0x1a,0x49,0x1c,0x0,0x4a,0x0,0x0,0x10,0x0,1,0,0x0,0x10,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x170,0x170,0x4b,0x11,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x20,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b3,0x1a1,0x0,0,0x0,255,0,0xc,0x0,0x0
11 Ch 17 Eirika/Narube River,0x81c330c,0x1,0x4c,0x3,0x4d,0x5,0x0,0x4e,0x0,0x0,0x11,0x0,1,0,0x0,0x14,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x171,0x171,0x4f,0x12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x22,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b4,0x19d,0x3,0,0x0,255,0,0x18,0x0,0x0
12 Ch 18 Eirika/Neleras Peak,0x81c3310,0x50,0x51,0x52,0x53,0x0,0x54,0x55,0x0,0x0,0x12,0x0,1,27,0x0,0x2,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x172,0x172,0x56,0x13,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x24,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b5,0x19e,0x1,0,0x0,255,0,0x32,0x0,0x0
13 Ch 19 Eirika,0x81c3314,0x18,0x57,0x1a,0x58,0x1c,0x0,0x59,0x3,0x0,0x13,0x0,17,11,0x0,0x11,0x244,0x11,0x18,0x11,0x11,0x18,0x11,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x173,0x173,0x5a,0x14,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x26,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b6,0x19c,0x2,14,0xc8,255,0,0xb,0x0,0x0
14 Ch 20 Eirika,0x81c3318,0x1,0x5b,0x3,0x5c,0x5,0x0,0x5d,0x0,0x0,0x14,0x0,12,12,0x0,0xd,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x174,0x174,0x5e,0x15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x28,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b7,0x1a0,0x0,0,0x0,255,0,0x31,0x0,0x0
15 Final Ch 1 Eirika,0x81c331c,0x5f,0x60,0x61,0x62,0x0,0x0,0x63,0x0,0x0,0x15,0x0,12,20,0x0,0xd,0x244,0xe,0x16,0xf,0xe,0x16,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x175,0x175,0x64,0x16,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2a,0x0,0xff,0xff,0x0,0x0,0x0,0x1,0x1b8,0x19d,0x3,0,0x0,255,0,0x34,0x0,0x0
16 Final Ch 2 Erika,0x81c3320,0x5f,0x60,0x61,0x65,0x0,0x0,0x66,0x0,0x0,0x16,0x0,12,6,0x0,0xd,0x244,0x45,0x16,0xf,0x45,0x16,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x176,0x176,0x67,0x17,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b,0x0,0xff,0xff,0x0,0x0,0x0,0x1,0x1b9,0x19d,0x3,0,0x0,255,0,0x34,0x0,0x0
17 Ch 9 Ephraim,0x81c3328,0x3c,0x68,0x3e,0x69,0x0,0x0,0x6a,0x0,0x0,0x17,0x0,19,10,0x0,0xa,0x234,0xc,0x14,0xf,0xc,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x177,0x177,0x6b,0x18,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1ba,0x1a1,0x0,0,0x0,255,0,0x26,0x0,0x0
18 Ch 10 Ephraim/Bethroen,0x81c332c,0x6c,0x6d,0x6e,0x6f,0x5,0x0,0x70,0x0,0x0,0x18,0x0,1,0,0x0,0x13,0x234,0xc,0x14,0xf,0xc,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x178,0x178,0x71,0x19,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x14,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1bb,0x19c,0x2,11,0x1d,255,0,0x7,0x0,0x0
19 Ch 12 Ephraim,0x81c3330,0xe,0x72,0x10,0x73,0x12,0x0,0x74,0x0,0x0,0x19,0x0,8,21,0x0,0x7,0x234,0xc,0x14,0xf,0xc,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x179,0x179,0x75,0x1a,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x18,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1bd,0x19d,0x3,0,0x0,255,0,0x7,0x0,0x0
1A Ch 13 Ephraim/Za'abadul Marsh,0x81c3334,0x1,0x2,0x3,0x76,0x5,0x0,0x77,0x0,0x0,0x1a,0x0,15,14,0x0,0x0,0x234,0xc,0x14,0xf,0xc,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x17a,0x17a,0x78,0x1b,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1a,0x0,0xff,0xff,0x0,0x0,0x1,0x0,0x1be,0x19e,0x1,0,0x0,255,0,0x18,0x0,0x0
1B Ch 14 Ephraim,0x81c3338,0x79,0x7a,0x7b,0x7c,0x7d,0x0,0x7e,0x0,0x0,0x1b,0x0,1,0,0x0,0xf,0x234,0xc,0x14,0xf,0xc,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x17b,0x17b,0x7f,0x1c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1c,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1bf,0x1a1,0x0,0,0x0,255,0,0xc,0x0,0x0
1C Ch 15 Ephraim,0x81c333c,0x42,0x43,0x44,0x45,0x5,0x0,0x46,0x0,0x0,0x1c,0x0,13,4,0x0,0x9,0x244,0xc,0x14,0xf,0xc,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x17c,0x17c,0x80,0x1d,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1e,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b2,0x19e,0x1,0,0x0,255,0,0x30,0x0,0x0
1D Ch 16 Ephraim,0x81c3340,0x18,0x48,0x1a,0x49,0x1c,0x0,0x4a,0x0,0x0,0x1d,0x0,1,0,0x0,0x10,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x17d,0x17d,0x81,0x1e,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x20,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b3,0x1a1,0x0,0,0x0,255,0,0xc,0x0,0x0
1E Ch 17 Ephraim/Narube River,0x81c3344,0x1,0x4c,0x3,0x4d,0x5,0x0,0x4e,0x0,0x0,0x1e,0x0,1,0,0x0,0x14,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x17e,0x17e,0x82,0x1f,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x22,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b4,0x19d,0x3,0,0x0,255,0,0x18,0x0,0x0
1F Ch 18 Ephraim/Neleras Peak,0x81c3348,0x50,0x51,0x52,0x53,0x0,0x54,0x55,0x0,0x0,0x1f,0x0,1,27,0x0,0x2,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x17f,0x17f,0x83,0x20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x24,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b5,0x19e,0x1,0,0x0,255,0,0x32,0x0,0x0
20 Ch 19 Ephraim,0x81c334c,0x18,0x57,0x1a,0x58,0x1c,0x0,0x59,0x3,0x0,0x20,0x0,17,11,0x0,0x11,0x244,0x11,0x18,0x11,0x11,0x18,0x11,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x180,0x180,0x84,0x21,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x26,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b6,0x19c,0x2,14,0xc8,255,0,0xc,0x0,0x0
21 Ch 20 Ephraim,0x81c3350,0x1,0x5b,0x3,0x5c,0x5,0x0,0x5d,0x0,0x0,0x21,0x0,12,12,0x0,0xd,0x244,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x181,0x181,0x85,0x22,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x28,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1b7,0x1a0,0x0,0,0x0,255,0,0x31,0x0,0x0
22 Final Ch 1 Ephraim,0x81c3354,0x5f,0x60,0x61,0x62,0x0,0x0,0x63,0x0,0x0,0x22,0x0,12,20,0x0,0xd,0x244,0xe,0x16,0xf,0xe,0x16,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x182,0x182,0x86,0x23,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2a,0x0,0xff,0xff,0x0,0x0,0x0,0x1,0x1b8,0x19d,0x3,0,0x0,255,0,0x34,0x0,0x0
23 Final Ch 2 Ephraim,0x81c3358,0x5f,0x60,0x61,0x65,0x0,0x0,0x66,0x0,0x0,0x23,0x0,12,6,0x0,0xd,0x244,0x45,0x16,0xf,0x45,0x16,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x183,0x183,0x87,0x24,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b,0x0,0xff,0xff,0x0,0x0,0x0,0x1,0x1b9,0x19d,0x3,0,0x0,255,0,0x34,0x0,0x0
24 Tower of Valni 1,0x81c3360,0x88,0x89,0x8a,0x8b,0x0,0x0,0x8c,0x0,0x0,0x24,0x0,1,0,0x0,0xb,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x184,0x184,0x8d,0x25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
