INLINE NewMovingMapSpriteTable,Animation pointer,Another pointer
Necromancer,0x81edd1c,0x81ee558
Fleet,0x81ee6b0,0x81eec84
Phantom,0x81eedec,0x81ef5cc
Revenant,0x81ef724,0x81efe70
Entombed,0x81effc8,0x81f06d8
Bonewalker,0x81f0830,0x81f1080
Bonewalker (Bow),0x81f11d8,0x81f1a54
Wight,0x81f1bac,0x81f249c
Wight (Bow),0x81f25f4,0x81f2ec4
Bael,0x81f301c,0x81f3794
Elder Bael,0x81f38ec,0x81f3fa0
Cyclops,0x81f40f8,0x81f49b8
Mauthe Doog,0x81f4b18,0x81f5468
Gwyllgi,0x81f55c0,0x81f607c
Tarvos,0x81f61d4,0x81f6ad0
Maelduin,0x81f6c28,0x81f7570
Mogall,0x81f76c8,0x81f7e28
Arch Mogall,0x81f7f80,0x81f876c
Gorgon,0x81f88c4,0x81f90a0
Gorgon Egg,0x81f91f8,0x81f95f4
Gargoyle,0x81f974c,0x81fa2b4
Deathgoyle,0x81fa40c,0x81faf40
Dracozombie,0x81fb098,0x81fbe5c
Demon King,0x81fbfbc,0x81fd028
Archer on Ballista,0x81fd180,0x81fd808
Archer on Iron Ballista,0x81fd960,0x81fdfe8
Archer on Killer Ballista,0x81fe140,0x81fe7c8
Ballista,0x81fe920,0x81fee74
Iron Ballista,0x81fefdc,0x81ff4c8
Killer Ballista,0x81ff620,0x81ffbbc
Civilian,0x81ffd24,0x8200348
Civilian (F),0x82004a0,0x8200afc
Civilian,0x8200c54,0x8201338
Civilian (F),0x8201490,0x8201b84
Civilian,0x8200c54,0x8201338
Civilian (F),0x8201490,0x8201b84
Peer,0x8201cdc,0x8202558
Queen,0x82026b0,0x8202c04
Prince,0x8202d5c,0x8203368
Queen,0x82034c0,0x82039a0
(empty),0x8203af8,0x8203e8c
Fallen Prince,0x8203fe4,0x82043c8
Tent,0x8204520,0x8204940
Pontifex,0x8204a98,0x8205068
Dead Peer,0x82051c0,0x82055a8
Cyclops,0x81f40f8,0x81f49b8
Elder Bael,0x81f38ec,0x81f3fa0
Journeyman (2),0x81e0f98,0x81e173c
Pupil (2),0x81e189c,0x81e2088
Transporter,TransporterWalk|IsPointer,DefaultAP
Lance Knight,LanceKnightWalk|IsPointer,DefaultAP
Axe Knight,AxeKnightWalk|IsPointer,DefaultAP
Free Knight,FreeKnightWalk|IsPointer,DefaultAP
Fighter (F),FighterFWalk|IsPointer,DefaultAP
Battlemage,BattlemageWalk|IsPointer,DefaultAP
Dark Flier,DarkFlierWalk|IsPointer,0x81eaea0
Witch,WitchWalk|IsPointer,DefaultAP
Warrior (F),WarriorFWalk|IsPointer,DefaultAP
Halberdier,HalberdierWalk|IsPointer,DefaultAP
Dread Fighter (F),DreadFighterFWalk|IsPointer,DefaultAP
Sword Saint,SwordSaintWalk|IsPointer,DefaultAP
War Monk,WarMonkWalk|IsPointer,DefaultAP
Maid,MaidWalk|IsPointer,DefaultAP|IsPointer
Dread Fighter,DreadFighterWalk|IsPointer,DefaultAP
Light Mage (F),LightMageFWalk|IsPointer,DefaultAP
Arch Knight,ArchKnightWalk|IsPointer,DefaultAP
Bow Knight,BowKnightWalk|IsPointer,DefaultAP
Tent,TentWalk|IsPointer,DefaultAP
Medic,MedicWalk|IsPointer,DefaultAP
Harrier,HarrierWalk|IsPointer,DefaultAP
Wanderer,0x81C33CC,0x81C3D7C
Star Lion,0x81c3ed4,0x81c46cc
Brawler,BrawlerWalk|IsPointer,DefaultAP
Gladiator,0x81c3ed4,0x81c46cc
Butler,ButlerWalk|IsPointer,0x81dcf44
Telos,0x81c3ed4,0x81c46cc
Grand Telos,0x81c5fe4,0x81c692c
Duke Knight,DukeKnightWalk|IsPointer,DefaultAP
Ballistician,BallisticianWalk|IsPointer,DefaultAP
Axe Armor,AxeArmorWalk|IsPointer,DefaultAP
Archfiend,BarubaryWalk|IsPointer,DefaultAP|IsPointer
Ray Bishop,0x81fb098,0x81fbe5c
Earth Dragon,EarthDragonWalk|IsPointer,DefaultAP|IsPointer
Divine Dragon,DivineDragonWalk|IsPointer,DefaultAP|IsPointer
Mage Dragon,MageDragonWalk|IsPointer,DefaultAP|IsPointer
Ice Dragon,IceDragonWalk|IsPointer,DefaultAP|IsPointer
Gaiden Merc,0x81ca27c,0x81caa20
Sword Armor,SwordArmorWalk|IsPointer,DefaultAP|IsPointer
