INLINE NewStandingMapSpriteTable,Unknown,##UNKNOWN##,Size,##UNKNOWN##,Poiner to graphics
Summoner,0x2,0x0,0x1,0x0,0x81bb098
Rogue,0x2,0x0,0x0,0x0,0x81bb1b8
Gorgon Egg,0x3,0x0,0x0,0x0,0x81bb2dc
Great Knight,0x2,0x0,0x1,0x0,GreatKnightStand|IsPointer
Trainee Soldier (2),0x2,0x0,0x1,0x0,0x81bb580
Trainee Fighter (3),0x2,0x0,0x1,0x0,0x81bb6b4
Trainee Mage (3),0x2,0x0,0x0,0x0,0x81bb7f0
Mamkute,0x3,0x0,0x2,0x0,0x81bb910
Mamkute (F),0x2,0x0,0x1,0x0,0x81bbbb8
Fighter,0x2,0x0,0x1,0x0,0x81bbcd0
Warrior,0x2,0x0,0x1,0x0,0x81bbdfc
Mountain Thief,0x2,0x0,0x1,0x0,0x81bbf7c
Pirate,0x2,0x0,0x0,0x0,0x81bc0f0
Berserker,0x2,0x0,0x1,0x0,0x81bc26c
Monk,0x2,0x0,0x0,0x0,0x81bc44c
Priest,0x2,0x0,0x0,0x0,0x81bc568
Bard,0x2,0x0,0x0,0x0,0x81bc674
Pegasus Knight,0x2,0x0,0x1,0x0,0x81bc774
Falcon Knight,0x2,0x0,0x1,0x0,0x81bc918
Sister,0x2,0x0,0x0,0x0,0x81bcac4
Troubadour,0x2,0x0,0x1,0x0,0x81bcbe8
Valkyrie,0x2,0x0,0x1,0x0,0x81bcda4
Dancer,0x2,0x0,0x0,0x0,0x81bcf54
Soldier,0x2,0x0,0x0,0x0,0x81bd08c
Necromancer,0x3,0x0,0x0,0x0,0x81bd1e0
Fleet,0x3,0x0,0x2,0x0,0x81bd2dc
Ghost Fighter,0x2,0x0,0x2,0x0,0x81bd444
Zombie,0x3,0x0,0x1,0x0,0x81bd5d0
Mummy,0x3,0x0,0x1,0x0,0x81bd6fc
Skeleton,0x3,0x0,0x0,0x0,0x81bd864
Skeleton (Bow),0x3,0x0,0x1,0x0,0x81bd98c
Hellbone,0x3,0x0,0x0,0x0,0x81bdad0
Hellbone (Bow),0x3,0x0,0x0,0x0,0x81bdc10
Bael,0x3,0x0,0x2,0x0,0x81bdd54
Elder Bael,0x3,0x0,0x1,0x0,0x81bdee4
Cyclops,0x3,0x0,0x1,0x0,0x81be048
Mauthedoog,0x3,0x0,0x1,0x0,0x81be1d8
Cerberus,0x3,0x0,0x2,0x0,0x81be2ec
Tarvos,0x3,0x0,0x1,0x0,0x81be504
Macdaire,0x3,0x0,0x2,0x0,0x81be714
Bigl,0x3,0x0,0x1,0x0,0x81be988
Archbigl,0x0,0x0,0x1,0x0,0x81beb04
Gorgon,0x3,0x0,0x1,0x0,0x81bec84
Gorgon Egg,0x3,0x0,0x0,0x0,0x81bedd0
Gargoyle,0x3,0x0,0x2,0x0,0x81bee74
Death Gargoyle,0x3,0x0,0x2,0x0,0x81bf06c
Dragon Zombie,0x3,0x0,0x1,0x0,0x81bf29c
Demon King,0x3,0x0,0x2,0x0,0x81bf418
Archer on Ballista,0x2,0x0,0x1,0x0,0x81bf690
Archer on Iron Ballista,0x2,0x0,0x1,0x0,0x81bf824
Archer on Killer Ballista,0x2,0x0,0x1,0x0,0x81bf9b8
Ballista,0x2,0x0,0x1,0x0,0x81bfb4c
Iron Ballista,0x2,0x0,0x1,0x0,0x81bfcc0
Killer Ballista,0x2,0x0,0x1,0x0,0x81bfe34
Civilian,0x2,0x0,0x0,0x0,0x81bffa8
Civilian (F),0x2,0x0,0x0,0x0,0x81c0078
Civilian,0x2,0x0,0x0,0x0,0x81c014c
Civilian (F),0x2,0x0,0x0,0x0,0x81c022c
Peer,0x2,0x0,0x0,0x0,0x81c0310
Queen,0x2,0x0,0x1,0x0,0x81c03ec
Prince,0x2,0x0,0x0,0x0,0x81c0500
Queen,0x2,0x0,0x0,0x0,0x81c05d8
(empty),0x0,0x0,0x0,0x0,0x81c068c
Fallen Prince,0x2,0x0,0x0,0x0,0x81c07bc
Tent,0x2,0x0,0x1,0x0,0x81c0840
Pontifex,0x2,0x0,0x1,0x0,0x81c0934
Dead Peer,0x0,0x0,0x0,0x0,0x81c0a70
Axe Armor 0x6b,0x2,0x0,0x0,0x0,AxeArmorStand|IsPointer
Arch Knight 0x6c,0x2,0x0,0x1,0x0,ArchKnightStand|IsPointer
Axe Knight 0x6d,0x2,0x0,0x1,0x0,AxeKnightStand|IsPointer
Ballistician 0x6e,0x2,0x0,0x2,0x0,BallisticianStand|IsPointer
Battlemage 0x6f,0x2,0x0,0x0,0x0,BattlemageStand|IsPointer
Bow Knight 0x70,0x2,0x0,0x1,0x0,BowKnightStand|IsPointer
Brawler 0x71,0x2,0x0,0x1,0x0,BrawlerStand|IsPointer
Butler 0x72,0x2,0x0,0x0,0x0,ButlerStand|IsPointer
Dark Flier 0x73,0x2,0x0,0x1,0x0,DarkFlierStand|IsPointer
Dread Fighter 0x74,0x2,0x0,0x0,0x0,DreadFighterStand|IsPointer
Dread Fighter F 0x75,0x2,0x0,0x0,0x0,DreadFighterFStand|IsPointer
Druid F 0x76,0x2,0x0,0x0,0x0,DruidFStand|IsPointer
Duke Knight 0x77,0x2,0x0,0x1,0x0,DukeKnightStand|IsPointer
Fighter F 0x78,0x2,0x0,0x0,0x0,FighterFStand|IsPointer
Free Knight 0x79,0x2,0x0,0x1,0x0,FreeKnightStand|IsPointer
Halberdier 0x7a,0x2,0x0,0x0,0x0,HalberdierStand|IsPointer
Harrier 0x7b,0x2,0x0,0x1,0x0,HarrierStand|IsPointer
Lance Knight 0x7c,0x2,0x0,0x1,0x0,LanceKnightStand|IsPointer
Light Mage F 0x7d,0x2,0x0,0x0,0x0,LightMageFStand|IsPointer
Maid 0x7e,0x2,0x0,0x0,0x0,MaidStand|IsPointer
Medic 0x7f,0x2,0x0,0x1,0x0,MedicStand|IsPointer
Shaman F 0x80,0x2,0x0,0x0,0x0,ShamanFStand|IsPointer
Sigil 0x81,0x2,0x0,0x0,0x0,SigilMapSprite|IsPointer
Sword Saint 0x82,0x2,0x0,0x0,0x0,SwordSaintStand|IsPointer
Tent 0x83,0x2,0x0,0x2,0x0,TentStand|IsPointer
Torch 0x84,0x2,0x0,0x0,0x0,TorchMapSprite|IsPointer
Transporter 0x85,0x2,0x0,0x1,0x0,TransporterStand|IsPointer
War Monk 0x86,0x2,0x0,0x1,0x0,WarMonkStand|IsPointer
Warrior F 0x87,0x2,0x0,0x1,0x0,WarriorFStand|IsPointer
Witch 0x88,0x2,0x0,0x1,0x0,WitchStand|IsPointer
Archfiend 0x89,0x2,0x0,0x2,0x0,BarubaryStand|IsPointer
Earth Dragon 0x8A,0x2,0x0,0x1,0x0,EarthDragonStand|IsPointer
Divine Dragon 0x8B,0x2,0x0,0x1,0x0,DivineDragonStand|IsPointer
Mage Dragon 0x8C,0x2,0x0,0x1,0x0,MageDragonStand|IsPointer
Ice Dragon 0x8D,0x2,0x0,0x1,0x0,IceDragonStand|IsPointer
Sword Armor 0x8E,0x2,0x0,0x0,0x0,SwordArmorStand|IsPointer
