"0x78d90","Name value"
"0x8d","0x8f"
"0x8e","0x7"
"0x8f","0x8"
"0x90","0xec"
"0x91","0x8f"
"0x92","0x7"
"0x93","0x8"
"0x94","0xec"
"0x95","0x8f"
"0x96","0x7"
"0x97","0x8"
"0x98","0xec"
"0x99","0x8f"
"0x9a","0x7"
"0x9b","0x8"
"0x9c","0xec"
"0x9d","0x8f"
"0x9e","0x7"
"0x9f","0x8"
"0xa0","0xec"
"0xa1","0x8f"
"0xa2","0x7"
"0xa3","0x8"
"0xa4","0xec"
"0xa5","0x8f"
"0xa6","0x7"
"0xa7","0x8"
"0xa8","0xec"
"0xa9","0x8f"
"0xaa","0x7"
"0xab","0x8"
"0xac","0xec"
"0xad","0x8f"
"0xae","0x7"
"0xaf","0x8"
"0xb0","0xec"
"0xb1","0x8f"
"0xb2","0x7"
"0xb3","0x8"
"0xb4","0xec"
"0xb5","0x8f"
"0xb6","0x7"
"0xb7","0x8"
"0xb8","0xec"
"0xb9","0x8f"
"0xba","0x7"
"0xbb","0x8"
"0xbc","0xec"
"0xbd","0x8f"
"0xbe","0x7"
"0xbf","0x8"
"0xc0","0xec"
"0xc1","0x8f"
"0xc2","0x7"
"0xc3","0x8"
"0xc4","0xec"
"0xc5","0x8f"
"0xc6","0x7"
"0xc7","0x8"
"0xc8","0xec"
"0xc9","0x8f"
"0xca","0x7"
"0xcb","0x8"
"0xcc","0xec"
"0xcd","0x8f"
"0xce","0x7"
"0xcf","0x8"
"0xd0","0xec"
"0xd1","0x8f"
"0xd2","0x7"
"0xd3","0x8"
"0xd4","0xec"
"0xd5","0x8f"
"0xd6","0x7"
"0xd7","0x8"
"0xd8","0xec"
"0xd9","0x8f"
"0xda","0x7"
"0xdb","0x8"
"0xdc","0xec"
"0xdd","0x8f"
"0xde","0x7"
"0xdf","0x8"
"0xe0","0xec"
"0xe1","0x8f"
"0xe2","0x7"
"0xe3","0x8"
"0xe4","0xec"
"0xe5","0x8f"
"0xe6","0x7"
"0xe7","0x8"
"0xe8","0xec"
"0xe9","0x8f"
"0xea","0x7"
"0xeb","0x8"
"0xec","0xec"
"0xed","0x8f"
"0xee","0x7"
"0xef","0x8"
"0xf0","0xec"
"0xf1","0x8f"
"0xf2","0x7"
"0xf3","0x8"
"0xf4","0xec"
"0xf5","0x8f"
"0xf6","0x7"
"0xf7","0x8"
"0xf8","0xec"
"0xf9","0x8f"
"0xfa","0x7"
"0xfb","0x8"
"0xfc","0xec"
"0xfd","0x8f"
"0xfe","0x7"
