INLINE SoundTable,Track Table Pointer,Priority
0x0055 Return of the Demon King (without intro),0x857c0c8,0x10001
0x0056 Lyon?,0x857ce04,0x0
0x0057 Nothing,0x82263b0,0x0
0x0058 Arcfire Sound,0x82263b0,0x0
0x0059 Nothing,0x857ce28,0x0
0x005A Item Get!,0x857ce90,0x70007
0x005B Level Up!,0x857cefc,0x70007
0x005C Weapon broke,0x857cfec,0x70007
0x005D Nothing,0x82263b0,0x0
0x005E Weapon broke,0x82263b0,0x0
0x005F Nothing,0x82263b0,0x0
0x0060 ??? 8-bit sound,0x857d038,0x30003
0x0061 ??? 8-bit sound,0x857d08c,0x30003
0x0062 Nothing,0x82263b0,0x0
0x0063 Nothing,0x82263b0,0x0
0x0064 Nothing,0x82263b0,0x0
0x0065 Cursor,0x857d0a8,0x20002
0x0066 Menu Cursor,0x857d0c4,0x20002
0x0067 Menu Cursor 2,0x857d0e0,0x20002
0x0068 ?,0x857d10c,0x20002
0x0069 ?,0x857d144,0x20002
0x006A ?,0x857d17c,0x20002
0x006B ?,0x857d1ac,0x20002
0x006C Nothing,0x857d1d0,0x30003
0x006D Nothing,0x857d2a4,0x40004
0x006E ?,0x857d2c8,0x30003
0x006F ?,0x857d320,0x30003
0x0070 R Description Open,0x857d354,0x30003
0x0071 R Description Close,0x857d38c,0x30003
0x0072 ?,0x857d3bc,0x30003
0x0073 Phase Message Sound,0x857d438,0x30003
0x0074 ?,0x857d4dc,0x30003
0x0075 HP Replenishment,0x857d4f8,0x30003
0x0076 ?,0x857d544,0x30003
0x0077 ?,0x857d588,0x30003
0x0078 Mini Map Open,0x857d614,0x30003
0x0079 Mini Map Close,0x857d6a0,0x30003
0x007A ?,0x857d6c0,0x30003
0x007B ?,0x857d718,0x30003
0x007C ?,0x857d73c,0x30003
0x007D ?,0x857d768,0x30003
0x007E ?,0x857d7b8,0x30003
0x007F ?,0x857d824,0x30003
0x0080 ?,0x857d85c,0x30003
0x0081 Crowd cheering,0x857d8cc,0x80008
0x0082 Rest staff (map),0x857d91c,0x60006
0x0083 Silence staff (map),0x857d94c,0x60006
0x0084 Nothing,0x857d968,0x60006
0x0085 Sleep staff (map),0x857d984,0x60006
0x0086 Hammerne staff (map),0x857d9d4,0x60006
0x0087 Berserk staff (map),0x857da40,0x60006
0x0088 Weird sound (Watch staff?),0x857da8c,0x60006
0x0089 Live staff,0x857daf8,0x60006
0x008A Relive staff,0x857db64,0x60006
0x008B Recover staff,0x857dbdc,0x60006
0x008C Reserve staff,0x857dc7c,0x70007
0x008D Recovery from a status effect (longer),0x857dd20,0x60006
0x008E Crowd cheering (softer),0x857dda0,0x80008
0x008F Crowd cheering then stops,0x857de44,0x80008
0x0090 FE6 Chapter opening humming,0x857df10,0x60006
0x0091 FE6 Chapter opening,0x857e028,0x70007
0x0092 Nothing,0x82263b0,0x0
0x0093 Nothing,0x82263b0,0x0
0x0094 Nothing,0x82263b0,0x0
0x0095 Nothing,0x857d8cc,0x0
0x0096 Footsteps 1,0x857e04c,0x40004
0x0097 Footsteps 2,0x857e068,0x40004
0x0098 Footsteps 3,0x857e084,0x50005
0x0099 Footsteps 4,0x857e0a0,0x50005
0x009A Footsteps 5,0x857e0bc,0x40004
0x009B Horse trot,0x857e0d8,0x40004
0x009C Horse trot 2,0x857e0f4,0x40004
0x009D Horse trot 3,0x857e110,0x50005
0x009E Horse trot 4,0x857e12c,0x50005
0x009F Horse trot 5,0x857e148,0x50005
0x00A0 Armour walk,0x857e164,0x40004
0x00A1 Armour walk 2,0x857e180,0x50005
0x00A2 Armour walk 3,0x857e19c,0x40004
0x00A3 Armour walk 4,0x857e1b8,0x40004
0x00A4 Armour walk 5,0x857e1d4,0x50005
0x00A5 Armour walk 6,0x857e1f0,0x50005
0x00A6 Pegasus flying,0x857e20c,0x40004
0x00A7 Pegasus flying 2,0x857e228,0x50005
0x00A8 Nothing,0x82263b0,0x0
0x00A9 Nothing,0x82263b0,0x0
0x00AA Recovery from a status effect,0x857e290,0x60006
0x00AB Rock exploding?,0x857e2ac,0x60006
0x00AC Captive falling from dead holder,0x857e2c8,0x60006
0x00AD Nothing,0x82263b0,0x0
0x00AE Nothing,0x82263b0,0x0
0x00AF Destroyed wall/snag,0x857e2e4,0x70007
0x00B0 Attacking wall/snag,0x857e300,0x70007
0x00B1 Unlocking door,0x857e31c,0x60006
0x00B2 Nothing,0x82263b0,0x0
0x00B3 Torch,0x857e3a8,0x60006
0x00B4 Warping,0x857e3c8,0x60006
0x00B5 Warp end,0x857e3e4,0x70007
0x00B6 Pure Water,0x857e400,0x60006
0x00B7 Poison sound,0x857e41c,0x60006
0x00B8 ???,0x857e4c4,0x70007
0x00B9 Gold changing,0x857e4e4,0x40004
0x00BA Poison vent,0x857e504,0x60006
0x00BB Nothing,0x82263b0,0x0
0x00BC Nothing,0x857e520,0x60006
0x00BD Water tile going under,0x857e564,0x60006
0x00BE Water tile coming up,0x857e5a8,0x60006
0x00BF Fire tile,0x857e5d8,0x60006
0x00C0 Nothing,0x82263b0,0x0
0x00C1 Nothing,0x82263b0,0x0
0x00C2 Nothing,0x82263b0,0x0
0x00C3 Nothing,0x82263b0,0x0
0x00C4 Nothing,0x82263b0,0x0
0x00C5 Nothing,0x82263b0,0x0
0x00C6 Nothing,0x82263b0,0x0
0x00C7 GBA version of Zelda:OoT future Hyrule Castle winds,0x857e7dc,0x70007
0x00C8 Small plunk?,0x857e7f8,0x60006
0x00C9 Light plunk?,0x857e814,0x60006
0x00CA Large plunk?,0x857e830,0x60006
0x00CB Eliwood critical sword swing,0x857e84c,0x60006
0x00CC Tap?,0x857e868,0x60006
0x00CD Low plunk?,0x857e884,0x60006
0x00CE Sword unsheathing,0x857e8a0,0x60006
0x00CF Sword unsheathing 2,0x857e8bc,0x60006
0x00D0 Ballista fire,0x857e8d8,0x60006
0x00D1 Creaking,0x857e914,0x70007
0x00D2 Hit (map),0x857e930,0x70007
0x00D3 Hit 2 (map),0x857e94c,0x70007
0x00D4 Hit 3 (map),0x857e968,0x70007
0x00D5 Kill (map),0x857e984,0x70007
0x00D6 Death (map),0x857e9a0,0x70007
0x00D7 Miss (realtime),0x857e9bc,0x70007
0x00D8 Crumbling?,0x857ea5c,0x30003
0x00D9 Nothing,0x82263b0,0x0
0x00DA Nothing,0x82263b0,0x0
0x00DB Nothing,0x82263b0,0x0
0x00DC Mamkute transform,0x857eab8,0x60006
0x00DD Mamkute de-transform,0x857eb18,0x60006
0x00DE Mamkute yowl,0x857eb94,0x70007
0x00DF Mamkute roar,0x82263b0,0x0
0x00E0 Nothing,0x82263b0,0x0
0x00E1 Nothing,0x82263b0,0x0
0x00E2 Armour triangle allies striking,0x857ebb0,0x70007
0x00E3 Idoun/Fire Dragon death roar,0x82263b0,0x0
0x00E4 Nothing,0x82263b0,0x0
0x00E5 Idoun/Fire Dragon death roar,0x82263b0,0x0
0x00E6 Mamkute transform growl,0x857ebd0,0x70007
0x00E7 Brigand battle cry,0x857ebec,0x60006
0x00E8 Nothing,0x82263b0,0x0
0x00E9 Nothing,0x82263b0,0x0
0x00EA Axe falling,0x857ec08,0x60006
0x00EB Axe rising,0x857ec24,0x60006
0x00EC Nothing,0x82263b0,0x0
0x00ED Nothing,0x82263b0,0x0
0x00EE Nothing,0x82263b0,0x0
0x00EF Dance/Play effect,0x857ec40,0x70007
0x00F0 Divine weapon shine,0x857ec5c,0x70007
0x00F1 Fire charge,0x857ec78,0x60006
0x00F2 Fire shoot,0x857ec94,0x60006
0x00F3 Nothing,0x82263b0,0x0
0x00F4 Thunderstorm static,0x857ecb0,0x60006
0x00F5 Thunderstorm strike,0x857eccc,0x60006
0x00F6 Shaman charging,0x857ed50,0x60006
0x00F7 Weird rumbling,0x857edbc,0x60006
0x00F8 Weird rumbling 2,0x857edd8,0x60006
0x00F9 Berserk staff (realtime),0x857ee78,0x60006
0x00FA Silence staff charging (realtime),0x857eed8,0x70007
0x00FB Silence staff forming (realtime),0x857ef18,0x60006
0x00FC Nothing,0x857ef34,0x60006
0x00FD Rest staff (realtime),0x857ef9c,0x60006
0x00FE Purge flash,0x857f010,0x60006
0x00FF Purge flash 2,0x857f084,0x70007
0x0100 Purge charging,0x857f110,0x60006
0x0101 Purge strike,0x857f174,0x30003
0x0102 Aureola light explosion (short),0x857f1dc,0x60006
0x0103 Hammerne staff (realtime),0x857f2d0,0x60006
0x0104 Nothing,0x82263b0,0x0
0x0105 Nothing,0x82263b0,0x0
0x0106 Nothing,0x82263b0,0x0
0x0107 Nothing,0x82263b0,0x0
0x0108 Aircalibur Wind (Originally: Nothing),0x82263b0,0x0
0x0109 Aircalibur Hit (Originally: Nothing),0x82263b0,0x0
0x010A Flux charging,0x857f320,0x60006
0x010B Nothing,0x82263b0,0x0
0x010C Nothing,0x82263b0,0x0
0x010D Nothing,0x82263b0,0x0
0x010E Live staff,0x857f3a0,0x70007
0x010F Live staff,0x857f420,0x60006
0x0110 Relive staff,0x857f48c,0x70007
0x0111 Relive staff,0x857f4f8,0x60006
0x0112 Recover staff,0x857f56c,0x70007
0x0113 Recover staff,0x857f5e0,0x60006
0x0114 Reserve staff (realtime),0x857f6c4,0x20002
0x0115 Nothing,0x82263b0,0x0
0x0116 Nothing,0x82263b0,0x0
0x0117 Nothing,0x82263b0,0x0
0x0118 Nothing,0x82263b0,0x0
0x0119 Thunderstorm sparks,0x857f6f8,0x60006
0x011A Thunderstorm strike,0x857f714,0x60006
0x011B Sleep charging (realtime),0x857f730,0x70007
0x011C Sleep activating (realtime),0x857f74c,0x60006
0x011D Rumbling?,0x857f768,0x60006
0x011E Some kind of wind,0x82263b0,0x0
0x011F Weird charging sound,0x857f79c,0x60006
0x0120 Lightning charging,0x857f7c4,0x60006
0x0121 Lightning strike,0x857f7ec,0x60006
0x0122 Fimbulvetr wind,0x857f974,0x60006
0x0123 Fimbulvetr ice,0x857f994,0x60006
0x0124 Nosferatu symbol,0x857f9b4,0x60006
0x0125 Nosferatu drain,0x857f9d0,0x60006
0x0126 Nosferatu heal,0x857fa0c,0x60006
0x0127 Divine charging,0x857fa28,0x60006
0x0128 Divine falling,0x857fa74,0x70007
0x0129 Divine strike,0x857fad0,0x60006
0x012A Divine strike 2,0x82263b0,0x0
0x012B Aureola light bomb falling,0x82263b0,0x0
0x012C Aureola light explosion,0x82263b0,0x0
0x012D Nothing,0x82263b0,0x0
0x012E Nothing,0x82263b0,0x0
0x012F Nothing,0x82263b0,0x0
0x0130 Fenrir Symbols,0x857fb2c,0x70007
0x0131 Fenrir Rune,0x857fb4c,0x60006
0x0132 Fenrir Fire,0x857fb68,0x20002
0x0133 Fenrir Hit,0x857fb9c,0x60006
0x0134 Mage Knight charging?,0x857fbdc,0x60006
0x0135 Sage/Lyon Rune,0x857fc14,0x60006
0x0136 Ballista Arrow,0x857fc30,0x60006
0x0137 Ballista Arrow falling,0x857fca0,0x60006
0x0138 Ereshkigal?,0x857fd88,0x60006
0x0139 Ereshkigal?,0x857fda8,0x70007
0x013A Nothing,0x82263b0,0x0
0x013B Magic spell SFX,0x857fdc8,0x60006
0x013C Magic spell SFX,0x857fde4,0x60006
0x013D Magic spell SFX,0x857fe70,0x40004
0x013E Static SFX (Like in Promotion SFX),0x857fe8c,0x70007
0x013F Event Magic spell SFX?,0x857ffcc,0x60006
0x0140 Event Magic spell SFX?,0x8580470,0x60006
0x0141 Event Magic spell SFX?,0x8580a18,0x60006
0x0142 Event Magic spell SFX?,0x8581218,0x60006
0x0143 Nothing,0x82263b0,0x0
0x0144 Nothing,0x82263b0,0x0
0x0145 Nothing,0x82263b0,0x0
0x0146 Nothing,0x82263b0,0x0
0x0147 Static SFX (Like in Promotion SFX),0x8581260,0x70007
0x0148 Nothing,0x82263b0,0x0
0x0149 Nothing,0x82263b0,0x0
0x014A ???,0x858127c,0x40004
0x014B Soft step,0x8581298,0x50005
0x014C Soft step,0x85812b4,0x40004
0x014D Soft step,0x85812d0,0x50005
0x014E Soft step,0x85812ec,0x40004
0x014F Soft step 2,0x8581308,0x50005
0x0150 Soft step 3,0x8581324,0x40004
0x0151 Soft step 4,0x8581340,0x50005
0x0152 Nothing,0x82263b0,0x0
0x0153 Nothing,0x82263b0,0x0
0x0154 Soft step,0x858135c,0x40004
0x0155 Soft step 2,0x8581378,0x50005
0x0156 Soft step 3,0x8581394,0x40004
0x0157 Soft step 4,0x85813b0,0x50005
0x0158 Soft step 5,0x85813cc,0x40004
0x0159 The rest of high 01 just seems to be soft steps...,0x85813e8,0x50005
0x02A0 Nothing,0x8581404,0x40004
0x02A8 Nothing,0x8581420,0x50005
0x02B0 Nothing,0x82263b0,0x0
0x02B1 Nothing,0x82263b0,0x0
0x02B2 Nothing,0x858143c,0x40004
0x02B5 Nothing,0x8581458,0x50005
0x02B6 Nothing,0x8581474,0x40004
0x02B9 Nothing,0x8581490,0x50005
0x02BB Nothing,0x85814ac,0x40004
0x02BC Shine attack,0x85814c8,0x50005
0x02BD Luna symbol,0x85814e4,0x40004
0x02BE Luna hitting,0x8581500,0x50005
0x02BF Excalibur forming,0x82263b0,0x0
0x02C0 Excalibur cutting,0x82263b0,0x0
0x02C1 Aura flash,0x858151c,0x40004
0x02C2 Aura going up,0x8581538,0x50005
0x02C3 Aura strike,0x8581554,0x40004
0x02C4 Nothing,0x8581570,0x50005
0x02C5 Nothing,0x858158c,0x40004
0x02C6 Nothing,0x85815a8,0x50005
0x02C7 Gespenst symbol,0x85815c4,0x40004
0x02C8 Gespenst clouds,0x85815e0,0x50005
0x02C9 Gespenst strike,0x82263b0,0x0
0x02CA Forblaze charging,0x82263b0,0x0
0x02CB Forblaze rising,0x85815fc,0x40004
0x02CC Weird charging,0x8581618,0x50005
0x02CD Weird glittery sound,0x8581634,0x40004
0x02CE No damage,0x8581650,0x50005
0x02CF Weird pat sound,0x858166c,0x40004
0x02D0 Eliwood's sword shining,0x8581688,0x50005
0x02D1 Eliwood's horse neighing,0x85816a4,0x40004
0x02D2 Weird flaming sound,0x85816c0,0x50005
0x02D3 Dancing,0x82263b0,0x0
0x02D4 Playing,0x82263b0,0x0
0x02D5 Dancing (map),0x85816dc,0x40004
0x02D6 Playing (map),0x85816f8,0x50005
0x02D7 Snag falling,0x8581714,0x40004
0x02D8 Weird charging sound,0x8581730,0x50005
0x02D9 Thud,0x858174c,0x40004
0x02DA Sword unsheathing,0x8581768,0x50005
0x02DB Bizarre three sound effects,0x8581784,0x40004
0x02DC A ref whistle what's this doing here?,0x85817a0,0x50005
0x02DD Glittery sound,0x82263b0,0x0
0x02DE Shine sound,0x82263b0,0x0
0x02DF Shine sound 2,0x85817bc,0x40004
0x02E0 Weird rumbling,0x85817d8,0x50005
0x02E1 Eclipse striking,0x85817f4,0x40004
0x02E2 Eclipse striking (shorter),0x8581810,0x50005
0x02E3 Nothing,0x858182c,0x40004
0x02E4 Magic spell SFX,0x8581848,0x50005
0x02E5 ???,0x8581864,0x40004
0x02E6 ???,0x8581880,0x50005
0x02E7 ???,0x82263b0,0x0
0x02E8 Nothing,0x82263b0,0x0
0x02E9 Magic shine,0x858189c,0x40004
0x02EA Magic shine long,0x85818b8,0x50005
0x02EB Magic shine longer,0x85818d4,0x40004
0x02EC Magic shine longer still,0x85818f0,0x50005
0x02ED Magic shine longest,0x858190c,0x40004
0x02EE Nothing,0x8581928,0x50005
0x02EF Nothing,0x82263b0,0x0
0x02F0 Rumbling at the Dragon's Gate,0x82263b0,0x0
0x02F1 Dragons screaming,0x82263b0,0x0
0x02F2 Fire Dragon dying,0x82263b0,0x0
0x02F3 Fire Dragon dying 2,0x8581944,0x40004
0x02F4 No damage,0x8581960,0x50005
0x02F5 High-pitched dragon yell,0x858197c,0x40004
0x02F6 Soft step,0x8581998,0x50005
0x02F7 Druid critical charge,0x85819b4,0x40004
0x02F8 Sage critical conjuration,0x85819d0,0x50005
0x02F9 Swish sound,0x82263b0,0x0
0x02FA Icy sound,0x82263b0,0x0
0x02FB Fire Dragon attacking,0x82263b0,0x0
0x02FC Dragons attacking Athos,0x82263b0,0x0
0x02FD Ereshkigal charging,0x85819ec,0x40004
0x02FE Ereshkigal strike,0x8581a08,0x50005
0x02FF Swoosh sound,0x8581a24,0x40004
0x0300 Nothing,0x8581a40,0x50005
0x0301 Nothing,0x8581a5c,0x40004
0x0302 Revenant Map Step,0x8581a78,0x50005
0x0303 Entombed Map Step,0x82263b0,0x0
0x0304 Bonewalker Map Step,0x82263b0,0x0
0x0305 Wight Map Step,0x82263b0,0x0
0x0306 Oculus Map... Step...?,0x82263b0,0x0
0x0307 Bael Map Step,0x8581a94,0x40004
0x0308 Elder Bael Map Step,0x8581ab0,0x50005
0x0309 Tarvos Map Step,0x8581acc,0x40004
0x030A Maelduin Map Step,0x8581ae8,0x50005
0x030B ?,0x8581b04,0x40004
0x030C ?,0x8581b20,0x50005
0x030D ?,0x82263b0,0x0
0x030E ?,0x82263b0,0x0
0x030F ?,0x82263b0,0x0
0x0310 ?,0x82263b0,0x0
0x0311 ? (Sounds familiar...),0x8581b3c,0x40004
0x0312 Roar (Do maybe?),0x8581b58,0x50005
0x0313 Sword hitting a rock?,0x8581b74,0x40004
0x0314 Shine?,0x8581b90,0x50005
0x0315 Nothing,0x8581bac,0x40004
0x0316 Chapter Opening,0x8581bc8,0x50005
0x0317 ?,0x82263b0,0x0
0x0318 Nothing,0x82263b0,0x0
0x0319 Nothing,0x82263b0,0x0
0x031A Nothing,0x82263b0,0x0
0x031B Nothing,0x8581be4,0x40004
0x031C Nothing,0x8581c00,0x50005
0x031D Nothing,0x8581c1c,0x40004
0x031E Nothing,0x8581c38,0x50005
0x031F Nothing,0x8581c54,0x40004
0x0320 ?,0x8581c70,0x50005
0x0321 ?,0x82263b0,0x0
0x0322 ?,0x82263b0,0x0
0x0323 Nothing,0x82263b0,0x0
0x0324 Nothing,0x82263b0,0x0
0x0325 ?,0x8581c8c,0x40004
0x0326 ?,0x8581ca8,0x50005
0x0327 ?,0x8581cc4,0x40004
0x0328 Nothing,0x8581ce0,0x50005
0x0329 Mauthedoog Roar,0x8581cfc,0x40004
0x032A Mauthedoog Roar,0x8581d18,0x50005
0x032B Mauthedoog Bite,0x82263b0,0x0
0x032C Mauthedoog Howl,0x82263b0,0x0
0x032D Nothing,0x82263b0,0x0
0x032E Gorgon Roar,0x82263b0,0x0
0x032F ?,0x8581d34,0x40004
0x0330 ?,0x8581d50,0x50005
0x0331 ?,0x8581d6c,0x40004
0x0332 ?,0x8581d88,0x50005
0x0333 Nothing,0x8581da4,0x40004
0x0334 Revenant Step,0x8581dc0,0x50005
0x0335 Entombed Step,0x82263b0,0x0
0x0336 Bonewalker Step,0x82263b0,0x0
0x0337 Wight Step,0x82263b0,0x0
0x0338 Bael Step,0x82263b0,0x0
0x0339 Elder Bael Step,0x8581ddc,0x40004
0x033A Mauthedoog Step,0x8581df8,0x50005
0x033B Gwyllgi Step,0x8581e14,0x40004
0x033C Nothing,0x8581e30,0x50005
0x033D Nothing,0x8581e4c,0x40004
0x033E Revenant Step (Here to 0x0379 are monsters' steps),0x8581e68,0x50005
0x037A ?,0x82263b0,0x0
0x037B Dragon roar,0x82263b0,0x0
0x037C ?,0x82263b0,0x0
0x037D ?,0x82263b0,0x0
0x037E Charging sound,0x8581e84,0x40004
0x037F Charging sound (Similar to Shaman),0x8581ea0,0x50005
0x0380 Dragon roar with wind on bg,0x8581ebc,0x40004
0x0381 Nothing,0x8581ed8,0x50005
0x0382 Nothing,0x8581ef4,0x40004
0x0383 Nothing,0x8581f10,0x50005
0x0384 Weird Sound,0x82263b0,0x0
0x03AC Gleipnir Rune and Fire,0x82263b0,0x0
0x03AD Gleipnir Hitting,0x82263b0,0x0
0x03AE Nothing,0x82263b0,0x0
0x03AF Naglfar Rune and vortex,0x8581f2c,0x40004
0x03B0 Naglfar Hitting,0x8581f48,0x50005
0x03B1 Nothing,0x8581f64,0x40004
0x03B2 Formotiis Magic,0x8581f80,0x50005
0x03B3 Formotiis Magic,0x8581f9c,0x40004
0x03B4 Nothing,0x8581fb8,0x50005
0x03B5 ?,0x82263b0,0x0
0x03B6 Demon Surge,0x82263b0,0x0
0x03B7 ?,0x82263b0,0x0
0x03B8 ?,0x82263b0,0x0
0x03B9 ?,0x8581fd4,0x40004
0x03BA ?,0x8581ff0,0x50005
0x03BB ?,0x858200c,0x40004
0x03BC ?,0x8582028,0x50005
0x03BD ?,0x8582044,0x40004
0x03BE ?,0x8582060,0x50005
0x03BF ?,0x82263b0,0x0
0x03C0 Nothing,0x82263b0,0x0
0x03C1 ?,0x82263b0,0x0
0x03C2 ?,0x82263b0,0x0
0x03C3 ?,0x858207c,0x40004
0x03C4 ?,0x8582098,0x50005
0x03C5 Nothing,0x85820b4,0x40004
0x03C6 Evil Eye,0x85820d0,0x50005
0x03C7 Crimson Eye,0x85820ec,0x40004
0x03C8 Nothing,0x8582108,0x50005
0x03C9 ?,0x82263b0,0x0
0x03CA ?,0x82263b0,0x0
0x03CB Nothing,0x82263b0,0x0
0x03CC Nothing,0x82263b0,0x0
0x03CD Nothing,0x8582124,0x40004
0x03CE Nothing,0x8582140,0x50005
0x03CF ?,0x858215c,0x40004
0x03D0 ?,0x8582178,0x50005
0x03D1 ?,0x8582194,0x40004
0x03D2 ?,0x85821b0,0x50005
0x03D3 ?,0x82263b0,0x0
0x03D4 Ivaldi,0x82263b0,0x0
0x03D5 Shadowshot fire,0x82263b0,0x0
0x03D6 Shadowshot hitting,0x82263b0,0x0
0x21c,0x85821cc,0x40004
0x21d,0x85821e8,0x50005
0x21e,0x8582204,0x40004
0x21f,0x8582220,0x50005
0x220,0x858223c,0x40004
0x221,0x8582258,0x50005
0x222,0x82263b0,0x0
0x223,0x82263b0,0x0
0x224,0x82263b0,0x0
0x225,0x82263b0,0x0
0x226,0x8582274,0x40004
0x227,0x8582290,0x50005
0x228,0x85822ac,0x40004
0x229,0x85822c8,0x50005
0x22a,0x85822e4,0x40004
0x22b,0x8582300,0x50005
0x22c,0x82263b0,0x0
0x22d,0x82263b0,0x0
0x22e,0x82263b0,0x0
0x22f,0x82263b0,0x0
0x230,0x858231c,0x40004
0x231,0x8582338,0x50005
0x232,0x8582354,0x40004
0x233,0x8582370,0x50005
0x234,0x858238c,0x40004
0x235,0x85823a8,0x50005
0x236,0x82263b0,0x0
0x237,0x82263b0,0x0
0x238,0x82263b0,0x0
0x239,0x82263b0,0x0
0x23a,0x85823c4,0x40004
0x23b,0x85823e0,0x50005
0x23c,0x85823fc,0x40004
0x23d,0x8582418,0x50005
0x23e,0x8582434,0x40004
0x23f,0x8582450,0x50005
0x240,0x82263b0,0x0
0x241,0x82263b0,0x0
0x242,0x82263b0,0x0
0x243,0x82263b0,0x0
0x244,0x858246c,0x40004
0x245,0x8582488,0x50005
0x246,0x85824a4,0x40004
0x247,0x85824c0,0x50005
0x248,0x85824dc,0x40004
0x249,0x85824f8,0x50005
0x24a,0x82263b0,0x0
0x24b,0x82263b0,0x0
0x24c,0x82263b0,0x0
0x24d,0x82263b0,0x0
0x24e,0x8582514,0x40004
0x24f,0x8582530,0x50005
0x250,0x858254c,0x40004
0x251,0x8582568,0x50005
0x252,0x8582584,0x40004
0x253,0x85825a0,0x50005
0x254,0x82263b0,0x0
0x255,0x82263b0,0x0
0x256,0x82263b0,0x0
0x257,0x82263b0,0x0
0x258,0x85825bc,0x40004
0x259,0x85825d8,0x50005
0x25a,0x85825f4,0x40004
0x25b,0x8582610,0x50005
0x25c,0x858262c,0x40004
0x25d,0x8582648,0x50005
0x25e,0x82263b0,0x0
0x25f,0x82263b0,0x0
0x260,0x82263b0,0x0
0x261,0x82263b0,0x0
0x262,0x8582664,0x40004
0x263,0x8582680,0x50005
0x264,0x858269c,0x40004
