INLINE SoundRoomTable,Song ID,Song Length (Only Used for Shuffle Mode),Song Unlock ASM Condition (Unused in FE8),Song Name Text ID
0,Forbidden_Forest,9360,0,ForbiddenForestText
0,Full_Force,9360,0,FullForceText
0,Fury_Sparks,9360,0,FurySparksText
0,Good_Song,9360,0,GoodSongText
0,Green_Emerald,9360,0,GreenEmeraldText
0,Hand_Combat,9360,0,HandCombatText
0,Heavens_Gate,9360,0,HeavensGateText
0,Heavens_Rock_Seat,9360,0,HeavensRockSeatText
0,Hill_Top,9360,0,HillTopText
0,Hollow_Bastion,9360,0,HollowBastionText
0,Inanimate_Dream,9360,0,InanimateDreamText
0,Isaac_Battle,9360,0,IsaacsBattleThemeText
0,Judgral_Calls,9360,0,JudgralCallsText
0,Justice,9360,0,JusticeText
0,Kakariko_Village,9360,0,KakarikoVillageText
0,Kavoc,9360,0,KavocText
0,Kratos,9360,0,KratosText
0,Last_Battle_Decision,9360,0,LastBattleDecisionText
0,Legends_of_Avenir,9360,0,LegendsOfAvenirText
0,Like_a_Glint_of_Light,9360,0,LikeAGlintOfLightText
0,Lloyd,9360,0,LloydText
0,Locked_Girl,9360,0,LockedGirlText
0,Marble_Corridor,9360,0,MarbleCorridorText
0,March,9360,0,MarchText
0,Mars_Lighthouse,9360,0,MarsLighthouseText
0,Metropolis,9360,0,MetropolisText
0,Nara_and_Mara_Battle,9360,0,NaraAndMaraBattleText
0,Nekonin,9360,0,NekoninText
0,Off_Key,9360,0,OffKeyText
0,Oil_Ocean,9360,0,OilOceanText
0,Old_Familiar_Scent,9360,0,OldFamiliarScentText
0,Ordon_Village,9360,0,OrdonVillageText
0,Overwhelming_Advance,9360,0,OverwhelmingAdvanceText
0,Pub_Theme,9360,0,PubThemeText
0,Puppet_Ganon,9360,0,PuppetGanonText
0,Rest_of_the_Heart,9360,0,RestOfTheHeartText
0,Roar_of_Dominion,9360,0,RoarOfDominionText
0,Satorl_Marsh,9360,0,SatorlMarchText
0,Saturos_Battle,9360,0,SaturosBattleText
0,Seventh_Saga_Dungeon,9360,0,SeventhSagaDungeonText
0,Shihna,9360,0,ShihnaText
0,Showdown_with_Hector,9360,0,ShowdownWithHectorText
0,Showdown_with_Hector_New,9360,0,ShowdownWithHectorText
0,Snow_Battle,9360,0,SnowBattleText
0,Stage_One,9360,0,StageOneText
0,Stage_One_Conquest,9360,0,StageOneConquestText
0,Team_Making,9360,0,TeamMakingText
0,The_Devoted,9360,0,TheDevotedText
0,The_First_Campaign,9360,0,TheFirstCampaignText
0,The_Law_of_Battle,9360,0,TheLawOfBattleText
0,Town_of_Winds_and_Ruins,9360,0,TownOfWindsAndRuinsText
0,Twinrova,9360,0,TwinrovaText
0,UN_Owen_Was_Her,9360,0,UNOwenWasHerText
0,Venus_Lighthouse,9360,0,VenusLighthouseText
0,Victory_March,9360,0,VictoryMarchText
0,Victorys_Delight,9360,0,VictorysDelightText
0,We_Can_Handle_Em,9360,0,WeCanHandleEmText
0,Wild_Fields,9360,0,WildFieldsText
0,With_Us,9360,0,WithUsText
0,Wrath_Strike,9360,0,WrathStrikeText
0,Zelda_Twighlight_Shop,9360,0,ZeldaTwighlightShopText
0,Zelos,9360,0,ZelosText
0,Annihilate_Em,9360,0,AnnihilateEmText
0,Aquatic_Dystopia,9360,0,AquaticDystopiaText
0,Armories_of_Avenir,9360,0,ArmoriesOfAvenirText
0,Avenir_Healing,9360,0,AvenirHealingText
0,Cataclysm,9360,0,CataclysmText
0,Crossroads,9360,0,CrossroadsText
0,Drop_Em,9360,0,DropEmText
0,End_Em,9360,0,EndEmText
0,Fields_of_Avenir,9360,0,FieldsOfAvenirText
0,I_Dont_Think_We_Can_Take_Em,9360,0,IDontThinkWeCanTakeEmText
0,Knock_Em_Around,9360,0,KnockEmAroundText
0,Life_in_the_Military,9360,0,LifeInTheMilitaryText
0,Life_of_a_Mercenary,9360,0,LifeOfAMercenaryText
0,Light_Em_Up,9360,0,LightEmUpText
0,Make_Em_Pay,9360,0,MakeEmPayText
0,Promotions_of_Avenir,9360,0,PromotionsOfAvenirText
0,Show_Em_Whats_What,9360,0,ShowEmWhatsWhatText
0,Sock_It_to_Em,9360,0,SockItToEmText
0,Take_Em_Down,9360,0,TakeEmDownText
0,Thrash_Em,9360,0,ThrashEmText
0,Vendors_of_Avenir,9360,0,VendorsOfAvenirText
0,We_Stand,9360,0,WeStandText
0,We_Strive,9360,0,WeStriveText
0,We_Will_Endure,9360,0,WeWillEndureText
0,We_Will_Hold_the_Line,9360,0,WeWillHoldTheLineText
0,We_Will_Overcome,9360,0,WeWillOvercomeText
0,We_Will_Persevere,9360,0,WeWillPersevereText
0,We_Wont_Give_In,9360,0,WeWontGiveInText
0,Winds_across_the_Plains_of_Avenir,9360,0,WindsAcrossThePlainsOfAvenirText
0,A_Formidable_Friend_Joins_in_the_Fray,9360,0,AFormidableFriendJoinsInTheFrayText
0,Avatars_of_Avenir,9360,0,AvatarsOfAvenirText
0,The_Guardian_Spirit,9360,0,TheGuardianSpiritText
0,0xFFFFFFFF,0x0,0x0,0x0
