INLINE ModularEXPClassTable,Class Multiplier,Class Divisor,Granting Multiplier,Granting Divisor,Sword Multiplier,Sword Divisor,Lance Multiplier,Lance Divisor,Axe Multiplier,Axe Divisor,Bow Multiplier,Bow Divisor,Staff Multiplier,Staff Divisor,Anima Multiplier,Anima Divisor,Light Multiplier,Light Divisor,Dark Multiplier,Dark Divisor
Druid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Druid (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Summoner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Summoner (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rogue,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gorgon Egg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Great Knight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Great Knight (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Recruit (2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Journeyman (3),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pupil (3),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Recruit (3),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manakete,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manakete (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Journeyman (1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pupil (1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fighter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Warrior,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brigand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pirate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Berserker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Monk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Priest,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Recruit (1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pegasus Knight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Falcon Knight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cleric,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Troubadour,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Valkyrie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Soldier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Necromancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fleet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phantom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Revenant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Entombed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bonewalker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bonewalker (Bow),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wight (Bow),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bael,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elder Bael,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyclops,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauthe Doog,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gwyllgi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tarvos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maelduin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mogall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arch Mogall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gorgon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gorgon Egg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gargoyle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deathgoyle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dracozombie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Demon King,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer on Ballista,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer on Iron Ballista,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer on Killer Ballista,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ballista,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iron Ballista,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Killer Ballista,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Queen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Prince,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Queen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
(empty),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fallen Prince,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pontifex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dead Peer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyclops,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elder Bael,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Journeyman (2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pupil (2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
