INLINE ConversationBackgroundTable ,Image Ptr,TSA Ptr,Palette Ptr
0x62,0x0,0x2b,0x11000000
0x63,0x0,0xb0000,0x0
0x64,0x1600,0x0,0x1d
0x65,0x0,0x0,0x0
0x66,0x0,0x0,0x0
0x67,0x0,0x0,0x0
0x68,0x0,0x0,0x0
0x69,0x0,0x0,0x0
0x6a,0x0,0x0,0x0
0x6b,0x0,0x0,0x0
0x6c,0x0,0x0,0x0
0x6d,0x0,0x0,0x0
0x6e,0x0,0x0,0x0
0x6f,0x0,0x0,0x0
0x70,0x0,0x0,0x0
0x71,0x0,0x70000,0x0
0x72,0x2300,0x0,0x2a
0x73,0x23000000,0x0,0x9
0x74,0x41000000,0x0,0x410000
0x75,0x0,0x0,0x0
0x76,0x9,0x2d000000,0x0
0x77,0x50000,0x0,0xb000000
0x78,0x0,0x400000,0x0
0x79,0x2700,0x0,0x0
0x7a,0x35000000,0x0,0x150000
0x7b,0x0,0x1100,0x0
0x7c,0x27,0x0,0x0
0x7d,0x0,0x0,0x2b00
0x7e,0x0,0x0,0x0
0x7f,0x0,0x400000,0x0
0x80,0x1d00,0x0,0x0
0x81,0x0,0x0,0x0
0x82,0x0,0x0,0x0
0x83,0x0,0x0,0x0
0x84,0x0,0x0,0x0
0x85,0x0,0x0,0x0
0x86,0x0,0x0,0x0
0x87,0x0,0x3f0000,0x0
0x88,0x21000000,0x0,0xf
0x89,0x0,0xb00,0x0
0x8a,0x0,0x7000000,0x0
0x8b,0x0,0x0,0x0
0x8c,0x0,0x0,0x0
0x8d,0x0,0x0,0x0
0x8e,0x0,0x0,0x0
0x8f,0x0,0x0,0x0
0x90,0x0,0x0,0x0
0x91,0x0,0x0,0x0
0x92,0x0,0x0,0x0
0x93,0x0,0x0,0x0
0x94,0x0,0x0,0x0
0x95,0x0,0x0,0x0
0x96,0x0,0x0,0x0
0x97,0x0,0x0,0x0
0x98,0x0,0x0,0x0
0x99,0x0,0x0,0x0
0x9a,0x0,0x0,0x0
0x9b,0x0,0x0,0x0
0x9c,0x0,0x0,0x0
0x9d,0x0,0x0,0x0
0x9e,0x0,0x0,0x0
0x9f,0x0,0x0,0x0
0xa0,0x0,0x0,0x0
0xa1,0x0,0x0,0x0
0xa2,0x0,0x0,0x0
0xa3,0x0,0x0,0x0
0xa4,0x0,0x0,0x0
0xa5,0x0,0x0,0x0
0xa6,0x0,0x0,0x0
0xa7,0x0,0x0,0x0
0xa8,0x0,0x0,0x0
0xa9,0x0,0x0,0x0
0xaa,0x0,0x0,0x0
0xab,0x0,0x0,0x0
0xac,0x0,0x0,0x0
0xad,0x0,0x0,0x0
0xae,0x0,0x0,0x0
0xaf,0x0,0x0,0x0
0xb0,0x0,0x0,0x0
0xb1,0x0,0x0,0x0
0xb2,0x0,0x0,0x0
0xb3,0x0,0x0,0x0
0xb4,0x0,0x0,0x0
0xb5,0x0,0x0,0x0
0xb6,0x0,0x0,0x0
0xb7,0x0,0x0,0x0
0xb8,0x0,0x0,0x0
0xb9,0x0,0x0,0x0
0xba,0x0,0x0,0x0
0xbb,0x0,0x0,0x0
0xbc,0x0,0x0,0x0
0xbd,0x0,0x0,0x35000000
0xbe,0x0,0x0,0x0
0xbf,0x1d00,0x0,0x0
0xc0,0x0,0x0,0x0
0xc1,0x0,0x1500,0x0
0xc2,0x0,0x0,0x0
0xc3,0x0,0x0,0x0
0xc4,0x0,0x0,0x0
0xc5,0x0,0x0,0x0
0xc6,0x0,0x0,0x0
0xc7,0x0,0x0,0x0
0xc8,0x0,0x0,0x0
0xc9,0x0,0x0,0x0
0xca,0x0,0x0,0x0
0xcb,0x0,0x0,0x0
0xcc,0x0,0x0,0x0
0xcd,0x0,0x0,0x0
0xce,0x0,0x0,0x0
0xcf,0x0,0x0,0x0
0xd0,0x0,0x0,0x0
0xd1,0x0,0x0,0x0
0xd2,0x0,0x0,0x0
0xd3,0x0,0x0,0x0
0xd4,0x0,0x0,0x0
0xd5,0x0,0x0,0x0
0xd6,0x0,0x0,0x0
0xd7,0x0,0x0,0x0
0xd8,0x0,0x0,0x0
0xd9,0x0,0x0,0x0
0xda,0x0,0x0,0x0
0xdb,0x0,0x0,0x0
0xdc,0x0,0x0,0x0
0xdd,0x0,0x0,0x0
0xde,0x0,0x0,0x0
0xdf,0x0,0x0,0x0
0xe0,0x0,0x0,0x0
0xe1,0x0,0x0,0x0
0xe2,0x0,0x0,0x0
0xe3,0x0,0x0,0x0
0xe4,0x0,0x0,0x0
0xe5,0x0,0x0,0x0
0xe6,0x0,0x0,0x0
0xe7,0x0,0x0,0x0
0xe8,0x0,0x0,0x0
0xe9,0x0,0x0,0x0
0xea,0x0,0x0,0x0
0xeb,0x0,0x0,0x0
0xec,0x0,0x0,0x0
0xed,0x0,0x0,0x0
0xee,0x0,0x0,0x0
0xef,0x0,0x0,0x0
0xf0,0x0,0x0,0x0
0xf1,0x0,0x0,0x0
0xf2,0x0,0x0,0x0
0xf3,0x0,0x0,0x0
0xf4,0x0,0x0,0x0
0xf5,0x0,0x0,0x0
0xf6,0x0,0x0,0x0
0xf7,0x0,0x0,0x0
0xf8,0x0,0x0,0x0
0xf9,0x0,0x0,0x0
0xfa,0x0,0x0,0x0
0xfb,0x0,0x0,0x0
0xfc,0x0,0x0,0x0
0xfd,0x0,0x0,0x0
0xfe,0x0,0x0,0x0
0xff,0x0,0x0,0x0
