INLINE NewItemTable,Name,Description,Use Desc,ID,Type,Ability1,Ability2,Ability3,Ability4,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Hyper Fang,HyperFangName,HyperFangDesc,0x00,0x19,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt+2,85,1,0,0x11,8000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Leer,LeerName,LeerDesc,0x00,0x1A,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,T1Debuff_Mt,85,1,0,0x12,2000,0x00,NormalTypeIcon,0x0,NoEffect,0,WeakDefResDebuff,0x0,0x00
Mega Kick,MegaKickName,MegaKickDesc,0x00,0x1B,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt+2,65,1,0,0x11,7500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Mega Punch,MegaPunchName,MegaPunchDesc,0x00,0x1C,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,5000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Pay Day,PayDayName,PayDayDesc,0x00,0x1D,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt+1,100,1,0,0x11,4000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Pound,PoundName,PoundDesc,0x00,0x1E,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,0x00,0x01,T1Debuff_Mt,85,1,0,0x11,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,WeakLuckDebuff,0x0,0x00
Quick Attack,QuickAttackName,QuickAttackDesc,0x00,0x1F,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt+1,100,1,0,0x11,1600,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,VantagePlusID
Rage,RageName,RageDesc,0x00,0x20,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt,100,1,0,0x11,1600,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Sand-Attack,SandAttackName,SandAttackDesc,0x00,0x21,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,T1Debuff_Mt,85,1,0,0x12,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,MedSkillDebuff,0x0,0x00
Scratch,ScratchName,ScratchDesc,0x00,0x22,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x0A,T1Phys_Mt,95,1,5,0x11,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
MetalClaw,MetalClawName,MetalClawDesc,0x00,0x23,SteelTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,SteelAdv|IsPointer,0x0A,T1Phys_Mt+1,100,1,0,0x11,2500,0x00,SteelTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
IronTail,IronTailName,IronTailDesc,0x00,0x24,SteelTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,SteelAdv|IsPointer,0x0A,T3Phys_Mt,70,1,0,0x11,8000,0x00,SteelTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
MeteorMash,MeteorMashName,MeteorMashDesc,0x00,0x25,SteelTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,SteelAdv|IsPointer,0x0A,T3Phys_Mt+1,70,1,0,0x11,12500,0x00,SteelTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
MirrorShot,MirrorShotName,MirrorShotDesc,0x00,0x26,SteelTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,SteelAdv|IsPointer,0x0A,T2Spec_Mt,85,1,0,0x22,5000,0x00,SteelTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
FlashCannon,FlashCannonName,FlashCannonDesc,0x00,0x27,SteelTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,SteelAdv|IsPointer,0x0A,T3Spec_Mt,70,1,0,0x22,8000,0x00,SteelTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
MetalSound,MetalSoundName,MetalSoundDesc,0x00,0x28,SteelTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,SteelAdv|IsPointer,0x0A,T2Debuff_Mt,85,1,0,0x22,3500,0x00,SteelTypeIcon,0x0,NoEffect,0,GoodResDebuff,0x0,0x00
Slam,SlamName,SlamDesc,0x00,0x29,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,4000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Slash,SlashName,SlashDesc,0x00,0x2A,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt-1,75,1,30,0x11,5500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Splash,SplashName,SplashDesc,0x00,0x2B,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,0,0,1,0,0x11,500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Attack Pulse,AttackPulseName,AttackPulseDesc,0x00,0x2C,NormalTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Spec_Mt,100,1,0,0x22,2500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Super Fang,SuperFangName,SuperFangDesc,0x00,0x2D,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,7500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Swift,SwiftName,SwiftDesc,0x00,0x2E,NormalTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Spec_Mt-1,125,1,0,0x22,4000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Swords Dance,SwordsDanceName,SwordsDanceDesc,0x00,0x2F,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,0,0,1,0,0x22,10000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Tackle,TackleName,TackleDesc,0x00,0x30,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x0A,T1Phys_Mt,105,1,0,0x11,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Tail Whip,TailWhipName,TailWhipDesc,0x00,0x31,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,T1Debuff_Mt,85,1,0,0x12,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,WeakDefDebuff,0x0,0x00
Take Down,TakeDownName,TakeDownDesc,0x00,0x32,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T3Phys_Mt-1,100,1,0,0x11,5500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Thrash,ThrashName,ThrashDesc,0x00,0x33,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T3Phys_Mt-1,60,1,0,0x11,6500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Tri Attack,TriAttackName,TriAttackDesc,0x00,0x34,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T3Spec_Mt+1,70,1,0,0x22,5500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Ember,EmberName,EmberDesc,0x00,0x35,FireTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,FireAdv|IsPointer,0x01,T1Spec_Mt,100,1,0,0x22,1600,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Fire Punch,FirePunchName,FirePunchDesc,0x00,0x36,FireTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FireAdv|IsPointer,0x01,T2Phys_Mt+1,90,1,0,0x11,7500,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Flame Wheel,FlameWheelName,FlameWheelDesc,0x00,0x37,FireTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FireAdv|IsPointer,0x01,T1Phys_Mt+1,100,1,0,0x11,2500,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Scorch,ScorchName,ScorchDesc,0x00,0x38,FireTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,FireAdv|IsPointer,0x01,T2Spec_Mt,85,1,0,0x22,4000,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Flamethrower,FlamethrowerName,FlamethrowerDesc,0x00,0x39,FireTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,FireAdv|IsPointer,0x01,T3Spec_Mt-1,90,1,0,0x22,10000,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Fire Spin,FireSpinName,FireSpinDesc,0x00,0x3A,FireTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,NegateDef,0x00,0x00,FireAdv|IsPointer,0x01,T2Debuff_Mt,85,1,0,0x22,12000,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Fire Blast,FireBlastName,FireBlastDesc,0x00,0x3B,FireTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,FireAdv|IsPointer,0x01,T3Spec_Mt+3,70,1,0,0x22,20000,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Sacred Fire,SacredFireName,SacredFireDesc,0x00,0x3C,FireTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FireAdv|IsPointer,0x01,T3Phys_Mt+1,80,1,0,0x11,25000,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Bubble,BubbleName,BubbleDesc,0x00,0x3D,WaterTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T1Spec_Mt-1,100,1,0,0x22,1600,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Water Gun,WaterGunName,WaterGunDesc,0x00,0x3E,WaterTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T1Spec_Mt+1,85,1,0,0x22,2500,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Clamp,ClampName,ClampDesc,0x00,0x3F,WaterTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T2Phys_Mt,100,1,0,0x11,6500,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Crabhammer,CrabhammerName,CrabhammerDesc,0x00,0x40,WaterTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T3Phys_Mt+1,70,1,0,0x11,10000,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Bubble Beam,BubbleBeamName,BubbleBeamDesc,0x00,0x41,WaterTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T2Spec_Mt-1,85,1,0,0x22,4500,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Hydro Pump,HydroPumpName,HydroPumpDesc,0x00,0x42,WaterTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T3Spec_Mt+3,70,1,0,0x22,12500,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Surf,SurfName,SurfDesc,0x00,0x43,WaterTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T3Spec_Mt,70,1,0,0x12,10000,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Waterfall,WaterfallName,WaterfallDesc,0x00,0x44,WaterTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T3Phys_Mt-1,70,1,0,0x11,8000,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
WaterPulse,WaterPulseName,WaterPulseDesc,0x00,0x45,WaterTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,WaterAdv|IsPointer,0x01,T2Spec_Mt+1,85,1,0,0x22,6000,0x00,WaterTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Absorb,AbsorbName,AbsorbDesc,0x00,0x46,GrassTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T1Spec_Mt-2,75,1,0,0x22,1600,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,AbsorbID
GrassKnot,GrassKnotName,GrassKnotDesc,0x00,0x47,GrassTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T2Phys_Mt+1,95,1,0,0x11,7500,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Mega Drain,MegaDrainName,MegaDrainDesc,0x00,0x48,GrassTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T2Spec_Mt,85,1,0,0x22,5500,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,AbsorbID
Petal Dance,PetalDanceName,PetalDanceDesc,0x00,0x49,GrassTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T3Spec_Mt,70,1,0,0x22,10000,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Leaf Flurry,LeafFlurryName,LeafFlurryDesc,0x00,0x4A,GrassTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T1Spec_Mt,100,1,0,0x22,1600,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
HealPulse,HealPulseName,HealPulseDesc,0x04AF,0x4B,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x1E,2,100,2,0,0x12,4000,0x00,PsychicTypeIcon,0x1,NoEffect,0,0x00,0x0,0x00
Mend,0x03C3,0x0472,0x04B0,0x4C,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x14,2,100,4,0,0x11,100,0x00,0x4A,0x2,NoEffect,0,0x00,0x0,0x00
Recover,0x03C4,0x0473,0x04B1,0x4D,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x0F,2,100,6,0,0x11,300,0x00,0x4B,0x3,NoEffect,0,0x00,0x0,0x00
Physic,0x03C5,0x0474,0x04B2,0x4E,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x0F,2,100,5,0,0x10,500,0x00,0x4C,0x4,NoEffect,0,0x00,0x0,0x00
Fortify,0x03C6,0x0475,0x04B3,0x4F,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x08,2,100,7,0,0x10,20000,0x00,0x4D,0x5,NoEffect,0,0x00,0x0,0x00
Restore,0x03C7,0x0476,0x04B4,0x50,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x0A,2,100,4,0,0x11,400,0x00,0x4E,0x6,NoEffect,0,0x00,0x0,0x00
Silence,0x03C8,0x0477,0x04B5,0x51,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x03,2,70,7,0,0x10,800,0x00,0x4F,0x7,NoEffect,0,0x00,"ItemStatus(SilenceStatusID,5)",0x00
Sleep,SingName,SingDesc,0x04B6,0x52,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x03,2,65,8,0,0x13,1000,0x00,NormalTypeIcon,0x8,NoEffect,0,0x00,"ItemStatus(SleepStatusID,5)",0x00
Berserk,0x03CA,0x0479,0x04B7,0x53,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x03,2,60,8,0,0x10,1200,0x00,0x51,0x9,NoEffect,0,0x00,"ItemStatus(BerserkStatusID,5)",0x00
Warp,0x03CB,0x047A,0x04B8,0x54,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x05,2,100,5,0,0x11,3000,0x00,0x52,0xa,NoEffect,0,0x00,0x0,0x00
Rescue,0x03CC,0x047B,0x04B9,0x55,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x03,2,100,6,0,0x10,1200,0x00,0x53,0xb,NoEffect,0,0x00,0x0,0x00
Torch,0x03CD,0x047C,0x04BA,0x56,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x0A,2,100,5,0,0x10,200,0x00,0x54,0xc,NoEffect,0,0x00,0x0,0x00
Hammerne,0x03CE,0x047D,0x04BB,0x57,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x03,2,100,7,0,0x11,1200,0x00,0x55,0xd,NoEffect,0,0x00,0x0,0x00
Unlock,0x03CF,0x047E,0x04BC,0x58,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x0A,2,100,7,0,0x12,300,0x00,0x56,0xe,NoEffect,0,0x00,0x0,0x00
Barrier,0x03D0,0x047F,0x04BD,0x59,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x0F,2,100,4,0,0x11,300,0x00,0x57,0xf,NoEffect,0,0x00,0x0,0x00
Hone Claws,HoneClawsName,HoneClawsDesc,0x00,0x5A,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x1E,0,60,11,0,0x11,7500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
HP Up,HPUpName,HPUpDesc,HPUpDesc,0x5B,ItemType,0x00,0x00,0x00,0x00,HP1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,HPUpIcon,0x10,NoEffect,0,0x00,0x0,0x00
Protein,ProteinName,ProteinDesc,ProteinDesc,0x5C,ItemType,0x00,0x00,0x00,0x00,STR1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,ProteinIcon,0x11,NoEffect,0,0x00,0x0,0x00
Secret Tonic,SecretTonicName,SecretTonicDesc,SecretTonicDesc,0x5D,ItemType,0x00,0x00,0x00,0x00,SKL1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,SecretTonicIcon,0x12,NoEffect,0,0x00,0x0,0x00
Carbos,CarbosName,CarbosDesc,CarbosDesc,0x5E,ItemType,0x00,0x00,0x00,0x00,SPD1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,CarbosIcon,0x13,NoEffect,0,0x00,0x0,0x00
Luck,LuckyTonicName,LuckyTonicDesc,LuckyTonicDesc,0x5F,ItemType,0x00,0x00,0x00,0x00,LUK1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,LuckIcon,0x14,NoEffect,0,0x00,0x0,0x00
