INLINE HolyBloodTable,Name ID,Desc ID,HP Growth Modifier,Strength Growth Modifier,Skill Growth Modifier,Speed Growth Modifier,Defense Growth Modifier,Resistance Growth Modifier,Luck Growth Modifier,Magic Growth Modifier,Blood IDI,Can Dragon Vein,##UNKNOWN##,Exclusive Weapons List Pointer
0x25,0xffff,0xffff,255,255,255,255,255,255,255,255,37,255,0xffff,0xffffffff
0x26,0xffff,0xffff,255,255,255,255,255,255,255,255,38,255,0xffff,0xffffffff
0x27,0xffff,0xffff,255,255,255,255,255,255,255,255,39,255,0xffff,0xffffffff
0x28,0xffff,0xffff,255,255,255,255,255,255,255,255,40,255,0xffff,0xffffffff
0x29,0xffff,0xffff,255,255,255,255,255,255,255,255,41,255,0xffff,0xffffffff
0x2a,0xffff,0xffff,255,255,255,255,255,255,255,255,42,255,0xffff,0xffffffff
0x2b,0xffff,0xffff,255,255,255,255,255,255,255,255,43,255,0xffff,0xffffffff
0x2c,0xffff,0xffff,255,255,255,255,255,255,255,255,44,255,0xffff,0xffffffff
0x2d,0xffff,0xffff,255,255,255,255,255,255,255,255,45,255,0xffff,0xffffffff
0x2e,0xffff,0xffff,255,255,255,255,255,255,255,255,46,255,0xffff,0xffffffff
0x2f,0xffff,0xffff,255,255,255,255,255,255,255,255,47,255,0xffff,0xffffffff
0x30,0xffff,0xffff,255,255,255,255,255,255,255,255,48,255,0xffff,0xffffffff
0x31,0xffff,0xffff,255,255,255,255,255,255,255,255,49,255,0xffff,0xffffffff
0x32,0xffff,0xffff,255,255,255,255,255,255,255,255,50,255,0xffff,0xffffffff
0x33,0xffff,0xffff,255,255,255,255,255,255,255,255,51,255,0xffff,0xffffffff
0x34,0xffff,0xffff,255,255,255,255,255,255,255,255,52,255,0xffff,0xffffffff
0x35,0xffff,0xffff,255,255,255,255,255,255,255,255,53,255,0xffff,0xffffffff
0x36,0xffff,0xffff,255,255,255,255,255,255,255,255,54,255,0xffff,0xffffffff
0x37,0xffff,0xffff,255,255,255,255,255,255,255,255,55,255,0xffff,0xffffffff
0x38,0xffff,0xffff,255,255,255,255,255,255,255,255,56,255,0xffff,0xffffffff
0x39,0xffff,0xffff,255,255,255,255,255,255,255,255,57,255,0xffff,0xffffffff
0x3a,0xffff,0xffff,255,255,255,255,255,255,255,255,58,255,0xffff,0xffffffff
0x3b,0xffff,0xffff,255,255,255,255,255,255,255,255,59,255,0xffff,0xffffffff
0x3c,0xffff,0xffff,255,255,255,255,255,255,255,255,60,255,0xffff,0xffffffff
0x3d,0xffff,0xffff,255,255,255,255,255,255,255,255,61,255,0xffff,0xffffffff
0x3e,0xffff,0xffff,255,255,255,255,255,255,255,255,62,255,0xffff,0xffffffff
0x3f,0xffff,0xffff,255,255,255,255,255,255,255,255,63,255,0xffff,0xffffffff
0x40,0xffff,0xffff,255,255,255,255,255,255,255,255,64,255,0xffff,0xffffffff
0x41,0xffff,0xffff,255,255,255,255,255,255,255,255,65,255,0xffff,0xffffffff
0x42,0xffff,0xffff,255,255,255,255,255,255,255,255,66,255,0xffff,0xffffffff
0x43,0xffff,0xffff,255,255,255,255,255,255,255,255,67,255,0xffff,0xffffffff
0x44,0xffff,0xffff,255,255,255,255,255,255,255,255,68,255,0xffff,0xffffffff
0x45,0xffff,0xffff,255,255,255,255,255,255,255,255,69,255,0xffff,0xffffffff
0x46,0xffff,0xffff,255,255,255,255,255,255,255,255,70,255,0xffff,0xffffffff
0x47,0xffff,0xffff,255,255,255,255,255,255,255,255,71,255,0xffff,0xffffffff
0x48,0xffff,0xffff,255,255,255,255,255,255,255,255,72,255,0xffff,0xffffffff
0x49,0xffff,0xffff,255,255,255,255,255,255,255,255,73,255,0xffff,0xffffffff
0x4a,0xffff,0xffff,255,255,255,255,255,255,255,255,74,255,0xffff,0xffffffff
0x4b,0xffff,0xffff,255,255,255,255,255,255,255,255,75,255,0xffff,0xffffffff
0x4c,0xffff,0xffff,255,255,255,255,255,255,255,255,76,255,0xffff,0xffffffff
0x4d,0xffff,0xffff,255,255,255,255,255,255,255,255,77,255,0xffff,0xffffffff
0x4e,0xffff,0xffff,255,255,255,255,255,255,255,255,78,255,0xffff,0xffffffff
0x4f,0xffff,0xffff,255,255,255,255,255,255,255,255,79,255,0xffff,0xffffffff
0x50,0xffff,0xffff,255,255,255,255,255,255,255,255,80,255,0xffff,0xffffffff
0x51,0xffff,0xffff,255,255,255,255,255,255,255,255,81,255,0xffff,0xffffffff
0x52,0xffff,0xffff,255,255,255,255,255,255,255,255,82,255,0xffff,0xffffffff
0x53,0xffff,0xffff,255,255,255,255,255,255,255,255,83,255,0xffff,0xffffffff
0x54,0xffff,0xffff,255,255,255,255,255,255,255,255,84,255,0xffff,0xffffffff
0x55,0xffff,0xffff,255,255,255,255,255,255,255,255,85,255,0xffff,0xffffffff
0x56,0xffff,0xffff,255,255,255,255,255,255,255,255,86,255,0xffff,0xffffffff
0x57,0xffff,0xffff,255,255,255,255,255,255,255,255,87,255,0xffff,0xffffffff
0x58,0xffff,0xffff,255,255,255,255,255,255,255,255,88,255,0xffff,0xffffffff
0x59,0xffff,0xffff,255,255,255,255,255,255,255,255,89,255,0xffff,0xffffffff
0x5a,0xffff,0xffff,255,255,255,255,255,255,255,255,90,255,0xffff,0xffffffff
0x5b,0xffff,0xffff,255,255,255,255,255,255,255,255,91,255,0xffff,0xffffffff
0x5c,0xffff,0xffff,255,255,255,255,255,255,255,255,92,255,0xffff,0xffffffff
0x5d,0xffff,0xffff,255,255,255,255,255,255,255,255,93,255,0xffff,0xffffffff
0x5e,0xffff,0xffff,255,255,255,255,255,255,255,255,94,255,0xffff,0xffffffff
0x5f,0xffff,0xffff,255,255,255,255,255,255,255,255,95,255,0xffff,0xffffffff
0x60,0xffff,0xffff,255,255,255,255,255,255,255,255,96,255,0xffff,0xffffffff
0x61,0xffff,0xffff,255,255,255,255,255,255,255,255,97,255,0xffff,0xffffffff
0x62,0xffff,0xffff,255,255,255,255,255,255,255,255,98,255,0xffff,0xffffffff
0x63,0xffff,0xffff,255,255,255,255,255,255,255,255,99,255,0xffff,0xffffffff
0x64,0xffff,0xffff,255,255,255,255,255,255,255,255,100,255,0xffff,0xffffffff
0x65,0xffff,0xffff,255,255,255,255,255,255,255,255,101,255,0xffff,0xffffffff
0x66,0xffff,0xffff,255,255,255,255,255,255,255,255,102,255,0xffff,0xffffffff
0x67,0xffff,0xffff,255,255,255,255,255,255,255,255,103,255,0xffff,0xffffffff
0x68,0xffff,0xffff,255,255,255,255,255,255,255,255,104,255,0xffff,0xffffffff
0x69,0xffff,0xffff,255,255,255,255,255,255,255,255,105,255,0xffff,0xffffffff
0x6a,0xffff,0xffff,255,255,255,255,255,255,255,255,106,255,0xffff,0xffffffff
0x6b,0xffff,0xffff,255,255,255,255,255,255,255,255,107,255,0xffff,0xffffffff
0x6c,0xffff,0xffff,255,255,255,255,255,255,255,255,108,255,0xffff,0xffffffff
0x6d,0xffff,0xffff,255,255,255,255,255,255,255,255,109,255,0xffff,0xffffffff
0x6e,0xffff,0xffff,255,255,255,255,255,255,255,255,110,255,0xffff,0xffffffff
0x6f,0xffff,0xffff,255,255,255,255,255,255,255,255,111,255,0xffff,0xffffffff
0x70,0xffff,0xffff,255,255,255,255,255,255,255,255,112,255,0xffff,0xffffffff
0x71,0xffff,0xffff,255,255,255,255,255,255,255,255,113,255,0xffff,0xffffffff
0x72,0xffff,0xffff,255,255,255,255,255,255,255,255,114,255,0xffff,0xffffffff
0x73,0xffff,0xffff,255,255,255,255,255,255,255,255,115,255,0xffff,0xffffffff
0x74,0xffff,0xffff,255,255,255,255,255,255,255,255,116,255,0xffff,0xffffffff
0x75,0xffff,0xffff,255,255,255,255,255,255,255,255,117,255,0xffff,0xffffffff
0x76,0xffff,0xffff,255,255,255,255,255,255,255,255,118,255,0xffff,0xffffffff
0x77,0xffff,0xffff,255,255,255,255,255,255,255,255,119,255,0xffff,0xffffffff
0x78,0xffff,0xffff,255,255,255,255,255,255,255,255,120,255,0xffff,0xffffffff
0x79,0xffff,0xffff,255,255,255,255,255,255,255,255,121,255,0xffff,0xffffffff
0x7a,0xffff,0xffff,255,255,255,255,255,255,255,255,122,255,0xffff,0xffffffff
0x7b,0xffff,0xffff,255,255,255,255,255,255,255,255,123,255,0xffff,0xffffffff
0x7c,0xffff,0xffff,255,255,255,255,255,255,255,255,124,255,0xffff,0xffffffff
0x7d,0xffff,0xffff,255,255,255,255,255,255,255,255,125,255,0xffff,0xffffffff
0x7e,0xffff,0xffff,255,255,255,255,255,255,255,255,126,255,0xffff,0xffffffff
