"0x28e8c","Item Target Pointer"
"0xBA Black Gem","0x4a034902"
"0xBB Gold Gem","0xf0001c28"
"0xBC DUST VIAL","0xe006faab"
"0xBD -","0x80265e5"
"0xBE -","0x87f"
"0xBF -","0xf0001c28"
"0xC0 -","0xbc30fa71"
"0xC1 -","0x4700bc01"
"0xC2 -","0xf0a8b500"
"0xC3 -","0xf026fc2b"
"0xC4 -","0x2800fe5b"
"0xC5 -","0x2001d000"
"0xC6 -","0x4708bc02"
"0xC7 -","0x1c04b530"
"0xC8 -","0xf866f7f0"
"0xC9 -","0x1c201c05"
"0xCA -","0xf882f7f0"
"0xCB -","0xd0014285"
"0xCC -","0xe0002001"
"0xCD -","0xbc302000"
"0xCE -","0x4708bc02"
"0xCF -","0x47702000"
"0xD0 -","0x3031b500"
"0xD1 -","0x20f07801"
"0xD2 -","0x28704008"
"0xD3 -","0x2001d001"
"0xD4 -","0x2000e000"
"0xD5 -","0x4708bc02"
"0xD6 -","0x1c01b500"
"0xD7 -","0x7b404806"
"0xD8 -","0xd00b2800"
"0xD9 -","0x30311c08"
"0xDA -","0x200f7801"
"0xDB -","0x28044008"
"0xDC -","0x2001d004"
"0xDD -","0xe003"
"0xDE -","0x202bcf0"
"0xDF -","0xbc022000"
"0xE0 -","0x4708"
"0xE1 -","0x3030b500"
"0xE2 -","0x200f7801"
"0xE3 -","0x28014008"
"0xE4 -","0x2001d101"
"0xE5 -","0x2000e000"
"0xE6 -","0x4708bc02"
"0xE7 -","0x2311b500"
"0xE8 -","0x490a56c3"
"0xE9 -","0x99680a"
"0xEA -","0x22101889"
"0xEB -","0x68085682"
"0xEC -","0x78001880"
"0xED -","0xd10b2821"
"0xEE -","0x1c191c10"
"0xEF -","0xf846f05a"
"0xF0 -","0x28000600"
"0xF1 -","0x2001d004"
"0xF2 -","0xe003"
"0xF3 -","0x202e4dc"
"0xF4 -","0xbc022000"
"0xF5 -","0x4708"
"0xF6 -","0x211eb500"
"0xF7 -","0xfb6af7fc"
"0xF8 -","0xfdf2f026"
"0xF9 -","0x16000600"
"0xFA -","0x4708bc02"
"0xFB -","0x2114b500"
"0xFC -","0xfb60f7fc"
"0xFD -","0xfde8f026"
"0xFE -","0x16000600"
"0xFF -","0x4708bc02"
