"0x288b0","Item Usability Pointer"
"0xCB -","0xfadaf000"
"0xCC -","0xe0a3"
"0xCD -","0x8025eb1"
"0xCE -","0x1c204902"
"0xCF -","0xfad2f000"
"0xD0 -","0xe09b"
"0xD1 -","0x8025fe9"
"0xD2 -","0x1c204902"
"0xD3 -","0xfacaf000"
"0xD4 -","0xe093"
"0xD5 -","0x80260d9"
"0xD6 -","0x1c204902"
"0xD7 -","0xfac2f000"
"0xD8 -","0xe08b"
"0xD9 -","0x802606d"
"0xDA -","0x1c204902"
"0xDB -","0xfabaf000"
"0xDC -","0xe083"
"0xDD -","0x80261e5"
"0xDE -","0x1c204902"
"0xDF -","0xfab2f000"
"0xE0 -","0xe07b"
"0xE1 -","0x802620d"
"0xE2 -","0x1c204902"
"0xE3 -","0xfaaaf000"
"0xE4 -","0xe073"
"0xE5 -","0x8026235"
"0xE6 -","0x1c204902"
"0xE7 -","0xfaa2f000"
"0xE8 -","0xe06b"
"0xE9 -","0x8026295"
"0xEA -","0x1c204902"
"0xEB -","0xfa9af000"
"0xEC -","0xe063"
"0xED -","0x8026355"
"0xEE -","0x1c204902"
"0xEF -","0xfa92f000"
"0xF0 -","0xe05b"
"0xF1 -","0x80262c9"
"0xF2 -","0x1c291c20"
"0xF3 -","0xfc5cf000"
"0xF4 -","0x1c20e053"
"0xF5 -","0xf0001c29"
"0xF6 -","0xe04efb25"
"0xF7 -","0xf0001c20"
"0xF8 -","0xe04afa8b"
"0xF9 -","0xf0001c20"
"0xFA -","0xe046fa99"
"0xFB -","0xf0001c20"
"0xFC -","0xe042faa1"
"0xFD -","0xf0001c20"
"0xFE -","0xe03efab3"
"0xFF -","0xf0001c20"
