"INLINE HolyBloodTable","Name ID","Desc ID","HP Growth Modifier","Strength Growth Modifier","Skill Growth Modifier","Speed Growth Modifier","Defense Growth Modifier","Resistance Growth Modifier","Luck Growth Modifier","Magic Growth Modifier","Weapon Type","Can Dragon Vein","##UNKNOWN##","Exclusive Weapons List Pointer"
"0x4e","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x4f","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x50","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x51","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x52","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x53","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x54","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x55","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x56","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x57","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x58","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x59","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x5a","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x5b","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x5c","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x5d","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x5e","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x5f","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x60","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x61","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x62","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x63","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x64","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x65","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x66","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x67","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x68","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x69","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x6a","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x6b","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x6c","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x6d","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x6e","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x6f","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x70","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x71","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x72","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x73","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x74","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x75","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x76","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x77","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x78","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x79","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x7a","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x7b","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x7c","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x7d","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x7e","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
