INLINE NewStandingMapSpriteTable,Unknown,##UNKNOWN##,Size,##UNKNOWN##,Poiner to graphics
Hellbone,0x3,0x0,0x2,0x0,m71Standing|IsPointer
Hellbone (Bow),0x3,0x0,0x2,0x0,m72Standing|IsPointer
Bael,0x3,0x0,0x2,0x0,m73Standing|IsPointer
Elder Bael,0x3,0x0,0x2,0x0,m74Standing|IsPointer
Cyclops,0x3,0x0,0x2,0x0,m75Standing|IsPointer
Mauthedoog,0x3,0x0,0x2,0x0,m76Standing|IsPointer
Cerberus,0x3,0x0,0x2,0x0,m77Standing|IsPointer
Tarvos,0x3,0x0,0x2,0x0,m78Standing|IsPointer
Macdaire,0x3,0x0,0x2,0x0,m79Standing|IsPointer
Bigl,0x3,0x0,0x2,0x0,m80Standing|IsPointer
Archbigl,0x3,0x0,0x2,0x0,m81Standing|IsPointer
Gorgon,0x3,0x0,0x2,0x0,m82Standing|IsPointer
Gorgon Egg,0x3,0x0,0x2,0x0,m83Standing|IsPointer
Gargoyle,0x3,0x0,0x2,0x0,m84Standing|IsPointer
Death Gargoyle,0x3,0x0,0x2,0x0,m85Standing|IsPointer
Dragon Zombie,0x3,0x0,0x2,0x0,m86Standing|IsPointer
Demon King,0x3,0x0,0x2,0x0,m87Standing|IsPointer
Archer on Ballista,0x3,0x0,0x2,0x0,m88Standing|IsPointer
Archer on Iron Ballista,0x3,0x0,0x2,0x0,m89Standing|IsPointer
Archer on Killer Ballista,0x3,0x0,0x2,0x0,m90Standing|IsPointer
Ballista,0x3,0x0,0x2,0x0,m91Standing|IsPointer
Iron Ballista,0x3,0x0,0x2,0x0,m92Standing|IsPointer
Killer Ballista,0x3,0x0,0x2,0x0,m93Standing|IsPointer
Civilian,0x3,0x0,0x2,0x0,m94Standing|IsPointer
Civilian (F),0x3,0x0,0x2,0x0,m95Standing|IsPointer
Civilian,0x3,0x0,0x2,0x0,m96Standing|IsPointer
Civilian (F),0x3,0x0,0x2,0x0,m97Standing|IsPointer
Peer,0x3,0x0,0x2,0x0,m98Standing|IsPointer
Queen,0x3,0x0,0x2,0x0,m99Standing|IsPointer
Prince,0x3,0x0,0x2,0x0,m100Standing|IsPointer
Queen,0x3,0x0,0x2,0x0,m101Standing|IsPointer
(empty),0x3,0x0,0x2,0x0,m102Standing|IsPointer
Fallen Prince,0x3,0x0,0x2,0x0,m103Standing|IsPointer
Tent,0x3,0x0,0x2,0x0,m104Standing|IsPointer
Pontifex,0x3,0x0,0x2,0x0,m105Standing|IsPointer
Dead Peer,0x3,0x0,0x2,0x0,m106Standing|IsPointer
AxeCavalier 0x6b,0x3,0x0,0x2,0x0,m107Standing|IsPointer
SwordCavalier 0x6c,0x3,0x0,0x2,0x0,m108Standing|IsPointer
AxeArmor 0x6d,0x3,0x0,0x2,0x0,m109Standing|IsPointer
SwordArmor 0x6e,0x3,0x0,0x2,0x0,m110Standing|IsPointer
BowCavalier 0x6f,0x3,0x0,0x2,0x0,m111Standing|IsPointer
Convoy 0x70,0x3,0x0,0x2,0x0,m112Standing|IsPointer
PirateF 0x71,0x3,0x0,0x2,0x0,m113Standing|IsPointer
Huntress 0x72,0x3,0x0,0x2,0x0,m114Standing|IsPointer
Brawler 0x73,0x3,0x0,0x2,0x0,m115Standing|IsPointer
Druid_F  0x74,0x3,0x0,0x2,0x0,m116Standing|IsPointer
Axe WyvernRider 0x75,0x3,0x0,0x2,0x0,m117Standing|IsPointer
Marshall 0x76,0x3,0x0,0x2,0x0,m118Standing|IsPointer
ErucaLord 0x77,0x3,0x0,0x2,0x0,m119Standing|IsPointer
Deserter 0x78,0x3,0x0,0x2,0x0,m120Standing|IsPointer
ThiefF 0x79,0x3,0x0,0x2,0x0,m121Standing|IsPointer
Sigil 0x7a,0x3,0x0,0x2,0x0,m122Standing|IsPointer
Black Stone 0x7b,0x3,0x0,0x2,0x0,m123Standing|IsPointer
Balistician 0x7c,0x3,0x0,0x2,0x0,m124Standing|IsPointer
Halbardier 0x7d,0x3,0x0,0x2,0x0,m125Standing|IsPointer
Berserker (F)  0x7e,0x3,0x0,0x2,0x0,m126Standing|IsPointer
0x7f,0x3,0x0,0x2,0x0,m127Standing|IsPointer
0x80,0x3,0x0,0x2,0x0,m128Standing|IsPointer
0x81,0x3,0x0,0x2,0x0,m129Standing|IsPointer
0x82,0x3,0x0,0x2,0x0,m130Standing|IsPointer
0x83,0x3,0x0,0x2,0x0,m131Standing|IsPointer
0x84,0x3,0x0,0x2,0x0,m132Standing|IsPointer
0x85,0x3,0x0,0x2,0x0,m133Standing|IsPointer
0x86,0x3,0x0,0x2,0x0,m134Standing|IsPointer
0x87,0x3,0x0,0x2,0x0,m135Standing|IsPointer
0x88,0x3,0x0,0x2,0x0,m136Standing|IsPointer
0x89,0x3,0x0,0x2,0x0,m137Standing|IsPointer
0x8a,0x3,0x0,0x2,0x0,m138Standing|IsPointer
0x8b,0x3,0x0,0x2,0x0,m139Standing|IsPointer
0x8c,0x3,0x0,0x2,0x0,m140Standing|IsPointer
0x8d,0x3,0x0,0x2,0x0,m141Standing|IsPointer
0x8e,0x3,0x0,0x2,0x0,m142Standing|IsPointer
0x8f,0x3,0x0,0x2,0x0,m143Standing|IsPointer
0x90,0x3,0x0,0x2,0x0,m144Standing|IsPointer
0x91,0x3,0x0,0x2,0x0,m145Standing|IsPointer
0x92,0x3,0x0,0x2,0x0,m146Standing|IsPointer
0x93,0x3,0x0,0x2,0x0,m147Standing|IsPointer
0x94,0x3,0x0,0x2,0x0,m148Standing|IsPointer
0x95,0x3,0x0,0x2,0x0,m149Standing|IsPointer
0x96,0x3,0x0,0x2,0x0,m150Standing|IsPointer
0x97,0x3,0x0,0x2,0x0,m151Standing|IsPointer
0x98,0x3,0x0,0x2,0x0,0x0
0x99,0x3,0x0,0x2,0x0,0x0
0x9a,0x3,0x0,0x2,0x0,0x0
0x9b,0x3,0x0,0x2,0x0,0x0
0x9c,0x3,0x0,0x2,0x0,0x0
0x9d,0x3,0x0,0x2,0x0,0x0
0x9e,0x3,0x0,0x2,0x0,0x0
0x9f,0x3,0x0,0x2,0x0,0x0
0xa0,0x3,0x0,0x2,0x0,0x0
0xa1,0x3,0x0,0x2,0x0,0x0
0xa2,0x3,0x0,0x2,0x0,0x0
0xa3,0x3,0x0,0x2,0x0,0x0
0xa4,0x3,0x0,0x2,0x0,0x0
0xa5,0x3,0x0,0x2,0x0,0x0
0xa6,0x3,0x0,0x2,0x0,0x0
0xa7,0x3,0x0,0x2,0x0,0x0
0xa8,0x3,0x0,0x2,0x0,0x0
0xa9,0x3,0x0,0x2,0x0,0x0
0xaa,0x3,0x0,0x2,0x0,0x0
0xab,0x3,0x0,0x2,0x0,0x0
0xac,0x3,0x0,0x2,0x0,0x0
0xad,0x3,0x0,0x2,0x0,0x0
0xae,0x3,0x0,0x2,0x0,0x0
0xaf,0x3,0x0,0x2,0x0,0x0
0xb0,0x3,0x0,0x2,0x0,0x0
0xb1,0x3,0x0,0x2,0x0,0x0
0xb2,0x3,0x0,0x2,0x0,0x0
0xb3,0x3,0x0,0x2,0x0,0x0
0xb4,0x3,0x0,0x2,0x0,0x0
0xb5,0x3,0x0,0x2,0x0,0x0
0xb6,0x3,0x0,0x2,0x0,0x0
0xb7,0x3,0x0,0x2,0x0,0x0
0xb8,0x3,0x0,0x2,0x0,0x0
0xb9,0x3,0x0,0x2,0x0,0x0
0xba,0x3,0x0,0x2,0x0,0x0
0xbb,0x3,0x0,0x2,0x0,0x0
0xbc,0x3,0x0,0x2,0x0,0x0
0xbd,0x3,0x0,0x2,0x0,0x0
0xbe,0x3,0x0,0x2,0x0,0x0
0xbf,0x3,0x0,0x2,0x0,0x0
0xc0,0x3,0x0,0x2,0x0,0x0
0xc1,0x3,0x0,0x2,0x0,0x0
0xc2,0x3,0x0,0x2,0x0,0x0
0xc3,0x3,0x0,0x2,0x0,0x0
0xc4,0x3,0x0,0x2,0x0,0x0
0xc5,0x3,0x0,0x2,0x0,0x0
0xc6,0x3,0x0,0x2,0x0,0x0
0xc7,0x3,0x0,0x2,0x0,0x0
0xc8,0x3,0x0,0x2,0x0,0x0
0xc9,0x3,0x0,0x2,0x0,0x0
0xca,0x3,0x0,0x2,0x0,0x0
0xcb,0x3,0x0,0x2,0x0,0x0
0xcc,0x3,0x0,0x2,0x0,0x0
0xcd,0x3,0x0,0x2,0x0,0x0
0xce,0x3,0x0,0x2,0x0,0x0
0xcf,0x3,0x0,0x2,0x0,0x0
0xd0,0x3,0x0,0x2,0x0,0x0
0xd1,0x3,0x0,0x2,0x0,0x0
0xd2,0x3,0x0,0x2,0x0,0x0
0xd3,0x3,0x0,0x2,0x0,0x0
0xd4,0x3,0x0,0x2,0x0,0x0
0xd5,0x3,0x0,0x2,0x0,0x0
0xd6,0x3,0x0,0x2,0x0,0x0
0xd7,0x3,0x0,0x2,0x0,0x0
0xd8,0x3,0x0,0x2,0x0,0x0
0xd9,0x3,0x0,0x2,0x0,0x0
0xda,0x3,0x0,0x2,0x0,0x0
0xdb,0x3,0x0,0x2,0x0,0x0
0xdc,0x3,0x0,0x2,0x0,0x0
0xdd,0x3,0x0,0x2,0x0,0x0
0xde,0x3,0x0,0x2,0x0,0x0
0xdf,0x3,0x0,0x2,0x0,0x0
0xe0,0x3,0x0,0x2,0x0,0x0
0xe1,0x3,0x0,0x2,0x0,0x0
0xe2,0x3,0x0,0x2,0x0,0x0
0xe3,0x3,0x0,0x2,0x0,0x0
0xe4,0x3,0x0,0x2,0x0,0x0
0xe5,0x3,0x0,0x2,0x0,0x0
0xe6,0x3,0x0,0x2,0x0,0x0
0xe7,0x3,0x0,0x2,0x0,0x0
0xe8,0x3,0x0,0x2,0x0,0x0
0xe9,0x3,0x0,0x2,0x0,0x0
0xea,0x3,0x0,0x2,0x0,0x0
0xeb,0x3,0x0,0x2,0x0,0x0
0xec,0x3,0x0,0x2,0x0,0x0
0xed,0x3,0x0,0x2,0x0,0x0
0xee,0x3,0x0,0x2,0x0,0x0
0xef,0x3,0x0,0x2,0x0,0x0
0xf0,0x3,0x0,0x2,0x0,0x0
0xf1,0x3,0x0,0x2,0x0,0x0
0xf2,0x3,0x0,0x2,0x0,0x0
0xf3,0x3,0x0,0x2,0x0,0x0
0xf4,0x3,0x0,0x2,0x0,0x0
0xf5,0x3,0x0,0x2,0x0,0x0
0xf6,0x3,0x0,0x2,0x0,0x0
0xf7,0x3,0x0,0x2,0x0,0x0
0xf8,0x3,0x0,0x2,0x0,0x0
0xf9,0x3,0x0,0x2,0x0,0x0
0xfa,0x3,0x0,0x2,0x0,0x0
0xfb,0x3,0x0,0x2,0x0,0x0
0xfc,0x3,0x0,0x2,0x0,0x0
0xfd,0x3,0x0,0x2,0x0,0x0
0xfe,0x3,0x0,0x2,0x0,0x0
