INLINE NewMovingMapSpriteTable,Animation pointer,Another pointer
Marshall,r138Moving|IsPointer,0x81fd028
Eruca 0x8b,r139Moving|IsPointer,0x81fd028
Deserter 0x8c,r140Moving|IsPointer,0x81fd028
Thief (F) 0x8d,r141Moving|IsPointer,0x81fd028
Black Stone Class 0x8e,r142Moving|IsPointer,0x81fd028
Balistician 0x8f,r143Moving|IsPointer,0x81fd028
Halbardier 0x90,r144Moving|IsPointer,0x81fd028
Berserker (F) 0x91,r145Moving|IsPointer,0x81fd028
0x92,r146Moving|IsPointer,0x81fd028
0x93,r147Moving|IsPointer,0x81fd028
0x94,r148Moving|IsPointer,0x81fd028
0x95,r149Moving|IsPointer,0x81fd028
0x96,r150Moving|IsPointer,0x81fd028
0x97,r151Moving|IsPointer,0x81fd028
0x98,0x0,0x81fd028
0x99,0x0,0x81fd028
0x9a,0x0,0x81fd028
0x9b,0x0,0x81fd028
0x9c,0x0,0x81fd028
0x9d,0x0,0x81fd028
0x9e,0x0,0x81fd028
0x9f,0x0,0x81fd028
0xa0,0x0,0x81fd028
0xa1,0x0,0x81fd028
0xa2,0x0,0x81fd028
0xa3,0x0,0x81fd028
0xa4,0x0,0x81fd028
0xa5,0x0,0x81fd028
0xa6,0x0,0x81fd028
0xa7,0x0,0x81fd028
0xa8,0x0,0x81fd028
0xa9,0x0,0x81fd028
0xaa,0x0,0x81fd028
0xab,0x0,0x81fd028
0xac,0x0,0x81fd028
0xad,0x0,0x81fd028
0xae,0x0,0x81fd028
0xaf,0x0,0x81fd028
0xb0,0x0,0x81fd028
0xb1,0x0,0x81fd028
0xb2,0x0,0x81fd028
0xb3,0x0,0x81fd028
0xb4,0x0,0x81fd028
0xb5,0x0,0x81fd028
0xb6,0x0,0x81fd028
0xb7,0x0,0x81fd028
0xb8,0x0,0x81fd028
0xb9,0x0,0x81fd028
0xba,0x0,0x81fd028
0xbb,0x0,0x81fd028
0xbc,0x0,0x81fd028
0xbd,0x0,0x81fd028
0xbe,0x0,0x81fd028
0xbf,0x0,0x81fd028
0xc0,0x0,0x81fd028
0xc1,0x0,0x81fd028
0xc2,0x0,0x81fd028
0xc3,0x0,0x81fd028
0xc4,0x0,0x81fd028
0xc5,0x0,0x81fd028
0xc6,0x0,0x81fd028
0xc7,0x0,0x81fd028
0xc8,0x0,0x81fd028
0xc9,0x0,0x81fd028
0xca,0x0,0x81fd028
0xcb,0x0,0x81fd028
0xcc,0x0,0x81fd028
0xcd,0x0,0x81fd028
0xce,0x0,0x81fd028
0xcf,0x0,0x81fd028
0xd0,0x0,0x81fd028
0xd1,0x0,0x81fd028
0xd2,0x0,0x81fd028
0xd3,0x0,0x81fd028
0xd4,0x0,0x81fd028
0xd5,0x0,0x81fd028
0xd6,0x0,0x81fd028
0xd7,0x0,0x81fd028
0xd8,0x0,0x81fd028
0xd9,0x0,0x81fd028
0xda,0x0,0x81fd028
0xdb,0x0,0x81fd028
0xdc,0x0,0x81fd028
0xdd,0x0,0x81fd028
0xde,0x0,0x81fd028
0xdf,0x0,0x81fd028
0xe0,0x0,0x81fd028
0xe1,0x0,0x81fd028
0xe2,0x0,0x81fd028
0xe3,0x0,0x81fd028
0xe4,0x0,0x81fd028
0xe5,0x0,0x81fd028
0xe6,0x0,0x81fd028
0xe7,0x0,0x81fd028
0xe8,0x0,0x81fd028
0xe9,0x0,0x81fd028
0xea,0x0,0x81fd028
0xeb,0x0,0x81fd028
0xec,0x0,0x81fd028
0xed,0x0,0x81fd028
0xee,0x0,0x81fd028
0xef,0x0,0x81fd028
0xf0,0x0,0x81fd028
0xf1,0x0,0x81fd028
0xf2,0x0,0x81fd028
0xf3,0x0,0x81fd028
0xf4,0x0,0x81fd028
0xf5,0x0,0x81fd028
0xf6,0x0,0x81fd028
0xf7,0x0,0x81fd028
0xf8,0x0,0x81fd028
0xf9,0x0,0x81fd028
0xfa,0x0,0x81fd028
0xfb,0x0,0x81fd028
0xfc,0x0,0x81fd028
0xfd,0x0,0x81fd028
0xfe,0x0,0x81fd028
