INLINE SkillDescTable,Text ID
0x91,SD_Trace
0x92,SD_RandomMug
0x93,SD_IdentityProblems
0x94,SD_Charisma
0x95,SD_HeroesDeathBlow
0x96,SD_HeroesLifeAndDeath
0x97,0x0
0x98,0x0
0x99,0x0
0x9a,0x0
0x9b,0x0
0x9c,0x0
0x9d,0x0
0x9e,0x0
0x9f,0x0
0xa0,0x0
0xa1,0x0
0xa2,0x0
0xa3,0x0
0xa4,0x0
0xa5,0x0
0xa6,0x0
0xa7,0x0
0xa8,0x0
0xa9,0x0
0xaa,0x0
0xab,0x0
0xac,0x0
0xad,0x0
0xae,0x0
0xaf,0x0
0xb0,0x0
0xb1,0x0
0xb2,0x0
0xb3,0x0
0xb4,0x0
0xb5,0x0
0xb6,0x0
0xb7,0x0
0xb8,0x0
0xb9,0x0
0xba,0x0
0xbb,0x0
0xbc,0x0
0xbd,0x0
0xbe,0x0
0xbf,0x0
0xc0,0x0
0xc1,0x0
0xc2,0x0
0xc3,0x0
0xc4,0x0
0xc5,0x0
0xc6,0x0
0xc7,0x0
0xc8,0x0
0xc9,0x0
0xca,0x0
0xcb,0x0
0xcc,0x0
0xcd,0x0
0xce,0x0
0xcf,0x0
0xd0,0x0
0xd1,0x0
0xd2,0x0
0xd3,0x0
0xd4,0x0
0xd5,0x0
0xd6,0x0
0xd7,0x0
0xd8,0x0
0xd9,0x0
0xda,0x0
0xdb,0x0
0xdc,0x0
0xdd,0x0
0xde,0x0
0xdf,0x0
0xe0,0x0
0xe1,0x0
0xe2,0x0
0xe3,0x0
0xe4,0x0
0xe5,0x0
0xe6,0x0
0xe7,0x0
0xe8,0x0
0xe9,0x0
0xea,0x0
0xeb,0x0
0xec,0x0
0xed,0x0
0xee,0x0
0xef,0x0
0xf0,0x0
0xf1,0x0
0xf2,0x0
0xf3,0x0
0xf4,0x0
0xf5,0x0
0xf6,0x0
0xf7,0x0
0xf8,0x0
0xf9,0x0
0xfa,0x0
0xfb,0x0
0xfc,0x0
0xfd,0x0
0xfe,0x0
0xff,0x0
