0x803D64	Name	Details	ID	Support Class	Portrait	Map Portrait	B9	Unit Sort Order	LV	HP	POW	SKL	SPD	DEF	RES	LUK	CON	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	HP	POW	SKL	SPD	DEF	RES	LUK	??	??	??	??	??	Ability 1	Ability 2	Ability 3	Ability 4	Support Data	Conversation Group	??	??	??
19 L'Arachel	0x022A	0x0286	0x19	0x4B	0x22	0x00	0x06	0x1B	0x03	0x03	0x05	0x05	0x07	0x03	0x03	0x0C	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x2D	0x32	0x2D	0x2D	0x0F	0x32	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AEDEC	0x0B	0x00	0x00	0x00
1A Dozla	0x022B	0x0287	0x1A	0x43	0x23	0x00	0x02	0x1C	0x01	0x13	0x09	0x05	0x02	0x05	0x06	0x04	0x03	0x00	0x00	0x79	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x23	0x28	0x1E	0x19	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEE04	0x04	0x00	0x00	0x00
1B Enemy	0x0267	0x00	0x1B	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
1C Rennac	0x022D	0x0288	0x1C	0x33	0x24	0x00	0x05	0x1D	0x01	0x0C	0x07	0x0F	0x08	0x07	0x0B	0x05	0x00	0x79	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x41	0x19	0x2D	0x3C	0x19	0x1E	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEE4C	0x00	0x00	0x00	0x00
1D Duessel	0x022E	0x0289	0x1D	0x35	0x25	0x00	0x07	0x1E	0x08	0x14	0x09	0x08	0x06	0x06	0x06	0x08	0x02	0xB5	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x55	0x37	0x28	0x1E	0x2D	0x1E	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEE64	0x04	0x00	0x00	0x00
1E Myrrh	0x022F	0x028A	0x1E	0x3C	0x26	0x00	0x03	0x22	0x01	0x03	0x03	0x01	0x03	0x00	0x05	0x03	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x82	0x5A	0x55	0x41	0x96	0x1E	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AEE7C	0x0C	0x00	0x00	0x00
1F Knoll	0x0230	0x028B	0x1F	0x2D	0x29	0x00	0x05	0x20	0x09	0x05	0x0A	0x08	0x06	0x00	0x06	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x46	0x32	0x28	0x23	0x0A	0x2D	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEE94	0x03	0x00	0x00	0x00
20 Joshua	0x0231	0x028C	0x20	0x13	0x2A	0x00	0x03	0x11	0x05	0x08	0x04	0x04	0x05	0x03	0x02	0x07	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x50	0x23	0x37	0x37	0x14	0x14	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AECFC	0x03	0x00	0x00	0x00
21 Syrene	0x0232	0x028D	0x21	0x49	0x2B	0x00	0x02	0x23	0x01	0x07	0x06	0x06	0x08	0x05	0x08	0x0C	0x01	0x47	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x46	0x28	0x32	0x3C	0x14	0x32	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x20	0x00	0x8AEEAC	0x0A	0x00	0x00	0x00
22 Tana	0x0233	0x028E	0x22	0x48	0x2C	0x00	0x03	0x12	0x04	0x06	0x03	0x04	0x08	0x03	0x05	0x08	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x41	0x2D	0x28	0x41	0x14	0x19	0x3C	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x20	0x00	0x8AED44	0x0A	0x00	0x00	0x00
23 Lyon	0x0234	0x028F	0x23	0x4F	0x46	0x00	0x04	0x24	0x0E	0x1A	0x0D	0x09	0x06	0x0E	0x0B	0x04	0x00	0x00	0x00	0x00	0x00	0xB5	0x00	0x00	0xFB	0x55	0x32	0x37	0x37	0x2D	0x37	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
24 Orson	0x0236	0x0291	0x24	0x07	0x45	0x00	0x05	0x28	0x0D	0x19	0x0B	0x0B	0x07	0x06	0x08	0x06	0x01	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x50	0x37	0x2D	0x28	0x2D	0x1E	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
25 Glen	0x024A	0x02A4	0x25	0x21	0x4B	0x00	0x03	0x27	0x0C	0x15	0x0B	0x0C	0x06	0x08	0x04	0x07	0x01	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x2D	0x32	0x2D	0x23	0x28	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
26 Selena	0x0238	0x0293	0x26	0x2A	0x3F	0x00	0x02	0x26	0x0B	0x13	0x0A	0x08	0x0A	0x08	0x0B	0x0A	0x00	0x00	0x00	0x00	0x00	0x79	0xB5	0x00	0x00	0x55	0x28	0x37	0x28	0x14	0x1E	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x00	0x00	0x00	0x00	0x00
27 Valter	0x0237	0x0292	0x27	0x23	0x42	0x00	0x04	0x29	0x0D	0x19	0x0C	0x0A	0x09	0x06	0x0B	0x03	0x01	0x00	0xFB	0x00	0x00	0x00	0x00	0x00	0x00	0x50	0x28	0x37	0x32	0x14	0x14	0x0F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
28 Riev	0x0246	0x02A0	0x28	0x2B	0x48	0x00	0x05	0x2B	0x10	0x1C	0x0A	0x11	0x0F	0x0D	0x0A	0x09	0x00	0x00	0x00	0x00	0x00	0xB5	0x00	0xFB	0x00	0x4B	0x2D	0x32	0x28	0x14	0x2D	0x0F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
29 Caellach	0x0244	0x029F	0x29	0x11	0x43	0x00	0x02	0x2A	0x0C	0x19	0x0D	0x05	0x03	0x07	0x0B	0x0E	0x02	0xB5	0x00	0xB5	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x2D	0x2D	0x1E	0x14	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
2A Fado	0x025B	0x02B3	0x2A	0x0B	0x51	0x00	0x01	0x2C	0x0B	0x19	0x0C	0x0A	0x09	0x05	0x08	0x05	0x03	0xB5	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x55	0x37	0x28	0x1E	0x2D	0x19	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
2B Ismaire	0x0260	0x02B8	0x2B	0x16	0x56	0x00	0x03	0x2E	0x09	0x0E	0x0A	0x09	0x0B	0x04	0x0C	0x0C	0x00	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x4B	0x1E	0x3C	0x37	0x14	0x19	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x00	0x00	0x00	0x00	0x00
2C Hayden	0x025C	0x02B4	0x2C	0x1D	0x52	0x00	0x07	0x2D	0x0A	0x10	0x0A	0x08	0x08	0x06	0x09	0x11	0x01	0xB5	0x00	0x00	0xB5	0x00	0x00	0x00	0x00	0x46	0x28	0x2D	0x2D	0x19	0x19	0x28	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
2D Enemy	0x0267	0x00	0x2D	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
2E Enemy	0x0267	0x00	0x2E	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
2F Enemy	0x0267	0x00	0x2F	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
30 Enemy	0x0267	0x00	0x30	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
31 Enemy	0x0267	0x00	0x31	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
32 Enemy	0x0267	0x00	0x32	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
33 Enemy	0x0267	0x00	0x33	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
34 Enemy	0x0267	0x00	0x34	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
35 Enemy	0x0267	0x00	0x35	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
36 Enemy	0x0267	0x00	0x36	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
37 Enemy	0x0267	0x00	0x37	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
38 Enemy	0x0267	0x00	0x38	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
39 Enemy	0x0267	0x00	0x39	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
3A Enemy	0x0267	0x00	0x3A	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x32	0x0A	0x0A	0x0A	0x0F	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
3B Phantom	0x02F1	0x033D	0x3B	0x07	0x00	0x07	0x05	0x25	0x01	0x00	0x03	0x02	0x03	0x00	0x00	0x14	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x3C	0x2D	0x1E	0x00	0x00	0x3C	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
3C Summon	0x026D	0x032E	0x3C	0x31	0x00	0x00	0x00	0x00	0x12	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x47	0x32	0x1E	0x23	0x20	0x08	0x28	0x2D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
3D Summonern	0x026C	0x032E	0x3D	0x31	0x00	0x00	0x00	0x00	0x09	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x47	0x32	0x1E	0x23	0x20	0x08	0x28	0x2D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
3E Phantom	0x02F1	0x033D	0x3E	0x07	0x00	0x07	0x05	0x21	0x01	0x00	0x02	0x01	0x02	0x00	0x00	0x0A	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x32	0x32	0x28	0x00	0x00	0x37	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
3F Phantom	0x02F1	0x033D	0x3F	0x07	0x00	0x07	0x05	0x1A	0x01	0x00	0x01	0x02	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x46	0x28	0x14	0x00	0x00	0x28	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
40 Lyon	0x0234	0x028F	0x40	0x4F	0x4A	0x00	0x04	0x00	0x0E	0x1A	0x0D	0x09	0x06	0x0E	0x0B	0x04	0x00	0x00	0x00	0x00	0x00	0xB5	0x00	0x00	0xFB	0x55	0x32	0x37	0x37	0x2D	0x37	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
41 Morva	0x0235	0x0290	0x41	0x3B	0x00	0x01	0x03	0x00	0x12	0x2A	0x10	0x0A	0x0B	0x03	0x07	0x07	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x96	0x64	0x5A	0x46	0xA0	0x50	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
42 Orson	0x0236	0x0291	0x42	0x07	0x45	0x00	0x05	0x00	0x03	0x0B	0x08	0x09	0x04	0x05	0x04	0x04	0x01	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x50	0x37	0x2D	0x28	0x2D	0x1E	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
43 Valter	0x0237	0x0292	0x43	0x23	0x42	0x00	0x04	0x00	0x0D	0x19	0x0C	0x0A	0x09	0x06	0x0B	0x03	0x01	0x00	0xFB	0x00	0x00	0x00	0x00	0x00	0x00	0x50	0x28	0x37	0x32	0x14	0x14	0x0F	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
