0x807110	Name	Details	ID	Menu Class	Standing Map Anims	Movement Speed	Generic Enemy Portrait	Sort Order	HP	POW	SKL	SPD	DEF	RES	CON	MOVE	HP	POW	SKL	SPD	DEF	RES	CON	Relative Power	HP	POW	SKL	SPD	DEF	RES	LUK	HP	POW	SKL	SPD	DEF	RES	Ability 1	Ability 2	Ability 3	Ability 4	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	P52	P56	P60	P64	P68	P72	P76	???
0A Knight	0x02C3	0x030F	0x0A	0x0C	0x06	0x01	0x76	0x0C	0x10	0x04	0x03	0x01	0x08	0x01	0x0A	0x04	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	100	60	50	35	48	40	100	0x02	0x01	0x01	0x01	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF054	0x80B88A	0x80BCDB	0x80C0EB	0x80C479	0x80C4BA	0x80C4FB	0x00
0B General	0x02C4	0x0310	0x0B	0x09	0x07	0x01	0x77	0x0D	0x15	0x08	0x04	0x03	0x0D	0x03	0x0F	0x05	0x3C	0x1D	0x1B	0x18	0x1E	0x19	0x19	0x03	95	50	40	30	43	45	95	0x04	0x02	0x02	0x03	0x02	0x03	0x00	0x01	0x00	0x00	0x01	0x47	0x01	0x00	0x00	0x00	0x00	0x00	0x8AF060	0x80B88A	0x80BCDB	0x80C0EB	0x80C479	0x80C4BA	0x80C4FB	0x00
0C General	0x02C4	0x0310	0x0C	0x0A	0x07	0x01	0x77	0x0D	0x14	0x08	0x05	0x05	0x0B	0x04	0x0B	0x05	0x3C	0x1B	0x1C	0x19	0x1D	0x1A	0x19	0x03	95	50	45	30	43	45	95	0x03	0x02	0x03	0x02	0x03	0x03	0x00	0x01	0x00	0x00	0x01	0x47	0x01	0x00	0x00	0x00	0x00	0x00	0x8AF080	0x80B88A	0x80BCDB	0x80C0EB	0x80C479	0x80C4BA	0x80C4FB	0x00
0D Thief	0x02C5	0x0311	0x0D	0x17	0x08	0x00	0x8E	0x07	0x10	0x03	0x01	0x09	0x02	0x00	0x06	0x06	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x02	70	25	65	60	25	40	70	0x00	0x00	0x00	0x00	0x00	0x00	0x0C	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF0A0	0x80B9CF	0x80BE20	0x80C230	0x80C479	0x80C4BA	0x80C4FB	0x00
0E Manakete	0x02D7	0x0323	0x0E	0x1F	0x09	0x00	0x8F	0x1F	0x0C	0x00	0x00	0x02	0x02	0x02	0x05	0x08	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x02	115	60	50	40	20	30	115	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF0AC	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
0F Mercenary	0x02C6	0x0312	0x0F	0x11	0x0A	0x00	0x90	0x03	0x12	0x04	0x08	0x08	0x04	0x00	0x09	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	100	60	60	52	38	40	100	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF0B8	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
10 Mercenary	0x02C6	0x0312	0x10	0x12	0x0B	0x00	0x90	0x03	0x10	0x03	0x05	0x06	0x02	0x00	0x08	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	100	60	60	52	38	50	100	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF0C4	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
11 Hero	0x02C7	0x0313	0x11	0x0F	0x0C	0x00	0x91	0x04	0x16	0x06	0x09	0x0A	0x08	0x02	0x0B	0x06	0x3C	0x19	0x1E	0x1A	0x19	0x16	0x19	0x03	95	50	50	40	40	40	95	0x04	0x01	0x02	0x02	0x02	0x02	0x00	0x01	0x00	0x00	0x47	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF0D0	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
12 Hero	0x02C7	0x0313	0x12	0x10	0x0D	0x00	0x91	0x04	0x16	0x06	0x0A	0x0B	0x06	0x03	0x09	0x06	0x3C	0x18	0x1E	0x1A	0x18	0x18	0x19	0x03	95	50	50	40	40	40	95	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x47	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF0EC	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
13 Myrmidon	0x02C8	0x0314	0x13	0x15	0x0E	0x00	0x72	0x05	0x10	0x04	0x09	0x09	0x02	0x00	0x08	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	90	55	60	60	35	40	90	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x02	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF108	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
14 Myrmidon	0x02C8	0x0314	0x14	0x16	0x0F	0x00	0x72	0x05	0x0F	0x03	0x09	0x0A	0x01	0x01	0x05	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	90	55	60	60	35	40	90	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x02	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF114	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
15 Swordmaster	0x02C9	0x0315	0x15	0x13	0x10	0x00	0x73	0x06	0x15	0x06	0x0B	0x0A	0x05	0x02	0x09	0x06	0x3C	0x18	0x1D	0x1E	0x16	0x17	0x14	0x03	85	45	50	50	35	42	85	0x05	0x02	0x00	0x00	0x02	0x01	0x40	0x01	0x02	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF120	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
16 Swordmaster	0x02C9	0x0315	0x16	0x14	0x11	0x00	0x73	0x06	0x13	0x06	0x0B	0x0C	0x04	0x03	0x07	0x06	0x3C	0x16	0x1D	0x1E	0x16	0x19	0x14	0x03	85	45	50	50	35	42	85	0x04	0x02	0x01	0x00	0x02	0x01	0x40	0x01	0x02	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF12C	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
17 Assassin	0x02CA	0x0316	0x17	0x0D	0x12	0x00	0x8E	0x08	0x10	0x03	0x01	0x09	0x02	0x00	0x08	0x06	0x3C	0x14	0x1E	0x1E	0x14	0x14	0x14	0x03	70	25	65	60	25	40	70	0x03	0x01	0x00	0x00	0x02	0x02	0x08	0x01	0x02	0x02	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF138	0x80B9CF	0x80BE20	0x80C230	0x80C479	0x80C4BA	0x80C4FB	0x00
18 Assassin	0x02CA	0x0316	0x18	0x0D	0x13	0x00	0x8E	0x08	0x10	0x03	0x01	0x09	0x02	0x00	0x06	0x06	0x3C	0x14	0x1E	0x1E	0x14	0x14	0x14	0x03	70	25	65	60	25	40	70	0x02	0x01	0x01	0x01	0x02	0x01	0x08	0x01	0x02	0x02	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF144	0x80B9CF	0x80BE20	0x80C230	0x80C479	0x80C4BA	0x80C4FB	0x00
19 Archer	0x02CB	0x0317	0x19	0x1B	0x14	0x00	0x78	0x0A	0x12	0x04	0x03	0x03	0x03	0x00	0x07	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	90	55	60	52	35	35	90	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x8AF150	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
1A Archer	0x02CB	0x0317	0x1A	0x1C	0x15	0x00	0x78	0x0A	0x11	0x03	0x03	0x04	0x03	0x00	0x05	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	90	55	60	52	35	40	90	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x8AF168	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
1B Sniper	0x02CC	0x0318	0x1B	0x19	0x16	0x00	0x79	0x0B	0x15	0x07	0x06	0x05	0x05	0x02	0x08	0x06	0x3C	0x19	0x1E	0x1C	0x19	0x17	0x14	0x03	85	50	50	40	35	40	85	0x03	0x01	0x02	0x02	0x02	0x03	0x80	0x01	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x8AF180	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
1C Sniper	0x02CC	0x0318	0x1C	0x1A	0x17	0x00	0x79	0x0B	0x13	0x06	0x06	0x07	0x05	0x03	0x06	0x06	0x3C	0x18	0x1E	0x1D	0x18	0x18	0x14	0x03	85	50	50	40	35	45	85	0x04	0x03	0x01	0x01	0x02	0x02	0x80	0x01	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x8AF198	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
1D Ranger	0x02CD	0x0319	0x1D	0x19	0x18	0x00	0x97	0x0C	0x15	0x07	0x06	0x07	0x06	0x03	0x09	0x07	0x3C	0x19	0x1C	0x1E	0x18	0x17	0x19	0x03	80	45	50	55	35	35	80	0x03	0x02	0x01	0x01	0x03	0x03	0x03	0x05	0x00	0x00	0x1F	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x8AF1B0	0x80BB55	0x80BFA6	0x80C3B6	0x80C479	0x80C4BA	0x80C4FB	0x00
1E Ranger	0x02CD	0x0319	0x1E	0x1A	0x18	0x00	0x97	0x0C	0x15	0x06	0x06	0x07	0x05	0x04	0x08	0x07	0x3C	0x17	0x1C	0x1E	0x16	0x19	0x19	0x03	80	45	50	55	35	40	80	0x02	0x02	0x02	0x01	0x03	0x03	0x03	0x05	0x00	0x00	0x1F	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x8AF1C0	0x80BB55	0x80BFA6	0x80C3B6	0x80C479	0x80C4BA	0x80C4FB	0x00
1F Wyvern Rider	0x02CE	0x031A	0x1F	0x21	0x19	0x00	0x88	0x0D	0x14	0x07	0x03	0x05	0x08	0x00	0x0A	0x07	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x03	100	65	55	50	45	35	100	0x00	0x00	0x00	0x00	0x00	0x00	0x03	0x08	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF1D0	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
20 Wyvern Rider	0x02CE	0x031A	0x20	0x22	0x1A	0x00	0x88	0x0D	0x13	0x06	0x05	0x05	0x07	0x00	0x09	0x07	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x03	100	65	55	50	45	37	100	0x00	0x00	0x00	0x00	0x00	0x00	0x03	0x08	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF1DC	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
21 Wyvern Lord	0x02CF	0x031B	0x21	0x1F	0x1B	0x00	0x89	0x0E	0x19	0x09	0x05	0x07	0x0A	0x01	0x0B	0x08	0x3C	0x1B	0x19	0x17	0x1C	0x16	0x19	0x03	95	60	50	40	40	37	95	0x04	0x02	0x02	0x00	0x02	0x00	0x03	0x09	0x00	0x00	0x1F	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF1E8	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
22 Wyvern Lord	0x02CF	0x031B	0x22	0x20	0x1C	0x00	0x89	0x0E	0x18	0x08	0x07	0x07	0x09	0x02	0x0A	0x08	0x3C	0x19	0x1A	0x18	0x1B	0x17	0x19	0x03	95	60	50	40	40	37	95	0x00	0x00	0x00	0x00	0x00	0x00	0x03	0x09	0x00	0x00	0x1F	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF1F8	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
23 Wyvern Kn.	0x02D0	0x031C	0x23	0x1F	0x1D	0x00	0x93	0x0F	0x14	0x07	0x07	0x08	0x07	0x01	0x0A	0x08	0x3C	0x19	0x1A	0x1C	0x18	0x16	0x19	0x03	85	55	50	50	35	37	85	0x03	0x01	0x02	0x03	0x00	0x01	0x03	0x09	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF208	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
24 Wyvern Kn.	0x02D0	0x031C	0x24	0x20	0x1D	0x00	0x93	0x0F	0x13	0x06	0x08	0x09	0x06	0x02	0x09	0x08	0x3C	0x18	0x1B	0x1D	0x17	0x17	0x19	0x03	85	55	50	50	35	40	85	0x03	0x02	0x01	0x02	0x01	0x01	0x03	0x09	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF214	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
25 Mage	0x02D1	0x031D	0x25	0x27	0x1E	0x00	0x7C	0x12	0x10	0x01	0x02	0x03	0x03	0x03	0x06	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	75	75	60	55	25	50	75	0x01	0x00	0x01	0x02	0x01	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x8AF220	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
26 Mage	0x02D1	0x031D	0x26	0x28	0x1F	0x00	0x7C	0x12	0x10	0x01	0x03	0x02	0x02	0x04	0x03	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	75	75	60	55	25	60	75	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x8AF234	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
27 Sage	0x02D2	0x031E	0x27	0x25	0x20	0x00	0x7D	0x13	0x14	0x05	0x04	0x04	0x05	0x05	0x07	0x06	0x3C	0x1C	0x1E	0x1A	0x15	0x19	0x14	0x03	65	65	50	45	30	60	65	0x04	0x01	0x00	0x00	0x03	0x03	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x47	0x1F	0x00	0x8AF248	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
28 Sage	0x02D2	0x031E	0x28	0x26	0x21	0x00	0x7D	0x13	0x13	0x04	0x06	0x05	0x03	0x06	0x04	0x06	0x3C	0x1E	0x1C	0x1A	0x15	0x19	0x14	0x03	65	65	50	45	30	60	65	0x03	0x01	0x01	0x00	0x03	0x03	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x47	0x1F	0x00	0x8AF260	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
29 Mage Knight	0x02D3	0x031F	0x29	0x25	0x22	0x00	0x95	0x14	0x14	0x04	0x03	0x05	0x05	0x05	0x08	0x07	0x3C	0x18	0x1A	0x19	0x18	0x19	0x19	0x03	65	60	50	60	30	60	65	0x04	0x02	0x00	0x00	0x02	0x02	0x03	0x05	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x47	0x00	0x00	0x8AF278	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
2A Mage Knight	0x02D3	0x031F	0x2A	0x26	0x23	0x00	0x95	0x14	0x13	0x03	0x05	0x06	0x03	0x06	0x06	0x07	0x3C	0x19	0x18	0x19	0x18	0x1C	0x19	0x03	65	60	50	60	30	60	65	0x03	0x02	0x01	0x00	0x02	0x02	0x03	0x05	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x47	0x00	0x00	0x8AF290	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
2B Bishop	0x02D4	0x0320	0x2B	0x45	0x24	0x00	0x7B	0x18	0x15	0x04	0x04	0x04	0x03	0x08	0x07	0x06	0x3C	0x19	0x1A	0x18	0x16	0x1E	0x14	0x03	65	55	45	42	28	60	65	0x03	0x02	0x01	0x00	0x03	0x02	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x1F	0x00	0x8AF2A8	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x0880C6C2
2C Bishop	0x02D4	0x0320	0x2C	0x4A	0x25	0x00	0x7B	0x18	0x13	0x04	0x05	0x04	0x02	0x09	0x05	0x06	0x3C	0x19	0x19	0x1A	0x15	0x1E	0x14	0x03	65	55	45	42	28	70	65	0x03	0x01	0x02	0x01	0x02	0x02	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x1F	0x00	0x8AF2C0	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x0880C6C2
2D Shaman	0x02E1	0x032C	0x2D	0x2F	0x26	0x01	0x7E	0x1B	0x10	0x02	0x01	0x02	0x02	0x04	0x07	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	70	70	52	50	30	50	70	0x01	0x02	0x00	0x01	0x01	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x8AF2D8	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
2E Shaman	0x02E1	0x032C	0x2E	0x30	0x26	0x01	0x7E	0x1B	0x0F	0x03	0x01	0x01	0x01	0x05	0x03	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	70	65	52	50	30	60	70	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x8AF2EC	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
2F Druid	0x02E2	0x032D	0x2F	0x2D	0x27	0x01	0x7F	0x1C	0x13	0x06	0x03	0x04	0x04	0x06	0x08	0x06	0x3C	0x1D	0x1A	0x1A	0x15	0x1C	0x14	0x03	65	75	50	45	30	55	65	0x04	0x00	0x00	0x03	0x02	0x02	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x1F	0x00	0x47	0x8AF300	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
30 Druid	0x02E2	0x032D	0x30	0x2E	0x27	0x01	0x7F	0x1C	0x11	0x07	0x03	0x04	0x03	0x07	0x04	0x06	0x3C	0x1D	0x1A	0x1A	0x14	0x1D	0x14	0x03	65	75	50	45	30	55	65	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x1F	0x00	0x47	0x8AF318	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
31 Summoner	0x02E3	0x032E	0x31	0x2D	0x28	0x00	0x7F	0x1D	0x12	0x05	0x03	0x04	0x03	0x05	0x08	0x06	0x3C	0x1B	0x1B	0x1A	0x14	0x1C	0x14	0x03	65	70	50	45	28	55	65	0x03	0x00	0x01	0x03	0x01	0x03	0x00	0x01	0x00	0x08	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x47	0x8AF330	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
32 Summoner	0x02E3	0x032E	0x32	0x2E	0x28	0x00	0x7F	0x1D	0x12	0x05	0x03	0x04	0x03	0x05	0x04	0x06	0x3C	0x1B	0x1B	0x1A	0x14	0x1C	0x14	0x03	65	70	50	45	28	55	65	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x08	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x47	0x8AF348	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
33 Rogue	0x02DB	0x0326	0x33	0x0D	0x29	0x00	0x94	0x09	0x10	0x03	0x01	0x09	0x02	0x00	0x07	0x06	0x3C	0x14	0x1E	0x1E	0x14	0x14	0x14	0x03	70	30	65	55	25	40	70	0x02	0x01	0x01	0x00	0x02	0x02	0x0C	0x01	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF360	0x80B9CF	0x80BE20	0x80C230	0x80C479	0x80C4BA	0x80C4FB	0x00
34 Gorgon Egg	0x0300	0x034C	0x34	0x00	0x2A	0x00	0xA6	0x00	0x32	0x00	0x00	0x00	0x0A	0x0A	0x06	0x00	0x3C	0x1E	0x1E	0x1E	0x1E	0x1E	0x1E	0x03	120	20	20	20	20	20	120	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
