0x0128F5B8	CP	Object type (Plist)	Palette (Plist)	Tile Config (Plist)	Map Pointer (Plist)	Tile Animation 1	Tile Animation 2	Map Changes (Plist)	Fog Level	Enable Battle Prep? (X)	Chapter Title	Chapter title image 2 (X).	Initial coord	B17	Weather	Battle Backgrounds	Difficulty	Player Phase BGM	Enemy Phase BGM	NPC BGM	Player Phase BGM 2 (X)	Enemy Phase BGM 2 (X)	NPC BGM 2 (X)	Player Phase BGM Flag 4	Enemy Phase BGM Flag 4	???	???	???	Destructible Wall HP	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	??	W62	W64	W66	W68	W70	W72	W74	W76	W78	W80	W82	W84	W86	W88	W90	W92	??	D96	D100	D104	D108	Map Name 1	Map Name 2 (X)	Event ID (Plist)	World Map Event	??	B119	B120	B121	??	B123	B124	B125	??	B127	Chapter Number	??	B130	B131	??	B133	VictoryBGM(# Foes Left)	Dark Before Initial Event	Clear Condition	Detailed Clear Condition	Mini-Objective Display	Turns to Defend	Unit to Defend	Withdrawal Point	B144	??	??	??
0A Ch9 Route 3: W	0x081C32F0	0x0C	0x4B	0x0B	0x0A	0x00	0x00	0x00	0x00	0x00	0x0A	0x00	0x14	0x04	0x00	0x06	0x0234	0x0A	0x14	0x0F	0x0A	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x016A	0x016A	0x0A	0x0A	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x12	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01AC	0x019E	0x01	0x00	0x00	0xFF	0x00	0x07	0x00	0x00
0B Ch10 Route 3: M	0x081C32F4	0x0D	0x4C	0x0C	0x0B	0x00	0x00	0x00	0x00	0x00	0x0B	0x00	0x08	0x0F	0x00	0x12	0x0234	0x0A	0x14	0x0F	0x0A	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x016B	0x016B	0x0B	0x0B	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x14	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01AD	0x019F	0x00	0x00	0x00	0xFF	0x00	0x1D	0x00	0x00
0C Ch12 Route 3: E	0x081C32F8	0x0E	0x4D	0x0D	0x0C	0x00	0x00	0x00	0x00	0x00	0x0C	0x00	0x08	0x16	0x00	0x12	0x0234	0x0A	0x14	0x0F	0x0A	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x016C	0x016C	0x0C	0x0C	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x18	0x00	0xFF	0xFF	0x00	0x00	0x01	0x00	0x01AF	0x019E	0x01	0x00	0x00	0xFF	0x00	0x1D	0x00	0x00
0D Ch13 Route 4	0x081C32FC	0x0F	0x4E	0x0E	0x0D	0x00	0x00	0x00	0x00	0x00	0x0D	0x00	0x08	0x08	0x00	0x00	0x0234	0x0A	0x14	0x0F	0x0A	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x016D	0x016D	0x0D	0x0D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1A	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B0	0x019C	0x02	0x0C	0x00	0xFF	0x00	0x18	0x00	0x00
0E Ch14 Mt.Moon: B1S	0x081C3300	0x10	0x4F	0x0F	0x0E	0x00	0x00	0x00	0x00	0x00	0x0E	0x00	0x01	0x00	0x00	0x0C	0x0234	0x0A	0x14	0x0F	0x0A	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x016E	0x016E	0x0E	0x0E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1C	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B1	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x2A	0x00	0x00
0F Ch15 Mt.Moon: B1N	0x081C3304	0x11	0x50	0x10	0x0F	0x00	0x00	0x00	0x00	0x00	0x0F	0x00	0x0D	0x06	0x00	0x09	0x0234	0x0A	0x14	0x0F	0x0A	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x016F	0x016F	0x0F	0x0F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1E	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B2	0x019E	0x01	0x00	0x00	0xFF	0x00	0x30	0x00	0x00
10 Ch16 Mt.Moon: B2	0x081C3308	0x12	0x51	0x11	0x10	0x00	0x00	0x00	0x00	0x00	0x10	0x00	0x01	0x00	0x00	0x10	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0170	0x0170	0x10	0x10	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x20	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B3	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x0C	0x00	0x00
11 Ch17 Mt.Moon: B3N	0x081C330C	0x13	0x52	0x12	0x11	0x00	0x00	0x00	0x00	0x00	0x11	0x00	0x01	0x00	0x00	0x14	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0171	0x0171	0x11	0x11	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x22	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B4	0x019D	0x03	0x00	0x00	0xFF	0x00	0x18	0x00	0x00
12 Ch18 Mt.Moon: B3E	0x081C3310	0x14	0x53	0x13	0x12	0x00	0x00	0x00	0x00	0x00	0x12	0x00	0x01	0x1B	0x00	0x02	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0172	0x0172	0x12	0x12	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x24	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B5	0x019E	0x01	0x00	0x00	0xFF	0x00	0x32	0x00	0x00
13 Ch19 Mt.Moon: B3W	0x081C3314	0x15	0x54	0x14	0x13	0x00	0x00	0x00	0x03	0x00	0x13	0x00	0x11	0x0B	0x00	0x11	0x0244	0x11	0x18	0x11	0x11	0x18	0x11	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0173	0x0173	0x13	0x13	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x26	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B6	0x019C	0x02	0x0E	0xC8	0xFF	0x00	0x0B	0x00	0x00
14 Ch20 Mt.Moon: B3S	0x081C3318	0x17	0x56	0x16	0x14	0x00	0x00	0x00	0x00	0x00	0x14	0x00	0x0C	0x0C	0x00	0x0D	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0174	0x0174	0x14	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x28	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B7	0x01A0	0x00	0x00	0x00	0xFF	0x00	0x31	0x00	0x00
15 Ch21 Route 4: W	0x081C331C	0x18	0x57	0x17	0x15	0x00	0x00	0x00	0x00	0x00	0x15	0x00	0x0C	0x14	0x00	0x0D	0x0244	0x0E	0x16	0x0F	0x0E	0x16	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0175	0x0175	0x15	0x15	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x2A	0x00	0xFF	0xFF	0x00	0x00	0x00	0x01	0x01B8	0x019D	0x03	0x00	0x00	0xFF	0x00	0x34	0x00	0x00
16 Ch21x Route 4: E	0x081C3320	0x19	0x58	0x18	0x16	0x00	0x00	0x00	0x00	0x00	0x16	0x00	0x0C	0x06	0x00	0x0D	0x0244	0x45	0x16	0x0F	0x45	0x16	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0176	0x0176	0x16	0x16	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x2B	0x00	0xFF	0xFF	0x00	0x00	0x00	0x01	0x01B9	0x019D	0x03	0x00	0x00	0xFF	0x00	0x34	0x00	0x00
17 Ch9 Cerulean City	0x081C3328	0x1A	0x59	0x19	0x17	0x00	0x00	0x00	0x00	0x00	0x17	0x00	0x13	0x0A	0x00	0x0A	0x0234	0x0C	0x14	0x0F	0x0C	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0177	0x0177	0x17	0x17	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x12	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01BA	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x26	0x00	0x00
18 Ch10 Cerulean Gym	0x081C332C	0x1B	0x5A	0x1A	0x18	0x00	0x00	0x00	0x00	0x00	0x18	0x00	0x01	0x00	0x00	0x13	0x0234	0x0C	0x14	0x0F	0x0C	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0178	0x0178	0x18	0x18	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x14	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01BB	0x019C	0x02	0x0B	0x1D	0xFF	0x00	0x07	0x00	0x00
19 Ch12 Route 24	0x081C3330	0x1C	0x5B	0x1B	0x19	0x00	0x00	0x00	0x00	0x00	0x19	0x00	0x08	0x15	0x00	0x07	0x0234	0x0C	0x14	0x0F	0x0C	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0179	0x0179	0x19	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x18	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01BD	0x019D	0x03	0x00	0x00	0xFF	0x00	0x07	0x00	0x00
1A Ch13 Route 25	0x081C3334	0x1D	0x5C	0x1C	0x1A	0x00	0x00	0x00	0x00	0x00	0x1A	0x00	0x0F	0x0E	0x00	0x00	0x0234	0x0C	0x14	0x0F	0x0C	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x017A	0x017A	0x1A	0x1A	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1A	0x00	0xFF	0xFF	0x00	0x00	0x01	0x00	0x01BE	0x019E	0x01	0x00	0x00	0xFF	0x00	0x18	0x00	0x00
1B Ch14 Placeholder	0x081C3338	0x2A	0x69	0x29	0x27	0x00	0x00	0x00	0x00	0x00	0x1B	0x00	0x01	0x00	0x00	0x0F	0x0234	0x0C	0x14	0x0F	0x0C	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x017B	0x017B	0x1B	0x1B	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1C	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01BF	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x0C	0x00	0x00
