INLINE ClassLuckTable,Spd Cap,Def Cap,Res Cap meowth,Luck Cap
GorgonEgg2ID,15,15,15,15
GreenID,15,15,15,15
DeathgoyleID,15,15,15,15
DracoZombieID,15,15,15,15
DemonKingID,15,15,15,15
lassID,15,15,15,15
picnickerID,15,15,15,15
policemanID,15,15,15,15
prof_oakID,15,15,15,15
rockerID,15,15,15,15
rocket_fID,15,15,15,15
rocket_mID,15,15,15,15
sailorID,15,15,15,15
scientistID,15,15,15,15
super_nerdID,15,15,15,15
BurrowID,15,15,15,15
FlowerID,15,15,15,15
BerryTreeID,15,15,15,15
sfxID,15,15,15,15
OpenBallID,15,15,15,15
RedPokeballID,15,15,15,15
GoldPokeballID,15,15,15,15
GaryID,15,15,15,15
PlatformID,15,15,15,15
BlankID,15,15,15,15
SavePointID,15,15,15,15
BushID,15,15,15,15
SignID,15,15,15,15
Sign2ID,15,15,15,15
CoinsID,15,15,15,15
MukID,30,40,45,40
ShellderID,30,35,15,25
CloysterID,40,60,20,40
GastlyID,35,10,20,20
HaunterID,45,15,30,30
GengarID,50,25,40,40
OnixID,40,50,10,35
DrowzeeID,30,25,35,30
HypnoID,40,35,50,40
KrabbyID,35,35,15,30
KinglerID,40,45,25,35
VoltorbID,45,20,30,30
ElectrodeID,60,25,40,40
ExeggcuteID,20,35,25,25
ExeggutorID,25,45,40,35
CuboneID,35,35,20,30
MarowakID,35,45,35,40
HitmonleeID,45,25,45,40
HitmonchanID,45,40,45,45
LickitungID,35,50,50,45
KoffingID,15,40,25,25
WeezingID,25,50,35,35
RhyhornID,20,40,20,25
RhydonID,20,50,20,30
ChanseyID,40,10,45,30
TangelaID,35,45,15,30
KangaskhanID,45,40,40,40
HorseaID,35,35,15,30
SeadraID,45,45,25,40
GoldeenID,35,30,20,30
SeakingID,45,30,40,40
StaryuID,40,25,25,30
StarmieID,50,40,40,45
MrMimeID,45,25,45,40
ScytherID,50,40,40,45
JynxID,45,15,45,35
ElectabuzzID,45,25,45,40
MagmarID,45,25,45,40
PinsirID,40,45,35,40
TaurosID,50,45,35,45
MagikarpID,20,15,15,15
GyaradosID,40,40,50,45
LaprasID,25,45,45,40
DittoID,30,30,30,30
EeveeID,35,20,25,25
VaporeonID,45,35,50,45
JolteonID,60,25,50,45
FlareonID,35,25,50,35
PorygonID,40,30,40,35
OmanyteID,35,40,20,30
OmastarID,40,50,30,40
KabutoID,35,40,20,30
KabutopsID,45,50,25,40
AerodactylID,55,25,35,40
SnorlaxID,10,30,55,30
ArticunoID,45,55,60,55
ZapdosID,55,45,50,50
MoltresID,50,50,45,50
DratiniID,35,25,25,30
DragonairID,40,35,35,35
DragoniteID,50,50,50,50
MewtwoID,60,45,45,50
MewID,55,55,55,55
balding_manID,0,0,0,0
battle_girlID,0,0,0,0
beautyID,0,0,0,0
billID,0,0,0,0
blackbeltID,0,0,0,0
blueID,0,0,0,0
boyID,0,0,0,0
bug_catcherID,0,0,0,0
camperID,0,0,0,0
captainID,0,0,0,0
channelerID,0,0,0,0
chefID,0,0,0,0
cooltrainer_fID,0,0,0,0
fat_manID,0,0,0,0
fisherID,0,0,0,0
gentlemanID,0,0,0,0
hikerID,0,0,0,0
mrfujiID,0,0,0,0
bikerID,0,0,0,0
giovanniID,0,0,0,0
swimmer_f_land,0,0,0,0
swimmer_f_water,0,0,0,0
swimmer_m_land,0,0,0,0
swimmer_m_water,0,0,0,0
tuber_m_water,0,0,0,0
rockID,0,0,0,0
Unused2ID,0,0,0,0
puddleID,0,0,0,0
LoreleiID,0,0,0,0
BrunoID,0,0,0,0
AgathaID,0,0,0,0
LanceID,0,0,0,0
BrockID,0,0,0,0
MistyID,0,0,0,0
LtSurgeID,0,0,0,0
KogaID,0,0,0,0
ErikaID,0,0,0,0
SabrinaID,0,0,0,0
BlaineID,0,0,0,0
BrendanID,0,0,0,0
MayID,0,0,0,0
MomID,0,0,0,0
NurseID,0,0,0,0
ReceptionistID,0,0,0,0
ClerkID,0,0,0,0
ShedinjaID,35,30,30,30
SableyeID,10,55,50,40
MegaAlakazamID,60,25,50,45
MegaPidgeotID,60,40,40,45
MegaVenusaurID,40,60,60,55
MegaCharizardXID,55,55,50,55
MegaBlastoiseID,40,60,60,55
Unused69ID,0,0,0,0
MissingnoID,20,10,15,15
Unused71ID,0,0,0,0
Unused72ID,0,0,0,0
Unused73ID,0,0,0,0
Unused74ID,0,0,0,0
Unused75ID,0,0,0,0
Unused76ID,0,0,0,0
Unused77ID,0,0,0,0
Unused78ID,0,0,0,0
Unused79ID,0,0,0,0
SnagID,0,0,0,0
