INLINE MagClassTable,Base Magic,Magic Growth,Magic Cap,Magic Promotion Bonus
Geodude,1,10,15,0
Graveller,2,20,20,1
Phantom,1,5,15,0
Golem,3,30,25,1
Ponyta,6,40,40,3
Rapidash,8,50,45,2
Slowpoke,6,40,35,0
Slowbro,14,65,50,8
Magnemite,6,40,35,0
Magneton,16,70,50,10
Farfetchd,4,30,30,0
Doduo,2,15,20,0
Dodrio,4,30,25,2
Seel,5,35,35,1
Dewgong,8,50,45,3
Grimer,4,30,30,0
Unused5,1,5,15,0
Unused6,1,5,15,0
Unused7,1,5,15,0
GorgonEgg2,1,5,15,0
Unused8,1,5,15,0
Deathgoyle,1,5,15,0
DracoZombie,1,5,15,0
DemonKing,1,5,15,0
Unused8,1,5,15,0
Unused9,1,5,15,0
Unused10,1,5,15,0
Unused11,1,5,15,0
Unused12,1,5,15,0
Unused13,1,5,15,0
Civilian1,1,5,15,0
Civilian2,1,5,15,0
Civilian3,1,5,15,0
Civilian4,1,5,15,0
Civilian5,1,5,15,0
Unused14,1,5,15,0
Unused15,1,5,15,0
sfx,1,5,15,0
openball,1,5,15,0
pokeballred,1,5,15,0
pokeballgold,1,5,15,0
Unused16,1,5,15,0
platform,1,5,15,0
blank,1,5,15,0
Unused18,1,5,15,0
Bush,1,5,15,0
ElderBael,1,5,15,0
Journeyman,1,5,15,0
Pupil,1,5,15,0
Muk,6,45,35,2
Shellder,5,35,35,0
Cloyster,9,55,45,4
Gastly,7,50,40,0
Haunter,12,60,45,5
Gengar,16,75,55,4
Onix,2,20,15,0
Drowzee,5,30,35,3
Hypno,10,55,45,5
Krabby,3,25,25,0
Kingler,6,40,35,3
Voltorb,6,35,35,0
Electrode,10,60,45,4
Exeggcute,7,45,40,0
Exeggutor,18,75,55,11
Cubone,3,25,25,0
Marowak,4,30,30,1
Hitmonlee,1,15,15,0
Hitmonchan,1,15,15,0
Lickitung,6,40,35,5
Koffing,6,40,40,0
Weezing,11,60,45,5
Rhyhorn,1,15,15,0
Rhydon,3,25,20,2
Chansey,6,40,40,3
Tangela,12,65,50,6
Kangaskhan,2,20,15,0
Horsea,6,35,35,4
Seadra,11,60,45,5
Goldeen,3,25,30,0
Seaking,6,40,40,3
Staryu,6,35,35,0
Starmie,11,65,50,5
Mr. Mime,11,60,45,0
Scyther,4,30,25,0
Jynx,13,60,45,9
Electabuzz,10,55,45,0
Magmar,11,60,45,1
Pinsir,5,35,30,0
Tauros,4,30,25,0
Magikarp,1,5,10,0
Gyarados,4,35,25,3
Lapras,10,60,50,6
Ditto,3,20,30,0
Eevee,5,35,35,2
Vaporeon,14,70,55,9
Jolteon,14,70,55,9
Flareon,14,70,55,9
Porygon,9,55,40,0
Omanyte,8,50,40,0
Omastar,15,70,55,7
Kabuto,6,35,35,0
Kabutops,11,65,50,5
Aerodactyl,6,40,35,0
Snorlax,6,45,35,0
Articuno,10,70,50,4
Zapdos,18,85,60,8
Moltres,18,85,60,0
Dratini,5,35,35,0
Dragonair,8,50,40,3
Dragonite,11,75,55,3
Mewtwo,27,115,60,16
Mew,11,75,55,0
balding_manID,0,0,0,0
battle_girlID,0,0,0,0
beautyID,0,0,0,0
billID,0,0,0,0
blackbeltID,0,0,0,0
blueID,0,0,0,0
boyID,0,0,0,0
bug_catcherID,0,0,0,0
camperID,0,0,0,0
captainID,0,0,0,0
channelerID,0,0,0,0
chefID,0,0,0,0
cooltrainer_fID,0,0,0,0
fat_manID,0,0,0,0
fisherID,0,0,0,0
gentlemanID,0,0,0,0
hikerID,0,0,0,0
mrfujiID,0,0,0,0
bikerID,0,0,0,0
giovanniID,0,0,0,0
swimmer_f_land,0,0,0,0
swimmer_f_water,0,0,0,0
swimmer_m_land,0,0,0,0
swimmer_m_water,0,0,0,0
tuber_m_water,0,0,0,0
rockID,0,0,0,0
Unused2ID,0,0,0,0
puddleID,0,0,0,0
LoreleiID,0,0,0,0
BrunoID,0,0,0,0
AgathaID,0,0,0,0
LanceID,0,0,0,0
BrockID,0,0,0,0
MistyID,0,0,0,0
LtSurgeID,0,0,0,0
KogaID,0,0,0,0
ErikaID,0,0,0,0
SabrinaID,0,0,0,0
BlaineID,0,0,0,0
BrendanID,0,0,0,0
MayID,0,0,0,0
MomID,0,0,0,0
NurseID,0,0,0,0
ReceptionistID,0,0,0,0
ClerkID,0,0,0,0
ShedinjaID,1,10,15,1
SableyeID,8,50,45,7
MegaAlakazamID,25,115,60,17
MegaPidgeotID,21,95,60,0
MegaVenusaurID,23,110,60,2
MegaCharizardXID,22,110,60,0
MegaBlastoiseID,27,115,60,5
Unused69ID,1,15,0,0
Unused70ID,1,45,0,0
Unused71ID,1,15,0,0
Unused72ID,1,15,0,0
Unused73ID,1,15,0,0
Unused74ID,1,20,0,0
Unused75ID,1,35,0,0
Unused76ID,1,45,0,0
Unused77ID,1,10,0,0
Unused78ID,1,20,0,0
Unused79ID,1,35,0,0
SnagID,1,45,0,0
0xff,1,15,20,20
