INLINE NewMovementSoundsTable,0
57Magnemite,FootstepsNormal
58Magneton,FootstepsNormal
59Farfetch'd,FootstepsFlying
5ADoduo,FootstepsFlying
5BDodrio,FootstepsFlying
5CSeel,FootstepsFleet
5DDewgong,FootstepsFleet
5EGrimer,FootstepsNormal
5F--,FootstepsNormal
60--,FootstepsNormal
61--,FootstepsNormal
62--,FootstepsNormal
63--,FootstepsNormal
64--,FootstepsNormal
65--,FootstepsNormal
66--,FootstepsNormal
67--,FootstepsNormal
68--,FootstepsNormal
69--,FootstepsNormal
6A--,FootstepsNormal
6B--,FootstepsNormal
6C--,FootstepsNormal
6D--,FootstepsNormal
6E--,FootstepsNormal
6F--,FootstepsNormal
70--,FootstepsNormal
71--,FootstepsNormal
72--,FootstepsNormal
73--,FootstepsNormal
74--,FootstepsNormal
75--,FootstepsNormal
76--,FootstepsNormal
77--,FootstepsNormal
78--,FootstepsNormal
79--,FootstepsNormal
7A--,FootstepsNormal
7B--,FootstepsNormal
7C--,FootstepsNormal
7D--,FootstepsNormal
7E--,FootstepsNormal
7F--,FootstepsNormal
80Muk,FootstepsNormal
81Shellder,FootstepsFleet
82Cloyster,FootstepsFleet
83Gastly,FootstepsFlying
84Haunter,FootstepsFlying
85Gengar,FootstepsFlying
86Onix,FootstepsNormal
87Drowzee,FootstepsNormal
88Hypno,FootstepsNormal
89Krabby,FootstepsFleet
8AKingler,FootstepsFleet
8BVoltorb,FootstepsNormal
8CElectrode,FootstepsNormal
8DExeggcute,FootstepsNormal
8EExeggutor,FootstepsNormal
8FCubone,FootstepsNormal
90Marowak,FootstepsNormal
91Hitmonlee,FootstepsNormal
92Hitmonchan,FootstepsNormal
93Lickitung,FootstepsNormal
94Koffing,FootstepsFlying
95Weezing,FootstepsFlying
96Rhyhorn,FootstepsNormal
97Rhydon,FootstepsNormal
98Chansey,FootstepsNormal
99Tangela,FootstepsNormal
9AKangaskhan,FootstepsNormal
9BHorsea,FootstepsFleet
9CSeadra,FootstepsFleet
9DGoldeen,FootstepsFleet
9ESeaking,FootstepsFleet
9FStaryu,FootstepsFleet
A0Starmie,FootstepsFleet
A1Mr. Mime,FootstepsNormal
A2Scyther,FootstepsFlying
A3Jynx,FootstepsNormal
A4Electabuzz,FootstepsNormal
A5Magmar,FootstepsNormal
A6Pinsir,FootstepsNormal
A7Tauros,FootstepsNormal
A8Magikarp,FootstepsFleet
A9Gyarados,FootstepsFlying
AALapras,FootstepsFleet
ABDitto,FootstepsNormal
ACEevee,FootstepsNormal
ADVaporeon,FootstepsFleet
AEJolteon,FootstepsNormal
AFFlareon,FootstepsNormal
B0Porygon,FootstepsNormal
B1Omanyte,FootstepsFleet
B2Omastar,FootstepsFleet
B3Kabuto,FootstepsFleet
B4Kabutops,FootstepsFleet
B5Aerodactyl,FootstepsFlying
B6Snorlax,FootstepsNormal
B7Articuno,FootstepsFlying
B8Zapdos,FootstepsFlying
B9Moltres,FootstepsFlying
BADratini,FootstepsFleet
BBDragonair,FootstepsFleet
BCDragonite,FootstepsFlying
BDMewtwo,FootstepsNormal
BEMew,FootstepsNormal
BF--,FootstepsNormal
C0--,FootstepsNormal
C1--,FootstepsNormal
C2--,FootstepsNormal
C3--,FootstepsNormal
C4--,FootstepsNormal
C5--,FootstepsNormal
C6--,FootstepsNormal
C7--,FootstepsNormal
C8--,FootstepsNormal
C9--,FootstepsNormal
CA--,FootstepsNormal
CB--,FootstepsNormal
CC--,FootstepsNormal
CD--,FootstepsNormal
CE--,FootstepsNormal
CF--,FootstepsNormal
D0--,FootstepsNormal
D1--,FootstepsNormal
D2--,FootstepsNormal
D3--,FootstepsNormal
D4--,FootstepsNormal
D5--,FootstepsNormal
D6--,FootstepsNormal
D7--,FootstepsNormal
D8--,FootstepsNormal
D9--,FootstepsNormal
DA--,FootstepsNormal
DB--,FootstepsNormal
DC--,FootstepsNormal
DD--,FootstepsNormal
DE--,FootstepsNormal
DF--,FootstepsNormal
E0--,FootstepsNormal
E1--,FootstepsNormal
E2--,FootstepsNormal
E3--,FootstepsNormal
E4--,FootstepsNormal
E5--,FootstepsNormal
E6--,FootstepsNormal
E7--,FootstepsNormal
E8--,FootstepsNormal
E9--,FootstepsNormal
EA--,FootstepsNormal
EB--,FootstepsNormal
ECShedinja,FootstepsNormal
EDSableye,FootstepsNormal
EEM[_e][_g][_a][_SP][_A]l[_a][_k][_a][_z][_a]m,FootstepsNormal
EFM[_e][_g][_a][_SP][_P]i[_d][_g][_e][_o]t,FootstepsFlying
F0M[_e][_g][_a][_SP][_V][_e][_n][_u][_s][_a][_u][_r],FootstepsNormal
F1M[_e][_g][_a][_SP][_C][_h][_a][_r]i[_z][_a][_r][_d][_SP][_X],FootstepsFlying
F2M[_e][_g][_a][_SP][_B]l[_a][_s]t[_o]i[_s][_e],FootstepsFleet
F3--,FootstepsNormal
F4--,FootstepsNormal
F5--,FootstepsNormal
F6--,FootstepsNormal
F7--,FootstepsNormal
F8--,FootstepsNormal
F9--,FootstepsNormal
FA--,FootstepsNormal
FB--,FootstepsNormal
FC--,FootstepsSilent
FD--,FootstepsSilent
FE--,FootstepsSilent
