INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,CharClassAbility,CharClassAbility,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
CaterpieID,0x1012,0x1013,0x0A,0x0,CaterpieSMS,0x00,0x0A,0x0A,17,1,2,2,1,0,2,BaseMov+1,40,20,25,25,15,10,25,2,50,10,25,45,15,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim10|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x8000
MetapodID,0x1014,0x1013,0x0B,0x0,MetapodSMS,0x00,0x0B,0x0B,18,2,2,1,3,1,5,BaseMov,45,25,25,20,30,10,25,3,55,15,30,20,45,10,20,1,1,0,0,2,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim11|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x8000
ButterfreeID,0x1016,0x1017,0x0C,0x0,ButterfreeSMS,0x00,0x0C,0x0C,19,3,5,5,3,5,8,BaseMov+2,50,25,40,40,30,40,25,4,55,25,40,40,25,40,20,1,1,3,4,0,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim12|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x8040
WeedleID,0x1018,0x1019,0x0D,0x0,WeedleSMS,0x00,0x0D,0x0D,15,3,2,2,1,0,2,BaseMov+1,35,25,25,25,20,10,25,2,40,20,25,50,20,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim13|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x8010
KakunaID,0x101A,0x1019,0x0E,0x0,KakunaSMS,0x00,0x0E,0x0E,17,4,2,2,2,0,5,BaseMov,40,30,25,25,25,10,25,3,50,25,30,40,30,5,20,2,1,0,0,1,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim14|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x8010
BeedrillID,0x101C,0x1019,0x0F,0x0,BeedrillSMS,0x00,0x0F,0x0F,20,8,5,5,2,4,9,BaseMov+3,55,40,40,40,20,40,25,4,65,50,45,50,15,45,20,3,4,3,3,0,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim15|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x8010
PidgeyID,0x101E,0x101F,0x10,0x0,PidgeySMS,0x00,0x10,0x10,16,2,2,3,1,1,3,BaseMov+1,40,20,30,30,25,20,25,3,40,15,30,40,20,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim16|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0240
PidgeottoID,0x1020,0x101F,0x11,0x0,PidgeottoSMS,0x00,0x11,0x11,19,6,5,5,2,2,7,BaseMov+2,50,35,40,40,30,25,25,4,55,35,40,50,25,20,20,3,4,3,2,1,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim17|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0240
PidgeotID,0x1022,0x101F,0x12,0x0,PidgeotSMS,0x00,0x12,0x12,23,8,8,8,4,4,12,BaseMov+3,65,45,50,50,40,35,25,5,70,50,50,55,30,25,20,4,2,3,3,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim18|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0240
SuspiciousWaterID,NSlashAText,NSlashAText,0x13,0x0,SuspiciousWaterSMS,0x00,0x98,0x13,16,1,1,1,1,1,25,0,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x02
CrobatID,NSlashAText,NSlashAText,0x14,0x0,CrobatSMS,0x00,0x98,0x14,16,1,1,1,1,1,5,BaseMov+3,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
RedID,NSlashAText,NSlashAText,0x15,0x0,RedSMS,0x01,178,0x15,16,1,1,1,1,1,9,TrainerMov+6,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
TeleporterID,NSlashAText,NSlashAText,0x16,0x0,TeleporterSMS,0x00,0x98,0x16,16,1,1,1,1,1,7,0,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
RattataID,0x1024,0x1025,0x17,0x0,RattataSMS,0x00,0x13,0x17,14,3,2,3,1,2,3,BaseMov+2,30,30,30,35,20,25,25,3,30,25,35,55,15,25,20,0,2,1,2,0,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim19|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
RaticateID,0x1026,0x1025,0x18,0x0,RaticateSMS,0x00,0x14,0x18,18,7,6,8,3,4,9,BaseMov+3,50,40,40,45,30,35,25,4,50,45,45,70,25,35,20,4,4,4,5,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim20|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
SpearowID,0x1028,0x101F,0x19,0x0,SpearowSMS,0x00,0x15,0x19,16,4,2,3,1,1,4,BaseMov+1,40,30,30,35,15,15,25,3,40,30,35,55,10,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim21|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0240
FearowID,0x102A,0x101F,0x1A,0x0,FearowSMS,0x00,0x16,0x1A,21,8,6,8,3,3,11,BaseMov+3,60,40,45,45,35,30,25,4,65,50,45,65,30,25,20,5,4,4,5,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim22|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0240
EkansID,0x102C,0x102D,0x1B,0x0,EkansSMS,0x00,0x17,0x1B,16,6,3,3,1,2,6,BaseMov+1,40,35,30,30,20,30,25,3,45,40,35,40,15,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim23|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
ArbokID,0x102E,0x102D,0x1C,0x0,ArbokSMS,0x00,0x18,0x1C,19,10,7,6,3,4,13,BaseMov+2,50,45,45,45,30,40,25,4,55,55,45,50,25,35,20,3,4,4,3,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim24|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
PikachuID,0x1030,0x1031,0x1D,0x0,PikachuSMS,0x00,0x19,0x1D,17,4,3,5,0,2,4,BaseMov+1,45,30,35,40,10,25,25,3,50,30,35,65,5,20,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim25|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x04
RaichuID,0x1032,0x1031,0x1E,0x0,RaichuSMS,0x00,0x1A,0x1E,19,8,7,10,2,4,8,BaseMov+2,50,45,45,50,25,40,25,4,55,50,45,75,20,35,20,2,4,4,5,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim26|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x04
SandshrewID,0x1034,0x1035,0x1F,0x0,SandshrewSMS,0x00,0x1B,0x1F,18,6,3,1,5,0,6,BaseMov+1,50,35,35,15,40,10,25,3,55,40,35,10,65,5,20,0,0,0,0,3,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim27|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
SandslashID,0x1036,0x1035,0x20,0x0,SandslashSMS,0x00,0x1C,0x20,23,11,7,3,10,2,11,BaseMov+2,65,45,45,30,50,25,25,4,70,60,45,25,75,20,20,5,5,4,2,5,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim28|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
NidoranFID,0x1038,0x102D,0x21,0x0,NidoranFSMS,0x00,0x1D,0x21,18,3,2,1,2,1,4,BaseMov+1,50,30,30,25,25,20,25,3,60,25,35,20,25,20,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim29|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
NidorinaID,0x103A,0x102D,0x22,0x0,NidorinaSMS,0x00,0x1E,0x22,21,5,4,3,3,2,9,BaseMov+2,60,35,35,30,35,30,25,4,70,35,40,25,30,25,20,3,2,2,2,1,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim30|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
NidoqueenID,0x103C,0x103D,0x23,0x0,NidoqueenSMS,0x00,0x1F,0x23,26,10,8,5,5,5,17,BaseMov+2,75,45,50,40,45,40,25,5,85,55,50,30,35,35,20,5,5,4,2,2,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim31|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x30
NidoranMID,0x103E,0x102D,0x24,0x0,NidoranMSMS,0x00,0x20,0x24,17,4,2,2,1,1,4,BaseMov+1,45,30,30,30,25,20,25,3,50,30,35,30,20,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim32|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
NidorinoID,0x1040,0x102D,0x25,0x0,NidorinoSMS,0x00,0x21,0x25,20,6,4,3,3,2,10,BaseMov+2,55,35,35,35,30,25,25,4,60,40,40,35,25,20,20,3,2,2,1,2,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim33|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
NidokingID,0x1042,0x103D,0x26,0x0,NidokingSMS,0x00,0x22,0x26,24,12,8,6,4,4,19,BaseMov+2,70,50,50,45,35,35,25,5,75,60,50,40,30,25,20,4,6,4,3,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim34|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x30
ClefairyID,0x1044,0x1025,0x27,0x0,ClefairySMS,0x00,0x23,0x27,21,2,3,1,2,3,4,BaseMov+1,55,25,35,15,25,30,25,3,75,20,35,10,25,35,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim35|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
ClefableID,0x1046,0x1025,0x28,0x0,ClefableSMS,0x00,0x24,0x28,26,5,7,4,4,6,9,BaseMov+2,70,30,45,35,40,45,25,4,90,35,45,30,30,45,20,5,3,4,3,2,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim36|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
VulpixID,0x1048,0x1007,0x29,0x0,VulpixSMS,0x00,0x25,0x29,16,2,3,3,1,2,3,BaseMov+1,40,25,30,35,15,25,25,3,45,20,35,50,15,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim37|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
NinetalesID,0x104A,0x1007,0x2A,0x0,NinetalesSMS,0x00,0x26,0x2A,22,6,8,8,4,7,10,BaseMov+2,60,35,50,50,35,45,25,4,65,40,50,55,25,45,20,6,4,5,5,3,5,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim38|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
JigglypuffID,0x104C,0x1025,0x2B,0x0,JigglypuffSMS,0x00,0x27,0x2B,21,3,3,1,1,2,4,BaseMov+1,55,30,30,15,15,25,25,3,75,25,35,10,10,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim39|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
WigglytuffID,0x104E,0x1025,0x2C,0x0,WigglytuffSMS,0x00,0x28,0x2C,29,7,6,2,2,4,9,BaseMov+2,75,40,45,20,25,40,25,4,105,45,45,15,20,30,20,8,4,3,1,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim40|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
ZubatID,0x1050,0x1051,0x2D,0x0,ZubatSMS,0x00,0x29,0x2D,15,3,3,4,1,1,3,BaseMov+1,35,30,30,35,20,20,25,3,35,25,35,60,15,15,20,0,0,0,2,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim41|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x50
GolbatID,0x1052,0x1051,0x2E,0x0,GolbatSMS,0x00,0x2A,0x2E,20,7,7,6,4,5,8,BaseMov+2,55,40,45,45,35,40,25,4,60,45,45,50,30,35,20,5,4,4,2,3,4,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim42|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x50
OddishID,0x1054,0x1003,0x2F,0x0,OddishSMS,0x00,0x2B,0x2F,18,3,3,1,2,2,3,BaseMov+1,50,30,35,15,30,30,25,3,55,25,35,10,25,30,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim43|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
GloomID,0x1056,0x1003,0x30,0x0,GloomSMS,0x00,0x2C,0x30,21,5,5,1,3,4,7,BaseMov+2,60,35,40,20,35,35,25,4,70,35,40,10,30,35,20,3,2,2,0,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim44|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
VileplumeID,0x1058,0x1003,0x31,0x0,VileplumeSMS,0x00,0x2D,0x31,25,7,8,2,5,6,11,BaseMov+2,70,40,45,20,40,45,25,5,80,45,50,15,35,40,20,4,2,3,1,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim45|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
ParasID,0x105A,0x105B,0x32,0x0,ParasSMS,0x00,0x2E,0x32,17,6,4,0,2,2,3,BaseMov+1,45,35,35,10,30,30,25,3,50,40,40,5,25,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim46|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x8800
