INLINE MonsterSpawnTable,Class1,Class2,Class3,Class4,Class5,C1Chance,C2Chance,C3Chance,C4Chance,C5Chance,ChID,Term2
MtMoonCommon 0x15,0x00,0x00,0x00,0x00,0x00,60,20,20,0,0,MtMoonB3Ch,0
RouteFourWildA 0x16,BellsproutID,SpearowID,VoltorbID,EkansID,0x00,40,30,20,10,0,Route4ECh,0
RouteFourWildB 0x17,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route4ECh,0
CeruleanCityA 0x18,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
CeruleanCityB 0x19,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
CeruleanGymA 0x1A,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
CeruleanGymB 0x1B,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
Route24WildA 0x1C,AbraID,BellsproutID,0x00,0x00,0x00,30,70,0,0,0,Route24Ch,0
Route24WildB 0x1D,HorseaID,PoliwagID,MagikarpID,0x00,0x00,30,30,40,0,0,Route24Ch,0
Route24WaterA 0x1E,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route24Ch,0
Route24WaterB 0x1F,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route24Ch,0
Route25WildA 0x20,SpearowID,BellsproutID,0x00,0x00,0x00,50,50,0,0,0,Route25Ch,0
Route25WildB 0x21,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route25Ch,0
Route25WaterA 0x22,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route25Ch,0
Route25WaterB 0x23,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route25Ch,0
ClassRoute9WWildA 0x24,PidgeottoID,FarfetchdID,OddishID,0x00,0x00,30,50,20,0,0,Route9WCh,0
ClassRoute9WWildB 0x25,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route9WCh,0
ClassRoute5WildA 0x26,CharmanderID,SquirtleID,BulbasaurID,0x00,0x00,33,33,34,0,0,Route5Ch,0
ClassRoute5WildB 0x27,EeveeID,ChanseyID,0x00,0x00,0x00,50,50,0,0,0,Route5Ch,0
ClassRoute6WildA 0x28,OddishID,VulpixID,MeowthID,0x00,0x00,30,30,40,0,0,Route6Ch,0
ClassRoute6WildB 0x29,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route6Ch,0
ClassRoute11WildA 0x2A,VoltorbID,MeowthID,DrowzeeID,0x00,0x00,30,30,40,0,0,Route11Ch,0
ClassRoute11WildB 0x2B,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route11Ch,0
ClassDiglettsCaveWildA 0x2C,DiglettID,SandshrewID,0x00,0x00,0x00,80,20,0,0,0,DiglettsCaveCh,0
ClassDiglettsCaveWildB 0x2D,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,DiglettsCaveCh,0
ClassRoute9EWildA 0x2E,SpearowID,PidgeyID,PidgeottoID,0x00,0x00,35,35,30,0,0,Route9ECh,0
ClassRoute9EWildB 0x2F,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route9ECh,0
ClassRoute10WildA 0x30,VoltorbID,MagnemiteID,PikachuID,0x00,0x00,65,20,15,0,0,Route10Ch,0
ClassRoute10WildB 0x31,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route10Ch,0
ClassRockTunnelWildA 0x32,ZubatID,MachopID,GeodudeID,OnixID,0x00,40,30,20,10,0,RockTunnelB1Ch,0
ClassRockTunnelWildB 0x33,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,RockTunnelB1Ch,0
ClassPokeTowerWildA 0x34,GastlyID,CuboneID,0x00,0x00,0x00,90,10,0,0,0,PokemonTowerF2Ch,0
ClassPokeTowerWildB 0x35,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,PokemonTowerF2Ch,0
ClassRoute12WildA 0x36 ,KrabbyID,HorseaID,MagikarpID,0x00,0x00,33,33,34,0,0,Route12NCh,0
ClassRoute12WildB 0x37,PoliwagID,HorseaID,KrabbyID,0x00,0x00,33,33,34,0,0,Route12SCh,0
ClassRoute13WildA 0x38 ,KrabbyID,0x00,0x00,0x00,0x00,100,0,0,0,0,Route13Ch,0
ClassRoute13WildB 0x39,VenonatID,PidgeottoID,GloomID,WeepinbellID,0x00,30,20,25,25,0,Route13Ch,0
ClassRoute14WildA 0x3A ,GloomID,PidgeottoID,WeepinbellID,0x00,0x00,30,40,30,0,0,Route14Ch,0
ClassRoute14WildB 0x3B ,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route14Ch,0
ClassRoute15WildA 0x3C,ExeggcuteID,NidorinoID,GrowlitheID,0x00,0x00,40,35,25,0,0,Route15Ch,0
ClassRoute15WildB 0x3D ,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route15Ch,0
ClassSafariWildA 0x3E,NidorinoID,NidorinaID,ExeggcuteID,0x00,0x00,35,35,30,0,0,SafariSCh,0
ClassSafariWildB 0x3F,ScytherID,PinsirID,RhyhornID,0x00,0x00,30,30,40,0,0,SafariSCh,0
ClassSafariWildC 0x40 ,TaurosID,TangelaID,ChanseyID,0x00,0x00,30,40,30,0,0,SafariSCh,0
ClassSafariWildD 0x41,KangaskhanID,ParasectID,VenonatID,0x00,0x00,30,30,40,0,0,SafariSCh,0
ClassSafariWildE 0x42,GoldeenID,PoliwagID,0x00,0x00,0x00,50,50,0,0,0,SafariSCh,0
ClassRoute18WildA 0x43,FearowID,DoduoID,RaticateID,0x00,0x00,40,25,35,0,0,Route18Ch,0
ClassRoute18WildB 0x44,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route18Ch,0
ClassRoute17WildA 0x45,DoduoID,DodrioID,PonytaID,0x00,0x00,40,20,40,0,0,Route17SCh,0
ClassRoute17WildB 0x46,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route17SCh,0
ClassRoute16WildA 0x47,SpearowID,DoduoID,RaticateID,0x00,0x00,20,30,50,0,0,Route16Ch,0
ClassRoute16WildB 0x48,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route16Ch,0
ClassCyclingRoadWildA 0x49,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route17NCh,0
ClassCyclingRoadWildB 0x4A,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route17NCh,0
ClassRoute7WildA 0x4B,GrowlitheID,MeowthID,PidgeottoID,PoliwhirlID,0x00,20,30,30,20,0,Route7Ch,0
ClassRoute7WildB 0x4C,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route7Ch,0
ClassRoute8WildA 0x4D ,VulpixID,JigglypuffID,PidgeottoID,MachokeID,0x00,20,20,40,20,0,Route8Ch,0
ClassRoute8WildB 0x4E ,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route8Ch,0
ClassRoute19WildA 0x4F ,TentacoolID,HorseaID,KrabbyID,MagikarpID,0x00,40,20,20,20,0,Route19Ch,0
ClassRoute19WildB 0x50,SlowpokeID,StaryuID,PsyduckID,0x00,0x00,35,35,30,0,0,Route19Ch,0
ClassRoute20EWildA 0x51,TentacruelID,SeadraID,SeakingID,0x00,0x00,40,30,30,0,0,Route20ECh,0
ClassRoute20EWildB 0x52,GyaradosID,PoliwhirlID,GolduckID,KinglerID,0x00,25,25,25,25,0,Route20ECh,0
ClassRoute20WWildA 0x53,TentacruelID,SeadraID,SeakingID,0x00,0x00,40,30,30,0,0,Route20WCh,0
ClassRoute20WWildB 0x54,GyaradosID,PoliwhirlID,GolduckID,KinglerID,0x00,25,25,25,25,0,Route20WCh,0
ClassSeafoamWildA 0x55 ,ShellderID,SeelID,SlowpokeID,GolbatID,0x00,25,25,25,25,0,SeafoamB1Ch,0
ClassSeafoamWildB 0x56 ,JynxID,DewgongID,SlowbroID,0x00,0x00,30,30,40,0,0,SeafoamB1Ch,0
ClassMansionWildA 0x57 ,RaticateID,WeezingID,MukID,0x00,0x00,40,30,40,0,0,MansionB1Ch,0
ClassMansionWildB 0x58 ,MagmarID,VulpixID,GrowlitheID,0x00,0x00,20,40,40,0,0,MansionB1Ch,0
ClassRoute21WildA 0x59 ,TangelaID,PoliwhirlID,MrMimeID,0x00,0x00,20,45,35,0,0,Route21Ch,0
ClassRoute21WildB 0x5A ,TentacoolID,TentacruelID,SeakingID,0x00,0x00,80,10,10,0,0,Route21Ch,0
ClassPowerPlantWildA 0x5B,ElectabuzzID,RaichuID,ElectrodeID,MagnetonID,0x00,20,20,40,20,0,PowerPlantCh,0
ClassPowerPlantWildB 0x5C,PikachuID,VoltorbID,MagnemiteID,0x00,0x00,30,40,30,0,0,PowerPlantCh,0
ClassRoute22WildA 0x5D ,NidoranMID,NidoranFID,RattataID,0x00,0x00,25,25,50,0,0,Route22Ch,0
ClassRoute22WildB 0x5E ,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,Route22Ch,0
ClassRoute23WildA 0x5F ,FearowID,SandslashID,ArbokID,0x00,0x00,35,25,40,0,0,Route23NCh,0
ClassRoute23WildB 0x60 ,PsyduckID,SlowpokeID,0x00,0x00,0x00,0,0,0,0,0,Route23SCh,0
ClassVictoryRoadWildA 0x61,OnixID,MachokeID,GravellerID,SandslashID,0x00,30,30,10,30,0,VictoryRoadB1Ch,0
ClassVictoryRoadWildB 0x62,GravellerID,ZubatID,0x00,0x00,0x00,50,50,0,0,0,VictoryRoadB1Ch,0
ClassVictoryRoadWildC 0x63,VenomothID,GolbatID,MarowakID,0x00,0x00,25,40,35,0,0,VictoryRoadB1Ch,0
ClassCeruleanCaveWildA 0x64 ,GolbatID,GravellerID,MagnetonID,HypnoID,RhydonID,20,20,20,20,20,CeruleanCaveB1Ch,0
ClassCeruleanCaveWildB 0x65 ,ArbokID,VenomothID,DodrioID,ParasectID,LickitungID,20,20,20,20,20,CeruleanCaveB1Ch,0
ClassCeruleanCaveWildC 0x66 ,RaichuID,SandslashID,GloomID,WeepinbellID,ChanseyID,20,20,20,20,20,CeruleanCaveB1Ch,0
ClassCeruleanCaveWildD 0x67 ,SeadraID,SlowbroID,SeakingID,0x00,0x00,35,35,30,0,0,CeruleanCaveB1Ch,0
0x68,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x69,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x6a,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x6b,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x6c,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x6d,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x6e,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x6f,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x70,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x71,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x72,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x73,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x74,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x75,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x76,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x77,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x78,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x79,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x7a,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x7b,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x7c,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x7d,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x7e,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x7f,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x80,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x81,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x82,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x83,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x84,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x85,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x86,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x87,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x88,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x89,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x8a,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x8b,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x8c,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x8d,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x8e,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x8f,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x90,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x91,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x92,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x93,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x94,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x95,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x96,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x97,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x98,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x99,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x9a,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x9b,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x9c,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x9d,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x9e,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0x9f,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa0,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa1,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa2,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa3,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa4,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa5,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa6,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa7,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa8,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xa9,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xaa,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xab,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xac,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xad,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xae,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xaf,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb0,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb1,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb2,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb3,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb4,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb5,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb6,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb7,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb8,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xb9,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xba,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xbb,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xbc,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xbd,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xbe,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xbf,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc0,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc1,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc2,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc3,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc4,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc5,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc6,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc7,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc8,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xc9,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xca,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xcb,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xcc,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xcd,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xce,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xcf,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd0,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd1,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd2,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd3,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd4,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd5,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd6,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd7,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd8,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xd9,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xda,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xdb,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xdc,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xdd,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xde,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xdf,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe0,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe1,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe2,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe3,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe4,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe5,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe6,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe7,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe8,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xe9,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xea,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xeb,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xec,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xed,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xee,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xef,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf0,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf1,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf2,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf3,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf4,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf5,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf6,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf7,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf8,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xf9,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xfa,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xfb,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xfc,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xfd,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0,0,0
0xfe,0xFF,0xFF,0x00,0x00,0x00,0,0,0,0,0,0,0
