INLINE MonsterItemChanceList,Item1Chance,Item2Chance,Item3Chance,Item4Chance,Item5Chance
Venomoth,0x64,0x00,0x00,0x00,0x00
Diglett,0x64,0x00,0x00,0x00,0x00
Dugtrio,0x64,0x00,0x00,0x00,0x00
Meowth,0x64,0x00,0x00,0x00,0x00
Persian,0x64,0x00,0x00,0x00,0x00
Psyduck,0x64,0x00,0x00,0x00,0x00
Golduck,0x64,0x00,0x00,0x00,0x00
Mankey,0x64,0x00,0x00,0x00,0x00
Primeape,0x64,0x00,0x00,0x00,0x00
Growlithe,0x64,0x00,0x00,0x00,0x00
Arcanine,0x64,0x00,0x00,0x00,0x00
Poliwag,0x64,0x00,0x00,0x00,0x00
Poliwhirl,0x64,0x00,0x00,0x00,0x00
Poliwrath,0x64,0x00,0x00,0x00,0x00
Abra,0x64,0x00,0x00,0x00,0x00
Kadabra,0x64,0x00,0x00,0x00,0x00
Alakazam,0x64,0x00,0x00,0x00,0x00
Machop,0x64,0x00,0x00,0x00,0x00
Machoke,0x64,0x00,0x00,0x00,0x00
Machamp,0x64,0x00,0x00,0x00,0x00
Bellsprout,0x64,0x00,0x00,0x00,0x00
Weepinbell,0x64,0x00,0x00,0x00,0x00
Victreebel,0x64,0x00,0x00,0x00,0x00
Tentacool,0x64,0x00,0x00,0x00,0x00
Tentacruel,0x64,0x00,0x00,0x00,0x00
Geodude,0x64,0x00,0x00,0x00,0x00
Graveller,0x64,0x00,0x00,0x00,0x00
Phantom,0x64,0x00,0x00,0x00,0x00
Golem,0x64,0x00,0x00,0x00,0x00
Ponyta,0x64,0x00,0x00,0x00,0x00
Rapidash,0x64,0x00,0x00,0x00,0x00
Slowpoke,0x64,0x00,0x00,0x00,0x00
Slowbro,0x64,0x00,0x00,0x00,0x00
Magnemite,0x64,0x00,0x00,0x00,0x00
Magneton,0x64,0x00,0x00,0x00,0x00
Farfetchd,0x64,0x00,0x00,0x00,0x00
Doduo,0x64,0x00,0x00,0x00,0x00
Dodrio,0x64,0x00,0x00,0x00,0x00
Seel,0x64,0x00,0x00,0x00,0x00
Dewgong,0x64,0x00,0x00,0x00,0x00
Grimer,0x64,0x00,0x00,0x00,0x00
Unused5,0x64,0x00,0x00,0x00,0x00
Unused6,0x64,0x00,0x00,0x00,0x00
Unused7,0x64,0x00,0x00,0x00,0x00
GorgonEgg2,0x64,0x00,0x00,0x00,0x00
Unused8,0x64,0x00,0x00,0x00,0x00
Deathgoyle,0x64,0x00,0x00,0x00,0x00
DracoZombie,0x64,0x00,0x00,0x00,0x00
DemonKing,0x64,0x00,0x00,0x00,0x00
Unused8,0x64,0x00,0x00,0x00,0x00
Unused9,0x64,0x00,0x00,0x00,0x00
Unused10,0x64,0x00,0x00,0x00,0x00
Unused11,0x64,0x00,0x00,0x00,0x00
Unused12,0x64,0x00,0x00,0x00,0x00
Unused13,0x64,0x00,0x00,0x00,0x00
Civilian1,0x64,0x00,0x00,0x00,0x00
Civilian2,0x64,0x00,0x00,0x00,0x00
Civilian3,0x64,0x00,0x00,0x00,0x00
Civilian4,0x64,0x00,0x00,0x00,0x00
Civilian5,0x64,0x00,0x00,0x00,0x00
Unused14,0x64,0x00,0x00,0x00,0x00
Unused15,0x64,0x00,0x00,0x00,0x00
sfx,0x64,0x00,0x00,0x00,0x00
openball,0x64,0x00,0x00,0x00,0x00
pokeballred,0x64,0x00,0x00,0x00,0x00
pokeballgold,0x64,0x00,0x00,0x00,0x00
Unused16,0x64,0x00,0x00,0x00,0x00
Unused17,0x64,0x00,0x00,0x00,0x00
blank,0x64,0x00,0x00,0x00,0x00
Unused18,0x64,0x00,0x00,0x00,0x00
Bush,0x64,0x00,0x00,0x00,0x00
ElderBael,0x64,0x00,0x00,0x00,0x00
Journeyman,0x64,0x00,0x00,0x00,0x00
Pupil,0x64,0x00,0x00,0x00,0x00
Muk,0x64,0x00,0x00,0x00,0x00
Shellder,0x64,0x00,0x00,0x00,0x00
Cloyster,0x64,0x00,0x00,0x00,0x00
Gastly,0x64,0x00,0x00,0x00,0x00
Haunter,0x64,0x00,0x00,0x00,0x00
Gengar,0x64,0x00,0x00,0x00,0x00
Onix,0x64,0x00,0x00,0x00,0x00
Drowzee,0x64,0x00,0x00,0x00,0x00
Hypno,0x64,0x00,0x00,0x00,0x00
Krabby,0x64,0x00,0x00,0x00,0x00
Kingler,0x64,0x00,0x00,0x00,0x00
Voltorb,0x64,0x00,0x00,0x00,0x00
Electrode,0x64,0x00,0x00,0x00,0x00
Exeggcute,0x64,0x00,0x00,0x00,0x00
Exeggutor,0x64,0x00,0x00,0x00,0x00
Cubone,0x64,0x00,0x00,0x00,0x00
Marowak,0x64,0x00,0x00,0x00,0x00
Hitmonlee,0x64,0x00,0x00,0x00,0x00
Hitmonchan,0x64,0x00,0x00,0x00,0x00
Lickitung,0x64,0x00,0x00,0x00,0x00
Koffing,0x64,0x00,0x00,0x00,0x00
Weezing,0x64,0x00,0x00,0x00,0x00
Rhyhorn,0x64,0x00,0x00,0x00,0x00
Rhydon,0x64,0x00,0x00,0x00,0x00
Chansey,0x64,0x00,0x00,0x00,0x00
Tangela,0x64,0x00,0x00,0x00,0x00
Kangaskhan,0x64,0x00,0x00,0x00,0x00
Horsea,0x64,0x00,0x00,0x00,0x00
Seadra,0x64,0x00,0x00,0x00,0x00
Goldeen,0x64,0x00,0x00,0x00,0x00
Seaking,0x64,0x00,0x00,0x00,0x00
Staryu,0x64,0x00,0x00,0x00,0x00
Starmie,0x64,0x00,0x00,0x00,0x00
Mr. Mime,0x64,0x00,0x00,0x00,0x00
Scyther,0x64,0x00,0x00,0x00,0x00
Jynx,0x64,0x00,0x00,0x00,0x00
Electabuzz,0x64,0x00,0x00,0x00,0x00
Magmar,0x64,0x00,0x00,0x00,0x00
Pinsir,0x64,0x00,0x00,0x00,0x00
Tauros,0x64,0x00,0x00,0x00,0x00
Magikarp,0x64,0x00,0x00,0x00,0x00
Gyarados,0x64,0x00,0x00,0x00,0x00
Lapras,0x64,0x00,0x00,0x00,0x00
Ditto,0x64,0x00,0x00,0x00,0x00
Eevee,0x64,0x00,0x00,0x00,0x00
Vaporeon,0x64,0x00,0x00,0x00,0x00
Jolteon,0x64,0x00,0x00,0x00,0x00
Flareon,0x64,0x00,0x00,0x00,0x00
Porygon,0x64,0x00,0x00,0x00,0x00
Omanyte,0x64,0x00,0x00,0x00,0x00
Omastar,0x64,0x00,0x00,0x00,0x00
Kabuto,0x64,0x00,0x00,0x00,0x00
Kabutops,0x64,0x00,0x00,0x00,0x00
Aerodactyl,0x64,0x00,0x00,0x00,0x00
Snorlax,0x64,0x00,0x00,0x00,0x00
Articuno,0x64,0x00,0x00,0x00,0x00
Zapdos,0x64,0x00,0x00,0x00,0x00
Moltres,0x64,0x00,0x00,0x00,0x00
Dratini,0x64,0x00,0x00,0x00,0x00
Dragonair,0x64,0x00,0x00,0x00,0x00
Dragonite,0x64,0x00,0x00,0x00,0x00
Mewtwo,0x64,0x00,0x00,0x00,0x00
Mew,0x64,0x00,0x00,0x00,0x00
Unused19,0x64,0x00,0x00,0x00,0x00
Unused20,0x64,0x00,0x00,0x00,0x00
Unused21,0x64,0x00,0x00,0x00,0x00
Unused22,0x64,0x00,0x00,0x00,0x00
Unused23,0x64,0x00,0x00,0x00,0x00
Unused24,0x64,0x00,0x00,0x00,0x00
Unused25,0x64,0x00,0x00,0x00,0x00
Unused26,0x64,0x00,0x00,0x00,0x00
Unused27,0x64,0x00,0x00,0x00,0x00
Unused28,0x64,0x00,0x00,0x00,0x00
Unused29,0x64,0x00,0x00,0x00,0x00
Unused30,0x64,0x00,0x00,0x00,0x00
Unused31,0x64,0x00,0x00,0x00,0x00
Unused32,0x64,0x00,0x00,0x00,0x00
Unused33,0x64,0x00,0x00,0x00,0x00
Unused34,0x64,0x00,0x00,0x00,0x00
Unused35,0x64,0x00,0x00,0x00,0x00
Treeko,0x64,0x00,0x00,0x00,0x00
Unused36,0x64,0x00,0x00,0x00,0x00
Unused37,0x64,0x00,0x00,0x00,0x00
Unused38,0x64,0x00,0x00,0x00,0x00
Unused39,0x64,0x00,0x00,0x00,0x00
Unused40,0x64,0x00,0x00,0x00,0x00
Unused41,0x64,0x00,0x00,0x00,0x00
Unused42,0x64,0x00,0x00,0x00,0x00
Unused43,0x64,0x00,0x00,0x00,0x00
Crobat,0x64,0x00,0x00,0x00,0x00
Unused44,0x64,0x00,0x00,0x00,0x00
Unused45,0x64,0x00,0x00,0x00,0x00
Unused46,0x64,0x00,0x00,0x00,0x00
Unused47,0x64,0x00,0x00,0x00,0x00
Unused48,0x64,0x00,0x00,0x00,0x00
Unused49,0x64,0x00,0x00,0x00,0x00
Unused50,0x64,0x00,0x00,0x00,0x00
Unused51,0x64,0x00,0x00,0x00,0x00
Unused52,0x64,0x00,0x00,0x00,0x00
Unused53,0x64,0x00,0x00,0x00,0x00
Unused54,0x64,0x00,0x00,0x00,0x00
Unused55,0x64,0x00,0x00,0x00,0x00
Unused56,0x64,0x00,0x00,0x00,0x00
Unused57,0x64,0x00,0x00,0x00,0x00
Unused58,0x64,0x00,0x00,0x00,0x00
Unused59,0x64,0x00,0x00,0x00,0x00
Unused60,0x64,0x00,0x00,0x00,0x00
Unused61,0x64,0x00,0x00,0x00,0x00
Unused62,0x64,0x00,0x00,0x00,0x00
Unused63,0x64,0x00,0x00,0x00,0x00
Unused64,0x64,0x00,0x00,0x00,0x00
Unused65,0x64,0x00,0x00,0x00,0x00
Unused66,0x64,0x00,0x00,0x00,0x00
Unused67,0x64,0x00,0x00,0x00,0x00
Unused68,0x64,0x00,0x00,0x00,0x00
Unused69,0x64,0x00,0x00,0x00,0x00
Unused70,0x64,0x00,0x00,0x00,0x00
Unused71,0x64,0x00,0x00,0x00,0x00
Unused72,0x64,0x00,0x00,0x00,0x00
Unused73,0x64,0x00,0x00,0x00,0x00
Unused74,0x64,0x00,0x00,0x00,0x00
Unused75,0x64,0x00,0x00,0x00,0x00
Unused76,0x64,0x00,0x00,0x00,0x00
Unused77,0x64,0x00,0x00,0x00,0x00
Unused78,0x64,0x00,0x00,0x00,0x00
Unused79,0xFF,0x00,0x00,0x00,0x00
Unused80,0xFF,0x00,0x00,0x00,0x00
